"","Commodities/Industries","111CA","113FF","211","212","213","22","23","321","327","331","332","333","334","335","3361MV","3364OT","337","339","311FT","313TT","315AL","322","323","324","325","326","42","441","445","452","4A0","481","482","483","484","485","486","487OS","493","511","512","513","514","521CI","523","524","525","HS","ORE","532RL","5411","5415","5412OP","55","561","562","61","621","622","623","624","711AS","713","721","722","81","GFGD","GFGN","GFE","GSLG","GSLE","T007","MCIF","MADJ","T013","Trade","Trans","T014","MDTY","TOP","SUB","T015","T016"
"","Name","Farms","Forestry, fishing, and related activities","Oil and gas extraction","Mining, except oil and gas","Support activities for mining","Utilities","Construction","Wood products","Nonmetallic mineral products","Primary metals","Fabricated metal products","Machinery","Computer and electronic products","Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts","Other transportation equipment","Furniture and related products","Miscellaneous manufacturing","Food and beverage and tobacco products","Textile mills and textile product mills","Apparel and leather and allied products","Paper products","Printing and related support activities","Petroleum and coal products","Chemical products","Plastics and rubber products","Wholesale trade","Motor vehicle and parts dealers","Food and beverage stores","General merchandise stores","Other retail","Air transportation","Rail transportation","Water transportation","Truck transportation","Transit and ground passenger transportation","Pipeline transportation","Other transportation and support activities","Warehousing and storage","Publishing industries, except internet (includes software)","Motion picture and sound recording industries","Broadcasting and telecommunications","Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments","Insurance carriers and related activities","Funds, trusts, and other financial vehicles","Housing","Other real estate","Rental and leasing services and lessors of intangible assets","Legal services","Computer systems design and related services","Miscellaneous professional, scientific, and technical services","Management of companies and enterprises","Administrative and support services","Waste management and remediation services","Educational services","Ambulatory health care services","Hospitals","Nursing and residential care facilities","Social assistance","Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries","Accommodation","Food services and drinking places","Other services, except government","Federal general government (defense)","Federal general government (nondefense)","Federal government enterprises","State and local general government","State and local government enterprises","Total Commodity Output","Imports","CIF/FOB Adjustments on Imports","Total product supply (basic prices)","Trade margins","Transport margins","Total trade and transportation margins","Import duties","Tax on products","Subsidies","Total tax less subsidies on products","Total product supply (purchaser prices)"
"512","Motion picture and sound recording industries","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",1405,"---","---","---","---","---","---","---","---","---",121216,930,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",45,"---",0,1,"---",123597,9875,"---",133472,11687,133,11821,1,4136,-1625,2512,147805
"513","Broadcasting and telecommunications","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",54,"---","---","---","---","---","---","---","---","---","---",711863,316,"---","---","---","---","---","---","---","---",195,"---","---","---","---","---","---","---","---","---","---","---",133,"---","---","---","---","---","---","---",712561,123,"---",712683,"---","---","---","---",34844,-1878,32966,745649
"514","Data processing, internet publishing, and other information services","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",10636,"---","---",312851,"---","---","---","---","---","---","---","---",14545,2931,"---","---","---","---","---","---","---","---","---","---","---","---",342,15,"---","---",2263,"---",343582,1439,"---",345021,"---","---","---",0,1039,-2755,-1716,343305
"521CI","Federal Reserve banks, credit intermediation, and related activities","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",5137,502,"---",281,"---","---","---","---","---","---","---","---","---","---","---","---",922838,26992,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",15,955765,35,"---",955800,"---","---","---","---",0,-4696,-4696,951104
"523","Securities, commodity contracts, and investments","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",36009,657707,1027,"---","---","---",10,"---","---",701,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",695455,44,"---",695499,"---","---","---","---",1402,-4807,-3404,692094
"524","Insurance carriers and related activities","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",98,"---","---","---","---","---","---",8610,1308319,"---","---",159,889,"---","---","---","---",74,"---",98,"---","---","---","---","---","---","---","---","---","---","---",8362,"---",-498,1326112,58695,-745,1384062,"---","---","---","---",44626,-14070,30556,1414618
"525","Funds, trusts, and other financial vehicles","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",164731,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",33,"---",28590,"---",193353,"---","---",193353,"---","---","---","---",45,-367,-322,193031
"HS","Housing","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",2326844,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",46379,2373223,"---","---",2373223,"---","---","---","---",0,-59463,-59463,2313760
"ORE","Other real estate","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",8,"---","---","---","---",98,"---","---","---","---","---","---","---",1386415,2755,"---","---","---","---",333,"---",65,"---","---",113,"---",606,117,627,"---",1503,"---","---",809,"---",23233,1416680,"---","---",1416680,"---","---","---","---",1585,-16198,-14613,1402067
"532RL","Rental and leasing services and lessors of intangible assets","---","---","---","---","---","---","---","---","---","---","---",17,"---","---","---","---","---","---","---","---","---","---","---","---","---","---",12173,905,260,320,3468,39,335,"---",431,"---","---",102,11,1,125,10326,395,90367,"---","---","---","---","---",341046,"---",365,13,"---",59,512,68,3304,1374,"---","---",937,215,675,"---",265,"---","---","---","---","---",468109,"---","---",468109,"---","---","---","---",18161,-3128,15033,483142
"5411","Legal services","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",487,"---","---","---","---",365886,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",366373,5177,"---",371549,"---","---","---","---",18012,-12801,5212,376761
"5415","Computer systems design and related services","---","---",136,0,50,418,482,18,38,88,327,922,1546,301,329,824,238,532,164,8,15,48,220,56,507,193,18109,21,5,0,4214,254,272,23,129,"---",40,605,190,18381,238,2013,24434,3428,1254,2795,442,73,314,219,433,444539,12492,15110,10974,47,4582,1411,2707,36,135,88,89,32,0,1012,2559,2751,636,5544,"---",590091,30685,"---",620777,"---","---","---","---",4601,-11972,-7371,613405
"5412OP","Miscellaneous professional, scientific, and technical services","---","---",921,103,566,173,682,126,861,586,2747,9522,57647,2674,13238,16076,265,13518,3428,351,275,1835,13520,789,67010,1932,1349,23,12,524,9677,842,76,13,129,18,41,414,145,56885,11181,126317,172997,2481,1161,3510,173,26,254,97,260,16568,1572463,6104,14018,84,35137,415,8032,37,8,5055,69,1,0,1454,24967,20792,"---",59774,"---",2362428,112633,"---",2475062,"---","---","---",3,5866,-44115,-38246,2436816
"55","Management of companies and enterprises","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",659558,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",659558,"---","---",659558,"---","---","---","---",1596,-3394,-1797,657761
"561","Administrative and support services","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",107,"---","---","---",27,"---",245,222,2019,"---","---","---","---","---","---",105,"---",664,"---","---",826,"---","---","---","---","---","---","---","---",5081,2852,"---",1035872,"---","---","---","---","---","---","---","---",0,"---","---","---","---","---",8935,"---",1056954,2401,"---",1059354,"---","---","---","---",6889,-29298,-22409,1036945
"562","Waste management and remediation services","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",2168,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",199,113214,"---","---","---","---","---","---","---","---","---","---","---","---","---",14076,"---",129657,290,"---",129946,"---","---","---","---",1841,-2621,-781,129166
"61","Educational services","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",47,"---","---",176,"---","---","---","---","---","---","---","---",10584,"---","---",1257,"---","---","---","---","---","---",2,"---",2060,"---","---",222,"---",298052,"---","---","---","---",12,967,"---","---",21,248,"---","---",95556,"---",409205,1926,"---",411131,"---","---","---","---",291,-5273,-4981,406150
"621","Ambulatory health care services","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",1354,395,25,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",16,"---","---",1163218,7599,1069,350,"---","---","---","---","---","---","---","---",35450,"---",1209477,"---","---",1209477,"---","---","---","---",637,-78822,-78185,1131292
"622","Hospitals","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",941289,"---","---","---","---","---","---","---",1579,545,"---",219990,"---",1163403,5486,"---",1168889,"---","---","---","---",2083,-14188,-12105,1156783
"623","Nursing and residential care facilities","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",264799,2925,"---","---","---","---","---","---","---","---","---","---",267723,"---","---",267723,"---","---","---","---",2886,-11821,-8935,258789
"624","Social assistance","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",60,"---","---","---","---",130,242815,"---",720,"---","---",370,"---","---","---",3593,"---",247688,"---","---",247688,"---","---","---","---",935,-9935,-9000,238688
"711AS","Performing arts, spectator sports, museums, and related activities","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",1617,"---","---","---","---",118505,175,806,"---","---",22,"---","---",3177,154,124454,359,"---",124814,"---","---","---","---",5445,-3584,1861,126675
"713","Amusements, gambling, and recreation industries",1929,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",182,45,"---",214,"---","---",147,"---","---","---","---","---","---",875,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",1870,99075,17359,979,"---","---","---","---",2736,27035,152446,"---","---",152446,"---","---","---","---",8757,-5197,3560,156006
"721","Accommodation","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",22,"---","---","---","---","---","---","---",10201,"---","---","---","---",6,289,114621,135,"---","---","---","---",9963,"---",135236,"---","---",135236,"---","---","---","---",19403,-9509,9895,145130
"722","Food services and drinking places","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",19466,8904,18057,"---","---","---","---","---","---",32,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",4177,205,2488,336,"---",2232,9718,22695,742577,3722,"---","---",1012,11077,"---",846698,"---","---",846698,"---","---","---","---",69505,-46802,22703,869400
"81","Other services, except government","---","---","---","---","---","---","---","---","---","---",111,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",65172,80149,27,4340,19775,"---","---","---","---","---","---",1290,"---","---","---",2621,"---","---","---","---","---","---",74,1836,"---",2122,2398,"---","---","---",15,"---","---","---","---",263,795,919,"---",695239,"---","---",0,1159,3263,881569,3907,"---",885476,"---","---","---",9,22199,-27413,-5205,880271
"GFGD","Federal general government (defense)","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",700477,"---","---","---","---",700477,"---","---",700477,"---","---","---","---",0,"---",0,700477
"GFGN","Federal general government (nondefense)","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",460969,"---","---","---",460969,"---","---",460969,"---","---","---","---",0,"---",0,460969
"GFE","Federal government enterprises","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",182,70747,"---","---",70929,283,"---",71213,"---","---","---","---",0,"---",0,71213
"GSLG","State and local general government","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",1916544,"---",1916544,"---","---",1916544,"---","---","---","---",0,"---",0,1916544
"GSLE","State and local government enterprises","---","---","---","---","---",1915,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",109177,111092,"---","---",111092,"---","---","---","---",0,"---",0,111092
"Other","Noncomparable imports and rest-of-the-world adjustment","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",3259,"---","---","---",3259,178923,-53,182129,"---","---","---","---",0,"---",0,182129
"Used","Scrap, used and secondhand goods","---","---","---","---","---","---","---",49,10,696,1078,164,"---","---",768,68,"---","---",2,0,"---",373,62,"---","---",66,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",794,"---","---","---","---","---","---","---","---",164,"---","---","---","---",4030,"---",8323,17177,"---",25500,127027,33329,160356,57,16649,0,16706,202563
"T017","Total industry supply",447368,55233,247545,98882,59106,502944,1853553,115149,134869,219195,363728,386215,382518,130051,639774,247111,71338,190631,951737,48713,18912,189405,81125,385327,781311,240829,1862912,296510,261989,223501,1062732,136095,77850,40231,388234,67544,56955,272792,156566,447449,134017,860690,533558,1055126,695725,1316141,165346,2344898,1388208,349231,366604,492268,1599439,680824,1066426,114926,355642,1179235,965000,266564,246586,130665,114390,160271,746661,710281,729920,489125,98362,2458158,393551,36401770,2500683,-23152,38879301,0,0,0,68627,769043,-761388,76282,38955583
