"","Commodities/Industries","111CA","113FF","211","212","213","22","23","321","327","331","332","333","334","335","3361MV","3364OT","337","339","311FT","313TT","315AL","322","323","324","325","326","42","441","445","452","4A0","481","482","483","484","485","486","487OS","493","511","512","513","514","521CI","523","524","525","HS","ORE","532RL","5411","5415","5412OP","55","561","562","61","621","622","623","624","711AS","713","721","722","81","GFGD","GFGN","GFE","GSLG","GSLE","T007","MCIF","MADJ","T013","Trade","Trans","T014","MDTY","TOP","SUB","T015","T016"
"","Name","Farms","Forestry, fishing, and related activities","Oil and gas extraction","Mining, except oil and gas","Support activities for mining","Utilities","Construction","Wood products","Nonmetallic mineral products","Primary metals","Fabricated metal products","Machinery","Computer and electronic products","Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts","Other transportation equipment","Furniture and related products","Miscellaneous manufacturing","Food and beverage and tobacco products","Textile mills and textile product mills","Apparel and leather and allied products","Paper products","Printing and related support activities","Petroleum and coal products","Chemical products","Plastics and rubber products","Wholesale trade","Motor vehicle and parts dealers","Food and beverage stores","General merchandise stores","Other retail","Air transportation","Rail transportation","Water transportation","Truck transportation","Transit and ground passenger transportation","Pipeline transportation","Other transportation and support activities","Warehousing and storage","Publishing industries, except internet (includes software)","Motion picture and sound recording industries","Broadcasting and telecommunications","Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments","Insurance carriers and related activities","Funds, trusts, and other financial vehicles","Housing","Other real estate","Rental and leasing services and lessors of intangible assets","Legal services","Computer systems design and related services","Miscellaneous professional, scientific, and technical services","Management of companies and enterprises","Administrative and support services","Waste management and remediation services","Educational services","Ambulatory health care services","Hospitals","Nursing and residential care facilities","Social assistance","Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries","Accommodation","Food services and drinking places","Other services, except government","Federal general government (defense)","Federal general government (nondefense)","Federal government enterprises","State and local general government","State and local government enterprises","Total Commodity Output","Imports","CIF/FOB Adjustments on Imports","Total product supply (basic prices)","Trade margins","Transport margins","Total trade and transportation margins","Import duties","Tax on products","Subsidies","Total tax less subsidies on products","Total product supply (purchaser prices)"
"332","Fabricated metal products","---","---",13,"---",465,"---","---",106,123,1469,337175,4952,142,159,1908,1306,102,120,"---",16,"---",56,95,"---",21,519,12,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",348760,64509,"---",413268,115327,13002,128330,4678,11862,-11536,5005,546603
"333","Machinery","---","---",123,"---","---","---","---","---",44,193,3568,346793,825,774,1547,1600,14,41,"---",45,"---","---","---",0,53,329,547,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",3,"---","---","---","---",356497,163286,"---",519783,187847,16726,204573,5335,13289,-7814,10809,735165
"334","Computer and electronic products","---","---","---","---","---","---","---","---",0,1,745,1566,310824,1342,51,4298,"---",1525,"---","---","---",438,39,"---",93,126,153,"---","---","---","---","---","---","---","---","---","---","---","---","---",8,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",321210,329076,"---",650286,234796,11497,246293,6654,15240,-4320,17573,914152
"335","Electrical equipment, appliances, and components","---","---","---","---","---","---","---","---",341,2077,708,4720,1876,121199,43,470,1,55,"---","---","---","---","---",240,373,184,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",132288,108490,"---",240778,113669,8897,122566,6869,10056,-2205,14719,378063
"3361MV","Motor vehicles, bodies and trailers, and parts","---","---","---","---","---","---","---","---",0,"---",1637,1615,21,681,615665,1466,2,19,"---",210,"---","---","---","---",0,111,324,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",621751,278951,"---",900702,218457,14794,233251,5831,31614,-2718,34727,1168679
"3364OT","Other transportation equipment","---","---","---","---","---","---","---","---",0,"---",1147,836,3030,26,69,218919,"---",172,"---",0,"---","---","---","---",0,90,14,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",224302,39984,"---",264286,28536,3709,32244,565,2489,-2470,584,297115
"337","Furniture and related products","---","---","---","---","---","---","---",518,142,0,558,14,40,14,16,"---",67608,425,"---",244,"---",0,"---","---","---",443,28,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",70051,45070,"---",115121,97368,14839,112207,3078,10166,-2455,10789,238117
"339","Miscellaneous manufacturing","---","---","---","---","---","---","---",1,2,"---",1209,2469,1349,131,148,"---",108,163231,"---",211,"---",341,1029,"---",721,2312,1501,"---","---","---",2403,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",2,25,"---",1150,"---",178342,100963,"---",279305,225129,16156,241285,2196,18011,-4537,15671,536261
"311FT","Food and beverage and tobacco products","---","---","---","---","---","---","---","---","---","---","---",16,"---","---","---","---","---","---",927432,"---","---","---","---","---",9614,"---",3597,"---",11129,3034,78,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",2125,"---",957025,105104,"---",1062129,508057,25859,533916,2372,90460,-7942,84890,1680935
"313TT","Textile mills and textile product mills","---","---","---","---","---","---","---",0,482,22,8,103,1,13,144,486,201,43,1,42705,10,829,1389,0,22,414,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",46874,46394,"---",93268,83294,5260,88554,3751,7845,-1212,10384,192205
