"","Commodities/Industries","111CA","113FF","211","212","213","22","23","321","327","331","332","333","334","335","3361MV","3364OT","337","339","311FT","313TT","315AL","322","323","324","325","326","42","441","445","452","4A0","481","482","483","484","485","486","487OS","493","511","512","513","514","521CI","523","524","525","HS","ORE","532RL","5411","5415","5412OP","55","561","562","61","621","622","623","624","711AS","713","721","722","81","GFGD","GFGN","GFE","GSLG","GSLE","T001","F010","F02E","F02N","F02R","F02S","F030","F040","F06C","F06E","F06N","F06S","F07C","F07E","F07N","F07S","F10C","F10E","F10N","F10S","T019"
"","Name","Farms","Forestry, fishing, and related activities","Oil and gas extraction","Mining, except oil and gas","Support activities for mining","Utilities","Construction","Wood products","Nonmetallic mineral products","Primary metals","Fabricated metal products","Machinery","Computer and electronic products","Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts","Other transportation equipment","Furniture and related products","Miscellaneous manufacturing","Food and beverage and tobacco products","Textile mills and textile product mills","Apparel and leather and allied products","Paper products","Printing and related support activities","Petroleum and coal products","Chemical products","Plastics and rubber products","Wholesale trade","Motor vehicle and parts dealers","Food and beverage stores","General merchandise stores","Other retail","Air transportation","Rail transportation","Water transportation","Truck transportation","Transit and ground passenger transportation","Pipeline transportation","Other transportation and support activities","Warehousing and storage","Publishing industries, except internet (includes software)","Motion picture and sound recording industries","Broadcasting and telecommunications","Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments","Insurance carriers and related activities","Funds, trusts, and other financial vehicles","Housing","Other real estate","Rental and leasing services and lessors of intangible assets","Legal services","Computer systems design and related services","Miscellaneous professional, scientific, and technical services","Management of companies and enterprises","Administrative and support services","Waste management and remediation services","Educational services","Ambulatory health care services","Hospitals","Nursing and residential care facilities","Social assistance","Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries","Accommodation","Food services and drinking places","Other services, except government","Federal general government (defense)","Federal general government (nondefense)","Federal government enterprises","State and local general government","State and local government enterprises","Total Intermediate","Personal consumption expenditures","Nonresidential private fixed investment in equipment","Nonresidential private fixed investment in intellectual property products","Residential private fixed investment","Nonresidential private fixed investment in structures","Change in private inventories","Exports of goods and services","National defense: Consumption expenditures","Federal national defense: Gross investment in equipment","Federal national defense: Gross investment in intellectual property products","Federal national defense: Gross investment in structures","Nondefense: Consumption expenditures","Federal nondefense: Gross investment in equipment","Federal nondefense: Gross investment in intellectual property products","Federal nondefense: Gross investment in structures","State and local government consumption expenditures","State and local: Gross investment in equipment","State and local: Gross investment in intellectual property products","State and local: Gross investment in structures","Total use of products"
"452","General merchandise stores","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---"
"4A0","Other retail","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",1425,"---",750,1322,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",2,"---","---","---","---","---",3499,7942,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",11440
"481","Air transportation","---","---",4,20,149,700,249,111,183,142,403,263,18,25,160,97,83,204,602,24,5,125,168,119,245,314,3962,85,24,33,119,85,23,68,673,3,7,188,31,700,389,1706,1371,2701,3015,503,224,1,6737,782,1111,2133,4705,327,6824,509,495,3068,270,409,504,91,133,119,830,909,3574,962,274,3031,59,58181,59684,"---","---","---","---","---",17353,"---","---","---","---","---","---","---","---","---","---","---","---",135217
"482","Rail transportation","---","---","---","---","---",46,0,"---","---","---","---","---","---","---","---","---","---",0,"---","---","---","---",0,"---","---","---",22,7,4,"---",13,"---",112,"---",3247,"---",15,238,22,"---","---",62,0,5,2,70,"---","---","---",19,13,5,109,0,45,"---","---",4,6,"---","---","---","---","---","---",13,153,25,512,336,"---",5106,571,"---","---","---","---","---",1330,"---","---","---","---","---","---","---","---","---","---","---","---",7006
"483","Water transportation","---","---","---","---","---",0,0,"---","---","---","---",0,"---","---","---","---","---","---","---","---","---","---","---","---",0,"---",0,0,"---","---","---","---","---","---","---","---",6,"---","---","---","---",0,"---","---","---","---","---","---","---",0,"---","---",919,70,0,0,324,0,69,"---",0,0,"---","---","---",0,1089,28,262,122,"---",2890,13102,"---","---","---","---","---",4142,"---","---","---","---","---","---","---","---","---","---","---","---",20133
"484","Truck transportation",156,"---","---","---",76,"---","---",135,56,134,492,134,107,24,99,25,60,181,116,42,12,157,64,353,107,239,3411,1264,998,837,3777,840,142,46,3574,24,28,1771,111,142,93,6,252,"---","---",31,2,"---","---",124,86,50,1392,4,307,55,22,167,202,32,81,17,3,8,102,210,1982,13,272,356,21,25625,12216,"---","---","---","---","---",1487,"---","---","---","---","---","---","---","---","---","---","---","---",39328
"485","Transit and ground passenger transportation","---",3,2,5,40,3122,449,32,55,44,120,81,5,8,51,28,24,76,179,6,1,38,48,35,76,91,527,48,5,10,89,1,462,"---","---","---",3,83,5,258,114,2540,587,1114,998,1720,69,104,2444,427,565,856,6354,125,3770,152,276,1778,1594,827,143,997,55,52,329,323,13,1,9,19271,2004,55723,27388,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",83112
"486","Pipeline transportation","---","---",449,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",449,"---","---","---","---","---","---",309,"---","---","---","---","---","---","---","---","---","---","---","---",758
"487OS","Other transportation and support activities","---",111,49,1674,4,8771,"---",887,1080,146,139,16,"---",3,9,"---",239,281,835,82,"---",584,371,1086,214,596,47609,2085,987,481,15727,13596,1748,2872,53718,347,960,31895,1930,2177,1466,419,3849,476,2930,483,"---","---","---",2240,990,649,15265,586,3835,2063,385,2375,3102,517,1301,426,464,73,430,2253,1,53,450,740,4647,245779,25155,"---","---","---","---","---",11511,"---","---","---","---","---","---","---","---","---","---","---","---",282446
"493","Warehousing and storage",366,"---",9,295,"---",437,"---",3266,1876,137,1718,598,1547,71,166,99,102,769,4692,1430,311,3646,1585,2422,3149,6151,23448,8270,9757,8935,28459,15,2,687,14917,116,57,1346,11705,852,309,1151,734,"---","---",74,"---",0,79,382,200,142,986,5,2610,107,59,728,878,168,264,136,88,378,1223,939,141,132,"---",3624,104,159050,92,"---","---","---","---","---",164,"---","---","---","---","---","---","---","---","---","---","---","---",159306
"511","Publishing industries, except internet (includes software)",57,1,30,0,1,204,699,1,1,5,33,29,5,1,11,33,5,34,9,"---",0,5,45,2,25,11,2237,255,111,102,873,7,71,"---",102,7,"---",487,141,25144,86,1378,1671,425,1024,232,27,53,414,314,1429,1396,5352,2681,2892,13,822,2206,1426,153,1066,24,59,74,95,1100,2213,835,254,12342,155,72991,158564,"---",198032,"---","---",-1988,40788,"---","---",3193,"---","---","---",4097,"---","---","---",10832,"---",486509
"512","Motion picture and sound recording industries","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",15,226,205,"---",186,3,"---","---",5,"---",191,15,"---",52,14591,38014,7,14,21,"---","---","---",93,294,8,19,2069,154,59,"---",2662,39,12,1302,1096,110,62,1364,2009,575,1617,272,3,950,"---",68317,23498,"---",40020,"---","---",-68,16037,"---","---","---","---","---","---","---","---","---","---","---","---",147805
"513","Broadcasting and telecommunications",461,19,1019,180,309,1608,7252,156,251,188,692,546,93,109,277,146,99,456,959,56,17,219,285,258,535,472,17002,1863,815,520,10831,308,132,124,6629,940,1312,4113,633,4906,654,112245,6361,8363,6330,6537,661,3121,15494,1671,4802,4953,14851,6097,16197,802,2063,7457,4147,1189,1466,327,950,1017,4615,5973,5729,2526,438,42359,1067,357249,339885,7149,31342,"---","---","---",10025,"---","---","---","---","---","---","---","---","---","---","---","---",745649
"514","Data processing, internet publishing, and other information services","---",0,76,6,6,2102,1392,672,635,910,2275,1283,366,245,571,446,397,997,1525,185,53,786,337,510,626,1220,4793,2593,1545,865,6926,140,1,"---",360,70,87,1221,191,3050,269,7429,16734,8169,3719,2409,928,54,979,6301,4064,3995,20208,8197,28744,1082,4623,2562,4799,488,1849,437,665,395,3600,9149,17460,3800,292,16436,2181,221480,99577,"---",13574,"---","---","---",5691,"---","---",655,"---","---","---",623,"---","---","---",1707,"---",343305
"521CI","Federal Reserve banks, credit intermediation, and related activities",1533,57,2169,569,775,9733,9760,219,799,741,1258,1159,535,305,948,432,325,882,3571,171,61,291,268,369,1539,1199,23171,2180,3541,2736,16590,2181,6231,741,10103,9901,454,2453,1104,2819,2115,6664,2045,41789,51334,13153,2774,118661,70055,22268,4263,4317,22086,16314,13210,395,2317,12379,2504,3168,1920,378,1202,738,2499,16559,290,287,2745,4593,11216,578115,303636,"---","---","---","---","---",69353,"---","---","---","---","---","---","---","---","---","---","---","---",951104
"523","Securities, commodity contracts, and investments",229,24,4037,1164,2817,758,2624,37,68,885,1360,1181,42,209,855,386,293,838,244,12,2,34,41,68,47,108,2409,159,296,471,906,5201,948,8444,1831,1369,265,2930,58,512,481,800,144,33850,62272,9342,97404,44,6474,1188,1063,587,3782,11747,2716,71,322,2021,11775,633,2972,330,101,1612,3353,18514,19,44,97,25843,2679,346438,270627,"---","---","---","---","---",75029,"---","---","---","---","---","---","---","---","---","---","---","---",692094
"524","Insurance carriers and related activities",2563,814,10235,1415,1929,1118,1412,162,829,514,681,1128,-87,638,1040,1534,272,658,3330,274,116,278,78,291,1649,503,32105,2520,1578,1013,7330,125,40,273,9468,2105,414,2057,2406,791,2188,2941,917,8419,16810,470176,10535,18048,49393,4717,4406,1728,10840,265,11806,1462,1848,6625,96130,1577,6942,1483,1542,896,3589,6481,0,95947,322,2188,8245,944064,439898,"---","---",9747,"---","---",20909,"---","---","---","---","---","---","---","---","---","---","---","---",1414618
"525","Funds, trusts, and other financial vehicles","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",8228,15557,"---","---","---","---","---","---",28,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",23813,169218,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",193031
"HS","Housing","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",2313760,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",2313760
"ORE","Other real estate",28144,67,1625,98,112,5494,26600,530,653,378,3986,1307,2186,373,1139,2433,762,1219,4048,475,85,1111,1449,106,3149,2246,100912,14641,25773,13858,111747,142,234,203,4391,816,122,2384,20887,3515,4270,13827,14067,32954,30584,77677,1126,15675,127997,8539,19409,3208,48045,41251,17761,1502,33690,43713,46762,29304,22266,6509,10626,4361,73954,40899,5049,8046,762,42908,4340,1220478,6537,"---","---",148744,23211,"---",3097,"---","---","---","---","---","---","---","---","---","---","---","---",1402067
"532RL","Rental and leasing services and lessors of intangible assets",4499,106,5461,1239,1754,1086,22656,203,721,708,1952,1469,264,435,1401,821,136,1348,4010,99,63,792,437,1113,4241,867,35093,1383,2178,2089,12573,9029,4194,365,9572,1702,56,997,1400,3250,2460,14321,8525,7350,8000,5586,31,129,3619,6031,3031,2341,17376,24881,8357,1635,1824,4672,4961,643,636,1148,1240,1316,8102,1796,456,260,546,7422,589,291045,111467,"---","---","---","---","---",80631,"---","---","---","---","---","---","---","---","---","---","---","---",483142
"5411","Legal services",287,41,3118,447,630,4219,6534,618,465,786,3363,1324,2466,151,1487,2109,247,1686,1134,192,103,926,518,929,3227,1442,11603,452,316,570,3883,218,509,151,634,152,451,909,256,4478,1145,6425,3397,3363,7205,27954,1137,2991,18382,621,2184,5370,12998,9518,9102,465,305,5980,14725,1351,1017,813,1316,1005,2076,3475,1308,169,761,8456,802,218843,109997,"---","---",31533,"---","---",16387,"---","---","---","---","---","---","---","---","---","---","---","---",376761
"5415","Computer systems design and related services",377,25,5935,185,17,1719,4760,135,190,196,1048,1648,150,68,317,463,106,428,822,65,13,196,311,525,547,380,13443,2358,759,736,4885,110,1199,6,1838,133,24,400,370,6456,771,9506,8505,7395,8081,4829,450,461,2113,655,4434,7387,17987,21437,13749,313,1391,6622,10455,1436,1500,169,746,368,1777,3606,28553,10941,325,18309,2573,250187,"---",35140,240914,"---","---","---",42779,"---",444,9566,"---","---","---",24455,"---","---",28,9891,"---",613405
"5412OP","Miscellaneous professional, scientific, and technical services",1579,427,6511,2131,3273,13907,88022,2613,2698,4251,9782,5437,5386,1552,5099,3810,1930,6678,15852,1186,401,3283,1916,3148,10649,6593,111745,18712,9897,7782,83539,770,2192,901,9035,1254,5531,3787,1853,18975,12968,69550,45337,47184,41690,40936,3175,1659,98231,8784,9822,28807,139397,62646,53825,3371,5516,35154,45501,9154,7454,3327,4297,5851,30696,22490,49573,7059,1535,55966,18253,1453295,69529,26313,539059,3373,"---","---",169857,"---","---",60285,"---","---","---",92162,"---","---","---",22943,"---",2436816
"55","Management of companies and enterprises","---","---",17116,3542,759,28,11559,913,1968,1465,9542,16996,12200,1453,12727,4561,496,4712,29026,1088,755,3024,820,6540,18735,3144,96782,1648,6716,20300,26566,458,16,1141,15548,772,8,6124,930,12641,1286,5563,2290,4753,16014,4051,437,10,3257,5976,7527,8293,28776,99,66200,4482,1548,34094,11545,5200,3445,2063,1762,11321,60963,10655,"---","---",461,"---","---",654892,"---","---","---","---","---","---",2869,"---","---","---","---","---","---","---","---","---","---","---","---",657761
"561","Administrative and support services",850,44,1584,679,869,13576,13317,644,1399,2541,7686,2118,1937,499,2925,2567,280,1905,4742,370,415,1738,2761,2546,5074,2428,79932,5934,5018,3622,39852,5621,1466,3700,17772,3474,2975,10622,4381,13040,3255,26552,63056,24796,19214,11156,382,10916,143995,14562,10074,21122,61422,8606,74205,3758,3318,27099,50191,9579,4671,2881,2563,4616,13807,14081,19776,1360,2214,46575,8389,981095,53367,"---","---","---","---","---",2483,"---","---","---","---","---","---","---","---","---","---","---","---",1036945
"562","Waste management and remediation services",245,8,1411,245,172,852,3275,86,209,291,340,185,38,54,158,100,70,146,1476,73,7,277,76,429,1675,311,2904,920,609,254,1909,21,81,58,1595,95,55,656,943,206,46,419,74,676,122,2239,405,33,14439,411,138,172,1863,811,2787,11660,620,2618,3034,1077,930,74,717,691,2578,2399,689,216,184,19976,4389,99004,29973,"---","---","---","---","---",189,"---","---","---","---","---","---","---","---","---","---","---","---",129166
"61","Educational services",18,3,"---","---","---",235,8,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",51,14,"---",2,2116,56,1255,"---",6165,170,39,"---","---","---",31,66,"---","---","---",88,174,35,22,"---","---","---","---","---","---",79,100,"---",1364,"---",4449,1,28,"---","---",1983,430,"---","---",4622,2534,67,246,17880,20,44352,357299,"---","---","---","---","---",4499,"---","---","---","---","---","---","---","---","---","---","---","---",406150
"621","Ambulatory health care services","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",100,"---",104,"---","---",18119,16039,92,8,65,1,"---","---",95,"---",283,"---",7887,"---",42793,1088402,"---","---","---","---","---",97,"---","---","---","---","---","---","---","---","---","---","---","---",1131292
"622","Hospitals","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",5596,"---","---","---","---","---","---","---","---","---","---","---","---",5596,1147883,"---","---","---","---","---",3304,"---","---","---","---","---","---","---","---","---","---","---","---",1156783
"623","Nursing and residential care facilities","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",1459,"---",815,"---",2274,256514,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",258789
"624","Social assistance","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",3928,"---",3928,234760,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",238688
"711AS","Performing arts, spectator sports, museums, and related activities",97,1,1,"---",19,99,240,28,41,49,93,66,3,6,41,23,15,53,184,7,1,40,40,54,53,105,2218,513,547,46,790,67,92,"---",210,19,"---",237,18,326,9798,16271,391,1320,933,577,149,0,6763,346,704,698,5926,2312,2801,134,1379,1203,900,295,383,13545,575,242,858,2750,1599,29,77,1414,29,80841,39218,"---",5319,"---","---","---",1296,"---","---","---","---","---","---","---","---","---","---","---","---",126675
"713","Amusements, gambling, and recreation industries",55,1,"---",2,24,118,276,17,28,22,63,39,3,3,25,15,12,36,92,2,0,19,26,19,37,49,792,11,128,3,763,1,1,"---","---","---","---",17,4,140,62,327,297,572,522,225,37,23,1293,127,337,494,1264,1265,1777,85,107,993,41,114,158,109,23,151,372,326,1757,4,1,1866,208,17781,138225,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",156006
"721","Accommodation",1,"---",5,15,113,895,323,85,145,117,321,218,15,24,134,76,64,193,474,20,4,99,181,97,205,287,1663,19,71,26,246,"---",15,"---","---","---",15,735,64,769,391,1816,1605,3216,2930,1220,209,794,7328,898,1474,2700,5700,731,7513,597,452,3678,242,374,439,90,116,189,1088,893,1189,322,35,2646,157,58765,86365,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",145130
"722","Food services and drinking places",343,21,12,33,223,1288,328,119,180,173,375,283,22,41,172,90,73,228,721,36,8,145,155,192,238,315,3739,606,798,467,2956,10581,4,5,1946,126,91,1799,177,698,545,1654,1443,4774,2917,5026,478,4835,21795,1326,2457,3257,13075,2516,13226,526,973,17682,10618,7930,2054,325,927,3111,2543,2908,455,89,683,9048,424,169430,698277,"---","---","---","---","---",1693,"---","---","---","---","---","---","---","---","---","---","---","---",869400
"81","Other services, except government",482,299,207,140,381,495,10548,434,874,1240,1946,966,280,221,1079,262,174,623,3249,179,25,1727,499,1094,3354,1407,32835,2358,4308,1988,12486,162,163,1764,10831,827,298,2539,1438,773,246,4448,4421,5578,3440,11683,642,76,9596,6270,1281,749,10193,8546,13884,2360,1107,5334,15043,1842,1063,712,1032,1506,12308,10798,4511,405,1119,32355,2591,280093,600095,"---","---","---","---","---",83,"---","---","---","---","---","---","---","---","---","---","---","---",880271
"GFGD","Federal general government (defense)","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",700477,"---","---","---","---","---","---","---","---","---","---","---",700477
"GFGN","Federal general government (nondefense)","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",460969,"---","---","---","---","---","---","---",460969
"GFE","Federal government enterprises",8,1,"---",4,"---",154,5,"---","---",7,18,188,0,95,"---","---","---",19,"---",1,"---","---",34,34,44,"---",9818,382,315,152,3235,3,"---",2107,6367,129,114,1041,290,426,314,305,807,1811,12115,115,"---",1,259,426,270,167,1766,137,1034,96,197,708,1310,231,305,69,49,295,1686,922,0,116,1,1154,93,51749,18518,"---","---","---","---","---",946,"---","---","---","---","---","---","---","---","---","---","---","---",71213
"GSLG","State and local general government","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",1916544,"---","---","---",1916544
"GSLE","State and local government enterprises","---",3,"---","---","---",3757,"---",30,94,140,137,79,21,29,70,28,20,59,719,38,5,135,28,201,910,119,1073,304,311,115,887,2,"---","---",347,10,22,192,483,146,74,266,78,424,239,160,"---","---",1259,1384,757,234,2349,413,2277,137,105,1043,1042,441,3286,35,222,354,1298,1248,687,290,137,6524,1230,38508,72584,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",111092
"Other","Noncomparable imports and rest-of-the-world adjustment",928,57,955,18,261,981,2393,192,212,562,786,1145,1138,324,1023,257,122,595,2154,113,38,470,224,1647,2413,620,5181,41,691,533,3387,13060,163,2372,1024,7,19,391,93,964,329,7293,862,2581,37108,1509,86,1723,2282,811,135,1125,2487,1445,1448,39,622,"---","---",352,"---",192,215,350,1453,398,6863,3026,548,"---","---",122837,-30132,"---",10260,"---","---","---",79163,"---","---","---","---","---","---","---","---","---","---","---","---",182129
"Used","Scrap, used and secondhand goods",-50,179,"---",-30,770,9135,3574,"---",123,34841,443,6,"---","---","---","---","---",3,"---",38,"---",5480,"---","---",83,85,"---",25,"---","---",495,-55,"---",-79,580,1,122,10368,3,"---",5,2,"---","---","---","---","---","---","---",-52,"---","---","---",284,"---","---",5282,3,"---","---","---",-51,439,"---","---",8302,-16,"---","---","---","---",80336,197158,-128202,"---",403,-2818,-8356,35333,"---",0,"---",-4,"---",17543,"---",-1764,"---",8751,"---",4183,202563
"T005","Total Intermediate",267415,13766,158366,43393,28446,189699,887729,70777,65961,159169,206786,221084,61264,64373,482639,114294,37401,85720,674772,32221,7962,128463,38768,272049,385258,157312,834155,97616,108876,104342,503302,68674,36787,30379,214150,29356,15740,124151,75526,124882,65445,434926,214445,272231,350895,713065,139918,273514,861197,118335,90072,119042,582176,268570,452261,54323,100039,363626,440406,102680,97032,41725,46455,61073,365458,278765,282294,154248,25816,768767,222483,15584308,14047568,1123868,1078520,897780,597221,-59565,1826344,700477,97196,73698,9959,460969,20559,121337,17584,1916544,50365,45372,345478,38955583
"V001","Compensation of employees",29062,30303,28332,17587,24949,93779,595769,25634,31697,31680,102200,96919,170469,38501,74080,85939,21881,56786,126293,11551,6828,31894,24582,20845,115448,50877,563131,128671,113219,101129,328235,58135,22132,7225,109185,21237,8510,108256,76711,178433,33616,114405,100282,319583,274501,316323,3419,22061,111171,36581,146539,327266,703058,359242,454866,34709,214587,619188,441559,150437,139999,55035,46946,66742,261323,331940,280120,208473,63568,1459771,114688,11580088,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---"
"V003","Gross operating surplus",140318,9770,34825,34742,3575,182332,360231,17989,35589,25628,51474,64324,141735,25904,79103,43766,11629,46348,143047,4274,3809,27123,16965,88475,264760,30815,451069,66219,36107,14202,217520,5153,17388,1678,60438,15976,28756,37741,3410,138549,30846,307669,214088,444058,65139,279198,21394,1757801,384772,184183,128547,43627,303057,44335,154598,23730,31279,187118,69593,9456,8206,30878,16852,25492,115079,87754,167506,126404,8979,229620,56380,8540393,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---"
"T00OTOP","Other taxes on production",10574,1394,26022,3161,2135,37134,9825,749,1622,2719,3268,3889,9051,1273,3952,3113,428,1777,7625,666,313,1924,810,3958,15845,1824,14557,4004,3786,3828,13675,4132,1543,950,4460,975,3950,2644,920,5585,4110,3690,4743,19253,5191,7555,615,291522,31069,10132,1445,2332,11147,8676,4700,2164,9738,9304,13441,3991,1350,3027,4136,6964,4802,11823,"---","---","---","---","---",696981,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---"
"VABAS","Value Added (basic prices)",179954,41466,89179,55489,30659,313245,965824,44372,68908,60026,156942,165131,321254,65677,157135,132817,33937,104911,276965,16492,10949,60942,42356,113278,396053,83516,1028758,198894,153113,119159,559430,67421,41063,9852,174084,38188,41215,148641,81040,322567,68572,425764,319113,782895,344831,603076,25428,2071384,527011,230896,276532,373226,1017263,412254,614165,60603,255603,815609,524594,163884,149554,88940,67934,99198,381203,431517,447626,334877,72547,1689391,171068,20817462,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---"
"T018","Total industry output (basic prices)",447368,55233,247545,98882,59106,502944,1853553,115149,134869,219195,363728,386215,382518,130051,639774,247111,71338,190631,951737,48713,18912,189405,81125,385327,781311,240829,1862912,296510,261989,223501,1062732,136095,77850,40231,388234,67544,56955,272792,156566,447449,134017,860690,533558,1055126,695725,1316141,165346,2344898,1388208,349231,366604,492268,1599439,680824,1066426,114926,355642,1179235,965000,266564,246586,130665,114390,160271,746661,710281,729920,489125,98362,2458158,393551,36401770,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---"
"T00TOP","Taxes on products and imports","---",536,9315,2318,230,30167,2243,126,142,151,404,252,408,128,221,120,49,200,20740,17,15,59,302,978,3030,310,248956,49315,26660,41933,113506,11072,795,199,552,1065,71,321,144,1355,3193,35587,1963,2761,1357,44602,45,"---",1595,13528,18012,5371,6247,1596,6849,1856,987,1713,2612,2936,1149,5942,9324,26079,58549,14887,"---","---","---","---",528,837669,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---"
"T00SUB","Less: Subsidies",-45291,-2137,-841,-1065,-3186,-1695,-72207,-2256,-2297,-1867,-11536,-7814,-4320,-2205,-2718,-2470,-2455,-4537,-7942,-1212,-1162,-1263,-3056,-580,-4460,-3202,-34440,-19015,-7577,-3629,-29586,-20586,-4300,-452,-9917,-1869,-92,-5158,-1327,-3934,-1625,-1878,-2755,-4696,-4807,-7378,-367,-20729,-16198,-3128,-12801,-11971,-44115,-3394,-29298,-2621,-5273,-78822,-14188,-11821,-9935,-3584,-5197,-9509,-46802,-27413,"---","---",-6692,"---",-38733,-761388,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---"
"VAPRO","Value Added (producer prices)",134662,39865,97653,56742,27704,341717,895860,42241,66753,58310,145810,157569,317342,63600,154638,130467,31530,100574,289763,15297,9802,59738,39602,113676,394623,80624,1243274,229194,172196,157463,643350,57907,37559,9600,164719,37384,41194,143803,79857,319988,70140,459473,318321,780960,341381,640299,25105,2050655,512408,241296,281743,366626,979395,410456,591716,59838,251318,738500,513018,154999,140768,91298,72061,115768,392951,418990,447626,334877,65855,1689391,132863,20893744,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---"
