Date,Open,High,Low,Close
12/31/2020,"231.38","229.10","229.10","229.10"
12/30/2020,"228.57","231.50","231.50","231.50"
12/29/2020,"230.25","228.58","228.58","228.58"
12/28/2020,"227.81","229.43","229.43","229.43"
12/24/2020,"230.48","227.60","227.60","227.60"
12/23/2020,"223.46","230.24","230.24","230.24"
12/22/2020,"228.75","223.41","223.41","223.41"
12/21/2020,"230.39","228.24","228.24","228.24"
12/18/2020,"233.48","230.89","230.89","230.89"
12/17/2020,"232.66","233.60","233.60","233.60"
12/16/2020,"236.49","232.49","232.49","232.49"
12/15/2020,"231.21","236.68","236.68","236.68"
12/14/2020,"237.23","231.05","231.05","231.05"
12/11/2020,"241.18","236.22","236.22","236.22"
12/10/2020,"236.11","242.36","242.36","242.36"
12/09/2020,"242.28","236.75","236.75","236.75"
12/08/2020,"241.07","241.62","241.62","241.62"
12/07/2020,"241.23","242.03","242.03","242.03"
12/04/2020,"242.93","241.00","241.00","241.00"
12/03/2020,"234.15","242.55","242.55","242.55"
12/02/2020,"228.62","233.37","233.37","233.37"
12/01/2020,"228.06","228.87","228.87","228.87"
11/30/2020,"233.88","227.41","227.41","227.41"
11/27/2020,"235.29","232.93","232.93","232.93"
11/25/2020,"233.59","234.80","234.80","234.80"
11/24/2020,"221.49","233.92","233.92","233.92"
11/23/2020,"213.52","220.83","220.83","220.83"
11/20/2020,"216.56","212.55","212.55","212.55"
11/19/2020,"215.26","216.40","216.40","216.40"
11/18/2020,"214.69","215.34","215.34","215.34"
11/17/2020,"214.48","214.35","214.35","214.35"
11/16/2020,"208.97","215.31","215.31","215.31"
11/13/2020,"196.23","206.29","206.29","206.29"
11/12/2020,"200.88","195.91","195.91","195.91"
11/11/2020,"209.52","201.76","201.76","201.76"
11/10/2020,"209.92","210.30","210.30","210.30"
11/09/2020,"189.77","210.65","210.65","210.65"
11/06/2020,"186.96","183.62","183.62","183.62"
11/05/2020,"178.80","187.47","187.47","187.47"
11/04/2020,"179.91","178.06","178.06","178.06"
11/03/2020,"177.80","179.97","179.97","179.97"
11/02/2020,"180.50","177.58","177.58","177.58"
10/30/2020,"179.64","180.31","180.31","180.31"
10/29/2020,"173.75","179.79","179.79","179.79"
10/28/2020,"180.27","173.87","173.87","173.87"
10/27/2020,"187.35","181.15","181.15","181.15"
10/26/2020,"198.30","187.54","187.54","187.54"
10/23/2020,"196.33","198.59","198.59","198.59"
10/22/2020,"186.38","196.45","196.45","196.45"
10/21/2020,"188.45","186.56","186.56","186.56"
10/20/2020,"186.79","188.57","188.57","188.57"
10/19/2020,"184.99","186.24","186.24","186.24"
10/16/2020,"182.50","184.56","184.56","184.56"
10/15/2020,"184.83","182.11","182.11","182.11"
