Date,Open,High,Low,Close
12/31/2020,"55.20","55.75","55.75","55.75"
12/30/2020,"54.75","55.20","55.20","55.20"
12/29/2020,"56.48","54.72","54.72","54.72"
12/28/2020,"56.56","56.45","56.45","56.45"
12/24/2020,"56.05","56.53","56.53","56.53"
12/23/2020,"54.79","56.05","56.05","56.05"
12/22/2020,"55.72","54.78","54.78","54.78"
12/21/2020,"55.68","55.71","55.71","55.71"
12/18/2020,"54.21","55.70","55.70","55.70"
12/17/2020,"54.28","54.20","54.20","54.20"
12/16/2020,"55.08","54.22","54.22","54.22"
12/15/2020,"53.13","55.08","55.08","55.08"
12/14/2020,"53.13","53.12","53.12","53.12"
12/11/2020,"53.48","53.12","53.12","53.12"
12/10/2020,"52.46","53.53","53.53","53.53"
12/09/2020,"52.12","52.47","52.47","52.47"
12/08/2020,"51.62","52.11","52.11","52.11"
12/07/2020,"51.55","51.64","51.64","51.64"
12/04/2020,"50.80","51.57","51.57","51.57"
12/03/2020,"49.89","50.80","50.80","50.80"
12/02/2020,"50.58","49.81","49.81","49.81"
12/01/2020,"50.18","50.59","50.59","50.59"
11/30/2020,"51.45","50.18","50.18","50.18"
11/27/2020,"50.76","51.48","51.48","51.48"
11/25/2020,"51.44","50.80","50.80","50.80"
11/24/2020,"50.92","51.43","51.43","51.43"
11/23/2020,"49.96","50.86","50.86","50.86"
11/20/2020,"49.68","49.93","49.93","49.93"
11/19/2020,"49.79","49.71","49.71","49.71"
11/18/2020,"50.58","49.82","49.82","49.82"
11/17/2020,"50.44","50.58","50.58","50.58"
11/16/2020,"49.84","50.45","50.45","50.45"
11/13/2020,"48.91","49.81","49.81","49.81"
11/12/2020,"49.65","48.88","48.88","48.88"
11/11/2020,"49.96","49.68","49.68","49.68"
11/10/2020,"49.20","49.89","49.89","49.89"
11/09/2020,"48.00","49.16","49.16","49.16"
11/06/2020,"48.57","47.82","47.82","47.82"
11/05/2020,"49.15","48.51","48.51","48.51"
11/04/2020,"45.89","49.11","49.11","49.11"
11/03/2020,"45.58","45.91","45.91","45.91"
11/02/2020,"45.14","45.52","45.52","45.52"
10/30/2020,"45.38","45.10","45.10","45.10"
10/29/2020,"44.88","45.37","45.37","45.37"
10/28/2020,"47.22","45.02","45.02","45.02"
10/27/2020,"48.83","47.53","47.53","47.53"
10/26/2020,"49.28","48.76","48.76","48.76"
10/23/2020,"48.86","49.31","49.31","49.31"
10/22/2020,"48.72","48.83","48.83","48.83"
10/21/2020,"49.23","48.74","48.74","48.74"
10/20/2020,"48.91","49.23","49.23","49.23"
10/19/2020,"49.05","48.60","48.60","48.60"
