,cocoa,crude,gold,lean_hog,coffee,lumber,live_cattle,natural_gas,sugar,silver,treasury_bond,corn,oat,soybean
2002,1520.0,22.43000030517578,296.70001220703125,59.70000076293945,47.5,303.6000061035156,74.67500305175781,2.400000095367432,6.050000190734863,4.53000020980835,102.9375,200.0,240.0,444.0
2003,2035.0,31.549999237060547,346.1000061035156,52.0,60.5,219.0,79.4000015258789,4.96999979019165,7.650000095367432,4.811999797821045,112.53130340576172,235.75,134.0,570.0
2004,1522.5,32.64000129699707,416.3000030517578,55.42499923706055,64.17499923706055,316.20001220703125,74.30000305175781,6.4624998569488525,5.744999885559082,6.076499938964844,109.21880340576172,246.0,152.0,792.5
2005,1540.0,43.09999847412109,431.0,77.0,103.5,362.0,91.04999923706056,5.948999881744385,9.079999923706056,6.739999771118164,112.5,203.5,156.0,546.0
2006,1515.0,61.040000915527344,518.5999755859375,65.3499984741211,107.5,363.8999938964844,92.47499702090307,10.699999809265137,14.649999618530272,9.029999732971191,114.21880340576172,215.25,195.0,608.0
2007,1657.5,60.97999954223633,635.2000122070312,61.5625,124.70000076293944,268.0,92.5,6.204999923706055,11.740000247955322,12.817999839782717,111.46875,388.125,276.25,678.125
2008,2028.0,96.0500030517578,848.7000122070312,57.75,136.0,233.8999938964844,96.0999984741211,7.572000026702881,10.890000343322754,15.166999816894531,116.40625,456.25,306.25,1206.25
2009,2649.0,43.720001220703125,881.5,60.875,111.8499984741211,168.6999969482422,86.07499694824219,5.550000190734863,11.800000190734863,11.19499969482422,138.71875,404.0,213.5,965.0
2010,3288.0,79.62999725341797,1117.699951171875,65.92500305175781,136.0,204.0,86.5,5.704999923706055,27.0,17.440000534057617,115.0,415.75,276.25,1043.0
2011,3028.5,91.30999755859376,1415.5999755859375,79.5999984741211,237.6500015258789,303.6000061035156,108.3499984741211,4.492000102996826,31.449999809265137,30.854999542236328,122.0625,626.25,393.75,1388.5
2012,2122.0,99.6999969482422,1568.9000244140625,84.7249984741211,226.8500061035156,249.8000030517578,122.0,2.969000101089477,23.399999618530277,28.165000915527344,143.9375,662.0,314.0,1223.75
2013,2246.0,91.77999877929688,1672.800048828125,86.19999694824219,145.0,372.6000061035156,132.9499969482422,3.3480000495910645,19.649999618530277,30.6299991607666,146.1875,706.25,348.5,1437.0
2014,2702.0,98.5,1204.300048828125,86.125,111.0500030517578,359.8999938964844,134.9250030517578,4.23199987411499,16.3799991607666,20.309999465942383,128.09375,422.0,357.0,1312.5
2015,2917.0,53.7599983215332,1184.0,80.94999694824219,165.0500030517578,331.0,165.47500610351562,2.845000028610229,14.520000457763672,15.789999961853027,144.34375,396.25,304.0,1017.75
2016,3214.0,37.59999847412109,1063.4000244140625,59.875,126.1500015258789,256.20001220703125,135.5749969482422,2.365999937057495,15.18000030517578,14.100000381469728,153.4375,359.5,217.0,870.75
2017,2135.0,54.20000076293945,1155.199951171875,66.4000015258789,137.8000030517578,315.0,116.5,3.568000078201294,19.6299991607666,16.040000915527344,150.21875,352.0,230.0,996.0
2018,1900.0,60.20000076293945,1302.300048828125,72.0,126.0,449.0,122.25,3.0299999713897705,15.079999923706056,17.155000686645508,152.84375,351.25,240.75,956.5
2019,2419.0,45.79999923706055,1286.0,61.375,101.5999984741211,331.5,124.0999984741211,2.9210000038146973,12.100000381469728,15.520000457763672,145.71875,375.25,275.25,881.5
2020,2524.0,61.59999847412109,1518.0999755859375,71.5999984741211,129.5500030517578,404.0,126.0,2.184000015258789,13.470000267028809,17.965999603271484,155.625,387.75,292.25,943.25
