"Industry-by-Industry Total Requirements, After Redefinitions - Summary"
"2012, (in producers' prices)" 
"Bureau of Economic Analysis" 
""
"","Industries/Industries","111CA","113FF","211","212","213","22","23","321","327","331","332","333","334","335","3361MV","3364OT","337","339","311FT","313TT","315AL","322","323","324","325","326","42","441","445","452","4A0","481","482","483","484","485","486","487OS","493","511","512","513","514","521CI","523","524","525","HS","ORE","532RL","5411","5415","5412OP","55","561","562","61","621","622","623","624","711AS","713","721","722","81","GFGD","GFGN","GFE","GSLG","GSLE"
"","Industry Description","Farms","Forestry, fishing, and related activities","Oil and gas extraction","Mining, except oil and gas","Support activities for mining","Utilities","Construction","Wood products","Nonmetallic mineral products","Primary metals","Fabricated metal products","Machinery","Computer and electronic products","Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts","Other transportation equipment","Furniture and related products","Miscellaneous manufacturing","Food and beverage and tobacco products","Textile mills and textile product mills","Apparel and leather and allied products","Paper products","Printing and related support activities","Petroleum and coal products","Chemical products","Plastics and rubber products","Wholesale trade","Motor vehicle and parts dealers","Food and beverage stores","General merchandise stores","Other retail","Air transportation","Rail transportation","Water transportation","Truck transportation","Transit and ground passenger transportation","Pipeline transportation","Other transportation and support activities","Warehousing and storage","Publishing industries, except internet (includes software)","Motion picture and sound recording industries","Broadcasting and telecommunications","Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments","Insurance carriers and related activities","Funds, trusts, and other financial vehicles","Housing","Other real estate","Rental and leasing services and lessors of intangible assets","Legal services","Computer systems design and related services","Miscellaneous professional, scientific, and technical services","Management of companies and enterprises","Administrative and support services","Waste management and remediation services","Educational services","Ambulatory health care services","Hospitals","Nursing and residential care facilities","Social assistance","Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries","Accommodation","Food services and drinking places","Other services, except government","Federal general government (defense)","Federal general government (nondefense)","Federal government enterprises","State and local general government","State and local government enterprises"
"111CA","Farms",1.2114403,0.0400107,0.0017890,0.0042916,0.0020201,0.0013398,0.0044710,0.0228647,0.0049657,0.0032243,0.0029975,0.0031513,0.0011406,0.0031216,0.0045942,0.0021425,0.0095791,0.0081712,0.4060641,0.0709229,0.0328084,0.0163336,0.0129700,0.0028530,0.0460961,0.0188589,0.0017702,0.0037583,0.0045774,0.0019521,0.0018579,0.0036239,0.0016358,0.0045896,0.0015753,0.0008389,0.0009949,0.0027608,0.0017890,0.0014503,0.0010578,0.0013534,0.0024287,0.0011105,0.0013487,0.0005234,0.0015312,0.0002746,0.0026407,0.0013837,0.0011363,0.0010023,0.0036342,0.0014719,0.0032783,0.0023560,0.0110032,0.0030392,0.0078519,0.0149046,0.0207094,0.0026193,0.0153710,0.0123933,0.0335426,0.0029859,0.0033635,-0.0001192,0.0043666,0.0126802,0.0023785
"113FF","Forestry, fishing, and related activities",0.0699246,1.1251016,0.0004420,0.0020261,0.0007159,0.0004823,0.0041342,0.1374436,0.0022407,0.0017871,0.0013548,0.0019292,0.0006332,0.0016180,0.0032092,0.0011394,0.0160232,0.0045612,0.0337578,0.0058423,0.0118207,0.0316388,0.0050353,0.0006338,0.0055287,0.0178026,0.0008286,0.0006776,0.0048202,0.0005388,0.0007111,0.0008351,0.0026912,0.0009289,0.0006580,0.0006951,0.0005811,0.0015756,0.0011332,0.0007573,0.0004223,0.0007232,0.0016439,0.0004100,0.0004855,0.0001944,0.0005219,0.0002135,0.0015183,0.0007525,0.0004301,0.0003449,0.0009058,0.0004836,0.0008344,0.0008920,0.0015036,0.0008757,0.0013110,0.0019387,0.0031547,0.0004768,0.0028173,0.0040365,0.0074112,0.0010876,0.0006596,0.0004200,0.0011092,0.0029707,0.0012383
"211","Oil and gas extraction",0.0475680,0.0279336,1.1358578,0.0776496,0.0286568,0.1182322,0.0453930,0.0391513,0.0412268,0.0476351,0.0262546,0.0244487,0.0074712,0.0324504,0.0255138,0.0142852,0.0322145,0.0239001,0.0372210,0.0477139,0.0178400,0.0456874,0.0404303,0.7759004,0.0745239,0.0536897,0.0129474,0.0130280,0.0167401,0.0110014,0.0118258,0.1673133,0.0944211,0.1381635,0.1456748,0.0399361,0.0129662,0.0726187,0.0274799,0.0080639,0.0058480,0.0082346,0.0143616,0.0132718,0.0150996,0.0030751,0.0209109,0.0026448,0.0234046,0.0146740,0.0061707,0.0057836,0.0089002,0.0104213,0.0120029,0.0282534,0.0125705,0.0109086,0.0174317,0.0150552,0.0168424,0.0072112,0.0170954,0.0192415,0.0175054,0.0133616,0.0397141,0.0091746,0.0644500,0.0537821,0.1429082
"212","Mining, except oil and gas",0.0120275,0.0028296,0.0052016,1.0681731,0.0035006,0.0280796,0.0172909,0.0070094,0.0866096,0.0993891,0.0287210,0.0183504,0.0036945,0.0227174,0.0200927,0.0098995,0.0127028,0.0116320,0.0105723,0.0124382,0.0038111,0.0204158,0.0064067,0.0080504,0.0195377,0.0127379,0.0017568,0.0019825,0.0029550,0.0020415,0.0021091,0.0031414,0.0052810,0.0044160,0.0031669,0.0013821,0.0029200,0.0034613,0.0061964,0.0015585,0.0011117,0.0027510,0.0039692,0.0010635,0.0015786,0.0005149,0.0019177,0.0007615,0.0045792,0.0018243,0.0010426,0.0009457,0.0024066,0.0017619,0.0024613,0.0052830,0.0030851,0.0022194,0.0029132,0.0026942,0.0034864,0.0026515,0.0064449,0.0034671,0.0037627,0.0037778,0.0024127,0.0064678,0.0031752,0.0033216,0.0288943
"213","Support activities for mining",0.0021718,0.0011875,0.0449705,0.0238861,1.0101291,0.0052491,0.0023502,0.0018522,0.0034848,0.0040184,0.0020706,0.0017168,0.0004635,0.0020594,0.0018441,0.0010225,0.0017641,0.0013390,0.0017980,0.0022334,0.0008359,0.0024076,0.0018309,0.0308215,0.0034334,0.0025538,0.0005695,0.0005798,0.0007435,0.0004927,0.0005335,0.0066933,0.0038787,0.0056850,0.0058514,0.0016238,0.0006869,0.0029856,0.0012662,0.0003838,0.0002650,0.0004590,0.0007027,0.0005584,0.0006462,0.0001378,0.0008837,0.0001290,0.0010509,0.0006494,0.0002764,0.0002711,0.0004545,0.0004723,0.0005543,0.0013662,0.0005799,0.0004950,0.0007726,0.0006704,0.0007958,0.0003481,0.0008336,0.0008643,0.0008030,0.0006545,0.0016725,0.0005173,0.0026732,0.0022179,0.0063027
"22","Utilities",0.0273294,0.0091452,0.0219378,0.0461456,0.0070697,1.0545515,0.0146894,0.0359220,0.0479043,0.0507200,0.0310857,0.0222707,0.0102791,0.0245745,0.0259724,0.0157949,0.0283553,0.0194282,0.0286551,0.0435647,0.0160508,0.0524580,0.0301576,0.0260756,0.0383469,0.0406532,0.0165134,0.0236683,0.0502018,0.0330932,0.0268262,0.0108335,0.0095203,0.0153859,0.0152617,0.0062054,0.0286510,0.0135859,0.1097308,0.0086512,0.0075675,0.0120847,0.0156523,0.0079103,0.0100453,0.0042817,0.0205871,0.0012749,0.0645412,0.0114434,0.0089268,0.0043822,0.0096692,0.0202530,0.0093916,0.0149008,0.0238671,0.0115606,0.0194316,0.0216925,0.0187632,0.0102136,0.0245297,0.0448749,0.0352692,0.0138861,0.0086400,0.0068343,0.0218271,0.0142968,0.0182389
"23","Construction",0.0163641,0.0041789,0.0082293,0.0303721,0.0160119,0.0247295,1.0058060,0.0101911,0.0137443,0.0147403,0.0099641,0.0078596,0.0033227,0.0079661,0.0083906,0.0051505,0.0099452,0.0067980,0.0116157,0.0106884,0.0054363,0.0137388,0.0103915,0.0178269,0.0108881,0.0111746,0.0077095,0.0095936,0.0135239,0.0102917,0.0124363,0.0099838,0.0330909,0.0115945,0.0103436,0.0074513,0.0304303,0.0167952,0.0273264,0.0042733,0.0043308,0.0085628,0.0073350,0.0091591,0.0100715,0.0042014,0.0122092,0.0383439,0.0699702,0.0070338,0.0072707,0.0025853,0.0064106,0.0072846,0.0049333,0.0066211,0.0100454,0.0066837,0.0079094,0.0119204,0.0134991,0.0067803,0.0116003,0.0143998,0.0124115,0.0125679,0.0142269,0.0078515,0.0228697,0.0197693,0.1497734
"321","Wood products",0.0035848,0.0026319,0.0011557,0.0039560,0.0024012,0.0017006,0.0305132,1.2623019,0.0080226,0.0062640,0.0040408,0.0068873,0.0025968,0.0050237,0.0132644,0.0037708,0.1194513,0.0106341,0.0048371,0.0039885,0.0020506,0.0465982,0.0061497,0.0015119,0.0031301,0.0104292,0.0030799,0.0019178,0.0047083,0.0017564,0.0027745,0.0012967,0.0219645,0.0019478,0.0021504,0.0014276,0.0021153,0.0031904,0.0051524,0.0019276,0.0016849,0.0028321,0.0096577,0.0011749,0.0013848,0.0006229,0.0014413,0.0014333,0.0093469,0.0030936,0.0012933,0.0007589,0.0018142,0.0012683,0.0021507,0.0022600,0.0017624,0.0018042,0.0021141,0.0020976,0.0091777,0.0011153,0.0028784,0.0041736,0.0032972,0.0027024,0.0015134,0.0012576,0.0034402,0.0038512,0.0064553
"327","Nonmetallic mineral products",0.0034436,0.0016888,0.0050779,0.0095805,0.0065390,0.0028151,0.0439672,0.0159596,1.1392991,0.0202600,0.0108322,0.0151040,0.0030128,0.0243021,0.0246268,0.0058292,0.0131518,0.0091683,0.0109397,0.0091028,0.0039500,0.0086396,0.0033907,0.0058557,0.0066525,0.0124356,0.0016008,0.0027921,0.0022244,0.0015468,0.0022553,0.0023594,0.0035285,0.0030648,0.0026885,0.0011976,0.0025079,0.0029913,0.0051358,0.0012574,0.0008912,0.0058610,0.0063185,0.0012383,0.0015405,0.0005380,0.0016985,0.0017774,0.0044490,0.0030052,0.0010358,0.0011489,0.0036528,0.0014743,0.0029785,0.0042832,0.0018112,0.0037297,0.0044134,0.0029809,0.0042229,0.0010051,0.0027881,0.0026289,0.0045396,0.0037748,0.0023218,0.0022741,0.0030260,0.0031995,0.0141513
