"Industry-by-Industry Total Requirements, After Redefinitions - Summary"
"2016, (in producers' prices)" 
"Bureau of Economic Analysis" 
""
"","Industries/Industries","111CA","113FF","211","212","213","22","23","321","327","331","332","333","334","335","3361MV","3364OT","337","339","311FT","313TT","315AL","322","323","324","325","326","42","441","445","452","4A0","481","482","483","484","485","486","487OS","493","511","512","513","514","521CI","523","524","525","HS","ORE","532RL","5411","5415","5412OP","55","561","562","61","621","622","623","624","711AS","713","721","722","81","GFGD","GFGN","GFE","GSLG","GSLE"
"","Industry Description","Farms","Forestry, fishing, and related activities","Oil and gas extraction","Mining, except oil and gas","Support activities for mining","Utilities","Construction","Wood products","Nonmetallic mineral products","Primary metals","Fabricated metal products","Machinery","Computer and electronic products","Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts","Other transportation equipment","Furniture and related products","Miscellaneous manufacturing","Food and beverage and tobacco products","Textile mills and textile product mills","Apparel and leather and allied products","Paper products","Printing and related support activities","Petroleum and coal products","Chemical products","Plastics and rubber products","Wholesale trade","Motor vehicle and parts dealers","Food and beverage stores","General merchandise stores","Other retail","Air transportation","Rail transportation","Water transportation","Truck transportation","Transit and ground passenger transportation","Pipeline transportation","Other transportation and support activities","Warehousing and storage","Publishing industries, except internet (includes software)","Motion picture and sound recording industries","Broadcasting and telecommunications","Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments","Insurance carriers and related activities","Funds, trusts, and other financial vehicles","Housing","Other real estate","Rental and leasing services and lessors of intangible assets","Legal services","Computer systems design and related services","Miscellaneous professional, scientific, and technical services","Management of companies and enterprises","Administrative and support services","Waste management and remediation services","Educational services","Ambulatory health care services","Hospitals","Nursing and residential care facilities","Social assistance","Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries","Accommodation","Food services and drinking places","Other services, except government","Federal general government (defense)","Federal general government (nondefense)","Federal government enterprises","State and local general government","State and local government enterprises"
"111CA","Farms",1.2144862,0.0329474,0.0010580,0.0025798,0.0011382,0.0009636,0.0032736,0.0194501,0.0030631,0.0020776,0.0016949,0.0017098,0.0004453,0.0015559,0.0027085,0.0010553,0.0060040,0.0057086,0.3420532,0.0573593,0.0225161,0.0121804,0.0065684,0.0020695,0.0214547,0.0090247,0.0011882,0.0032773,0.0031175,0.0015650,0.0014235,0.0012751,0.0012842,0.0042782,0.0010893,0.0007343,0.0002519,0.0021783,0.0011673,0.0008890,0.0007450,0.0008750,0.0012146,0.0007212,0.0009397,0.0004306,0.0009873,0.0002435,0.0020966,0.0007779,0.0006847,0.0006012,0.0026997,0.0009882,0.0026675,0.0015221,0.0080385,0.0017965,0.0053119,0.0117841,0.0151441,0.0017868,0.0135606,0.0104763,0.0232269,0.0023542,0.0019773,-0.0007220,0.0033585,0.0121935,0.0014539
"113FF","Forestry, fishing, and related activities",0.0702157,1.1331186,0.0004144,0.0021052,0.0006403,0.0005232,0.0047965,0.1490424,0.0021233,0.0018703,0.0013220,0.0016259,0.0004371,0.0015172,0.0028650,0.0008971,0.0157873,0.0040202,0.0315194,0.0048607,0.0091485,0.0422495,0.0055807,0.0007104,0.0031149,0.0102059,0.0007854,0.0007481,0.0042901,0.0005485,0.0007831,0.0004508,0.0044486,0.0009243,0.0006935,0.0008604,0.0002279,0.0014661,0.0011063,0.0006905,0.0003936,0.0006378,0.0010892,0.0003689,0.0005184,0.0002295,0.0004992,0.0002640,0.0017541,0.0006162,0.0003892,0.0002726,0.0008432,0.0004623,0.0008901,0.0007959,0.0013463,0.0006916,0.0011312,0.0018601,0.0026889,0.0004487,0.0026957,0.0039456,0.0062243,0.0010472,0.0005080,0.0002293,0.0011013,0.0030851,0.0012557
"211","Oil and gas extraction",0.0187959,0.0082498,1.0619502,0.0284172,0.0106914,0.0613216,0.0198059,0.0158143,0.0140406,0.0185841,0.0101356,0.0089751,0.0021047,0.0127771,0.0091908,0.0043878,0.0114030,0.0092747,0.0143056,0.0148556,0.0062837,0.0162950,0.0152949,0.6108138,0.0246578,0.0179489,0.0047653,0.0061476,0.0066528,0.0046023,0.0054710,0.0713089,0.0323953,0.0393450,0.0511546,0.0161188,0.0026206,0.0269895,0.0113287,0.0032988,0.0023823,0.0033049,0.0040506,0.0046700,0.0083614,0.0014896,0.0084325,0.0011897,0.0121677,0.0045051,0.0023960,0.0020327,0.0037283,0.0041015,0.0058687,0.0128843,0.0051198,0.0042127,0.0079775,0.0066247,0.0067939,0.0032404,0.0068279,0.0073627,0.0065720,0.0054373,0.0101236,0.0019788,0.0270924,0.0200211,0.0739418
"212","Mining, except oil and gas",0.0087596,0.0013247,0.0034459,1.0933125,0.0025599,0.0217543,0.0162337,0.0044185,0.0775479,0.0747282,0.0179989,0.0104801,0.0017756,0.0132130,0.0125446,0.0053282,0.0072036,0.0072122,0.0068219,0.0075502,0.0024419,0.0134223,0.0041280,0.0085782,0.0110457,0.0080399,0.0011230,0.0016051,0.0019368,0.0014242,0.0016075,0.0016596,0.0040296,0.0025731,0.0020884,0.0010588,0.0011098,0.0023630,0.0039047,0.0009778,0.0007942,0.0018483,0.0022943,0.0006948,0.0010550,0.0004468,0.0011735,0.0007353,0.0038306,0.0010233,0.0006835,0.0005359,0.0017177,0.0012157,0.0017814,0.0031997,0.0022299,0.0014123,0.0019552,0.0019155,0.0021313,0.0023878,0.0051531,0.0022329,0.0023330,0.0028373,0.0014213,0.0020873,0.0016608,0.0025847,0.0218505
"213","Support activities for mining",0.0009480,0.0003739,0.0431407,0.0167076,1.0087379,0.0028378,0.0012611,0.0008608,0.0018455,0.0020156,0.0011201,0.0008698,0.0001751,0.0010146,0.0009761,0.0004705,0.0007784,0.0006458,0.0007937,0.0008102,0.0003619,0.0010390,0.0007960,0.0249362,0.0012532,0.0010248,0.0002297,0.0002996,0.0003193,0.0002239,0.0002704,0.0029404,0.0014241,0.0017899,0.0021489,0.0006931,0.0001815,0.0011794,0.0005660,0.0001783,0.0001186,0.0002299,0.0002327,0.0002106,0.0003711,0.0000734,0.0003757,0.0000691,0.0005890,0.0002225,0.0001168,0.0001092,0.0002168,0.0002059,0.0002939,0.0006962,0.0002603,0.0002089,0.0003760,0.0003182,0.0003575,0.0001775,0.0003816,0.0003644,0.0003328,0.0003073,0.0004871,0.0001269,0.0011740,0.0008798,0.0034155
"22","Utilities",0.0283653,0.0065566,0.0199393,0.0447818,0.0064238,1.0586096,0.0143502,0.0283316,0.0385321,0.0466399,0.0281025,0.0194452,0.0071995,0.0190630,0.0223836,0.0118126,0.0231031,0.0166222,0.0256985,0.0369051,0.0147985,0.0457302,0.0266836,0.0262236,0.0320875,0.0359458,0.0146507,0.0253691,0.0426623,0.0294229,0.0268291,0.0065562,0.0077344,0.0134574,0.0152132,0.0069081,0.0152862,0.0136199,0.0900170,0.0079075,0.0072809,0.0116461,0.0103351,0.0070852,0.0102514,0.0058050,0.0165136,0.0014908,0.0743966,0.0084593,0.0088240,0.0037377,0.0096987,0.0190920,0.0102909,0.0143699,0.0218396,0.0106011,0.0189498,0.0217881,0.0171014,0.0105422,0.0234135,0.0367780,0.0307775,0.0137790,0.0061561,0.0041618,0.0149145,0.0138227,0.0155164
"23","Construction",0.0169643,0.0035444,0.0109259,0.0372471,0.0145131,0.0286170,1.0064053,0.0090645,0.0127300,0.0142302,0.0093264,0.0070931,0.0021651,0.0066598,0.0076842,0.0039993,0.0082914,0.0060203,0.0109596,0.0097671,0.0052733,0.0136763,0.0093083,0.0294535,0.0093770,0.0103243,0.0075576,0.0115519,0.0135252,0.0106025,0.0135973,0.0082632,0.0370019,0.0097575,0.0110112,0.0076679,0.0231882,0.0181254,0.0252644,0.0038399,0.0042943,0.0074801,0.0052836,0.0086571,0.0095638,0.0050064,0.0106542,0.0396034,0.0660573,0.0058731,0.0068077,0.0022569,0.0064114,0.0077100,0.0053858,0.0065198,0.0096277,0.0059695,0.0078312,0.0116984,0.0120081,0.0068365,0.0111198,0.0129893,0.0123792,0.0117842,0.0157631,0.0063779,0.0132894,0.0189591,0.1519113
"321","Wood products",0.0047391,0.0017023,0.0014511,0.0058813,0.0026953,0.0021758,0.0352165,1.2492309,0.0082343,0.0072971,0.0044226,0.0067446,0.0020639,0.0057593,0.0138183,0.0036665,0.1149457,0.0126825,0.0055861,0.0042984,0.0023887,0.0471091,0.0063843,0.0023429,0.0030972,0.0129580,0.0033234,0.0026745,0.0052082,0.0020761,0.0034311,0.0010311,0.0353201,0.0021613,0.0027375,0.0016645,0.0011663,0.0034557,0.0054999,0.0017045,0.0015349,0.0027700,0.0060791,0.0011800,0.0015686,0.0008563,0.0015021,0.0017433,0.0105360,0.0025235,0.0013272,0.0007099,0.0019643,0.0014276,0.0027080,0.0022675,0.0019165,0.0018046,0.0022551,0.0024354,0.0079584,0.0012636,0.0031084,0.0042977,0.0033760,0.0028944,0.0015357,0.0008622,0.0035187,0.0042002,0.0072781
"327","Nonmetallic mineral products",0.0034833,0.0012776,0.0057370,0.0105878,0.0066249,0.0032764,0.0472383,0.0148591,1.1389411,0.0186720,0.0099257,0.0127499,0.0019333,0.0210083,0.0228526,0.0043506,0.0109064,0.0092024,0.0106004,0.0095971,0.0042741,0.0081330,0.0032942,0.0095373,0.0066714,0.0136505,0.0015118,0.0030346,0.0021655,0.0016351,0.0024683,0.0018487,0.0037266,0.0027230,0.0026175,0.0013883,0.0014830,0.0029512,0.0043583,0.0011050,0.0008836,0.0054098,0.0041490,0.0011613,0.0016052,0.0006390,0.0015958,0.0020157,0.0047786,0.0024094,0.0009166,0.0009542,0.0038933,0.0014674,0.0029380,0.0042718,0.0016620,0.0031508,0.0036738,0.0029724,0.0039000,0.0010716,0.0027812,0.0025600,0.0041059,0.0036695,0.0021120,0.0014428,0.0022207,0.0029767,0.0154732
