"Industry-by-Industry Total Requirements, After Redefinitions - Summary"
"2005, (in producers' prices)" 
"Bureau of Economic Analysis" 
""
"","Industries/Industries","111CA","113FF","211","212","213","22","23","321","327","331","332","333","334","335","3361MV","3364OT","337","339","311FT","313TT","315AL","322","323","324","325","326","42","441","445","452","4A0","481","482","483","484","485","486","487OS","493","511","512","513","514","521CI","523","524","525","HS","ORE","532RL","5411","5415","5412OP","55","561","562","61","621","622","623","624","711AS","713","721","722","81","GFGD","GFGN","GFE","GSLG","GSLE"
"","Industry Description","Farms","Forestry, fishing, and related activities","Oil and gas extraction","Mining, except oil and gas","Support activities for mining","Utilities","Construction","Wood products","Nonmetallic mineral products","Primary metals","Fabricated metal products","Machinery","Computer and electronic products","Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts","Other transportation equipment","Furniture and related products","Miscellaneous manufacturing","Food and beverage and tobacco products","Textile mills and textile product mills","Apparel and leather and allied products","Paper products","Printing and related support activities","Petroleum and coal products","Chemical products","Plastics and rubber products","Wholesale trade","Motor vehicle and parts dealers","Food and beverage stores","General merchandise stores","Other retail","Air transportation","Rail transportation","Water transportation","Truck transportation","Transit and ground passenger transportation","Pipeline transportation","Other transportation and support activities","Warehousing and storage","Publishing industries, except internet (includes software)","Motion picture and sound recording industries","Broadcasting and telecommunications","Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments","Insurance carriers and related activities","Funds, trusts, and other financial vehicles","Housing","Other real estate","Rental and leasing services and lessors of intangible assets","Legal services","Computer systems design and related services","Miscellaneous professional, scientific, and technical services","Management of companies and enterprises","Administrative and support services","Waste management and remediation services","Educational services","Ambulatory health care services","Hospitals","Nursing and residential care facilities","Social assistance","Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries","Accommodation","Food services and drinking places","Other services, except government","Federal general government (defense)","Federal general government (nondefense)","Federal government enterprises","State and local general government","State and local government enterprises"
"111CA","Farms",1.1766972,0.0457370,0.0004997,0.0017213,0.0011830,0.0006480,0.0033928,0.0240272,0.0028260,0.0015623,0.0013508,0.0016131,0.0010463,0.0016995,0.0025070,0.0013825,0.0067147,0.0064457,0.3227120,0.0603783,0.0222567,0.0104597,0.0055481,0.0005795,0.0157872,0.0082378,0.0007689,0.0019663,0.0022414,0.0010225,0.0009476,0.0015827,0.0010252,0.0021997,0.0007011,0.0004776,0.0010089,0.0011220,0.0004487,0.0010835,0.0012278,0.0007578,0.0005852,0.0006333,0.0005123,0.0004461,0.0004930,0.0002311,0.0017070,0.0007930,0.0006420,0.0007646,0.0013137,0.0009297,0.0016844,0.0012973,0.0106187,0.0017433,0.0049857,0.0117490,0.0138996,0.0066643,0.0092985,0.0086370,0.0217006,0.0014648,0.0022834,-0.0029026,0.0028582,0.0095390,0.0011195
"113FF","Forestry, fishing, and related activities",0.0764361,1.2319683,0.0004673,0.0025099,0.0012030,0.0006379,0.0090725,0.1984092,0.0029944,0.0022594,0.0016704,0.0028308,0.0014130,0.0026554,0.0039503,0.0017674,0.0256320,0.0070185,0.0358532,0.0064935,0.0054446,0.0454806,0.0078885,0.0004768,0.0040778,0.0154253,0.0008832,0.0007377,0.0041052,0.0005719,0.0008477,0.0007484,0.0047331,0.0009045,0.0008100,0.0006582,0.0016426,0.0013623,0.0006775,0.0017058,0.0015620,0.0009514,0.0012335,0.0005529,0.0005238,0.0003665,0.0004452,0.0004418,0.0023091,0.0008710,0.0005369,0.0005479,0.0008891,0.0006411,0.0009060,0.0010946,0.0020726,0.0011870,0.0014694,0.0022164,0.0035492,0.0013494,0.0029409,0.0044342,0.0073733,0.0010666,0.0008005,0.0004763,0.0011024,0.0035507,0.0022372
"211","Oil and gas extraction",0.0546653,0.0393513,1.2077167,0.0673891,0.0333982,0.2993491,0.0404988,0.0411955,0.0477378,0.0562723,0.0322136,0.0299030,0.0172649,0.0354157,0.0283704,0.0199178,0.0320510,0.0312341,0.0402288,0.0639544,0.0326099,0.0581429,0.0478574,0.7577431,0.1241576,0.0664476,0.0116819,0.0140975,0.0186131,0.0134351,0.0143585,0.1606723,0.0744289,0.1345861,0.0837594,0.0480787,0.0448569,0.0574400,0.0189519,0.0117239,0.0123746,0.0093220,0.0076378,0.0143431,0.0119981,0.0046909,0.0136792,0.0027811,0.0387071,0.0156501,0.0081613,0.0095817,0.0108537,0.0153687,0.0182560,0.0347604,0.0178770,0.0169019,0.0250189,0.0230637,0.0168673,0.0135845,0.0192999,0.0232406,0.0224374,0.0147533,0.0377085,0.0093009,0.0455905,0.0526519,0.1501179
"212","Mining, except oil and gas",0.0126297,0.0032117,0.0039086,1.0849361,0.0054916,0.0256648,0.0200172,0.0068483,0.0964790,0.1143783,0.0314525,0.0194506,0.0070940,0.0256414,0.0208094,0.0121388,0.0120914,0.0190314,0.0141696,0.0143324,0.0057139,0.0275506,0.0071570,0.0047301,0.0179662,0.0130018,0.0012813,0.0015383,0.0019698,0.0014574,0.0016784,0.0024061,0.0054942,0.0046838,0.0023729,0.0015517,0.0056831,0.0029909,0.0023088,0.0022782,0.0024917,0.0024070,0.0013511,0.0009815,0.0011552,0.0005961,0.0011015,0.0009103,0.0046874,0.0015175,0.0009397,0.0011250,0.0021730,0.0017498,0.0019175,0.0047856,0.0030514,0.0027449,0.0035672,0.0029369,0.0029728,0.0026422,0.0051827,0.0030380,0.0035763,0.0027927,0.0025137,0.0058351,0.0017368,0.0032675,0.0149786
"213","Support activities for mining",0.0014544,0.0009303,0.0261465,0.0217637,1.0151339,0.0069836,0.0013650,0.0011053,0.0029774,0.0035264,0.0015063,0.0012013,0.0005974,0.0014425,0.0012186,0.0008016,0.0010348,0.0011363,0.0012071,0.0017237,0.0008539,0.0018654,0.0012220,0.0164529,0.0030809,0.0017800,0.0002861,0.0003453,0.0004492,0.0003259,0.0003542,0.0035265,0.0017343,0.0030774,0.0018723,0.0010838,0.0011495,0.0013122,0.0004674,0.0003211,0.0003283,0.0002784,0.0002031,0.0003350,0.0002886,0.0001168,0.0003230,0.0000824,0.0009457,0.0003791,0.0002000,0.0002405,0.0003061,0.0003819,0.0004437,0.0009036,0.0004574,0.0004301,0.0006232,0.0005669,0.0004443,0.0003535,0.0005323,0.0005768,0.0005713,0.0003918,0.0008931,0.0003253,0.0010356,0.0012141,0.0035680
"22","Utilities",0.0343012,0.0138948,0.0162977,0.0451330,0.0094447,1.0524585,0.0163847,0.0298074,0.0523908,0.0572735,0.0327058,0.0242404,0.0170258,0.0280350,0.0265439,0.0210186,0.0257639,0.0232010,0.0366186,0.0480535,0.0356200,0.0589746,0.0265144,0.0157824,0.0416367,0.0381734,0.0133696,0.0197515,0.0375463,0.0264149,0.0242153,0.0121438,0.0093381,0.0486233,0.0184367,0.0095631,0.0846383,0.0486443,0.0429069,0.0104359,0.0149470,0.0116199,0.0077504,0.0086884,0.0090378,0.0057065,0.0135595,0.0018020,0.0816173,0.0156598,0.0108367,0.0081930,0.0116995,0.0229308,0.0107389,0.0145937,0.0285188,0.0145440,0.0159234,0.0234960,0.0164722,0.0154716,0.0212080,0.0368037,0.0365325,0.0141433,0.0094913,0.0077045,0.0145118,0.0170154,0.0139825
"23","Construction",0.0157672,0.0056374,0.0153516,0.0231859,0.0258663,0.0224676,1.0054935,0.0083512,0.0106432,0.0128345,0.0081781,0.0068838,0.0049330,0.0071748,0.0065969,0.0051756,0.0078059,0.0068390,0.0103217,0.0103602,0.0085827,0.0108878,0.0084599,0.0169826,0.0096725,0.0092848,0.0054902,0.0073422,0.0091533,0.0074480,0.0100758,0.0073099,0.0206017,0.0113487,0.0086378,0.0063412,0.0757214,0.0085450,0.0099872,0.0052157,0.0095215,0.0108138,0.0031227,0.0097674,0.0077301,0.0043351,0.0071338,0.0409554,0.0729389,0.0077077,0.0082712,0.0051303,0.0080219,0.0076572,0.0055186,0.0062027,0.0101158,0.0086995,0.0063896,0.0131682,0.0112102,0.0099288,0.0113165,0.0092271,0.0113842,0.0106861,0.0131183,0.0074523,0.0170458,0.0160879,0.1377818
"321","Wood products",0.0050687,0.0027196,0.0017915,0.0048632,0.0047736,0.0024228,0.0551758,1.3198923,0.0100070,0.0075088,0.0052137,0.0111889,0.0047298,0.0091140,0.0156753,0.0060758,0.1552613,0.0202831,0.0061984,0.0067700,0.0039425,0.0528615,0.0095076,0.0017550,0.0047272,0.0219125,0.0031921,0.0025500,0.0046992,0.0019381,0.0031852,0.0014467,0.0298823,0.0023964,0.0027977,0.0016081,0.0071342,0.0030005,0.0029795,0.0042451,0.0071659,0.0040806,0.0063349,0.0016693,0.0015278,0.0009820,0.0012950,0.0024900,0.0118442,0.0030927,0.0017250,0.0014413,0.0024230,0.0017360,0.0027480,0.0029946,0.0024593,0.0032223,0.0027930,0.0030842,0.0108025,0.0025423,0.0036997,0.0058266,0.0043145,0.0031230,0.0020906,0.0016831,0.0020986,0.0046625,0.0120670
"327","Nonmetallic mineral products",0.0034892,0.0023758,0.0052595,0.0075207,0.0096487,0.0033641,0.0555857,0.0169498,1.1588022,0.0193080,0.0104924,0.0144627,0.0070798,0.0230206,0.0247452,0.0068070,0.0117083,0.0122000,0.0111758,0.0139539,0.0055208,0.0069514,0.0034273,0.0047193,0.0076614,0.0155732,0.0012869,0.0026274,0.0018002,0.0012681,0.0020596,0.0020785,0.0032236,0.0029191,0.0022506,0.0014506,0.0059311,0.0020102,0.0021119,0.0016352,0.0018986,0.0047590,0.0032901,0.0013126,0.0012593,0.0007130,0.0011082,0.0023455,0.0055981,0.0021506,0.0010970,0.0014925,0.0037267,0.0017669,0.0024207,0.0047189,0.0021997,0.0050600,0.0035639,0.0033112,0.0034567,0.0016634,0.0026520,0.0026641,0.0045912,0.0036176,0.0024265,0.0022847,0.0019800,0.0028043,0.0137296
