"Industry-by-Industry Total Requirements, After Redefinitions - Summary"
"2000, (in producers' prices)" 
"Bureau of Economic Analysis" 
""
"","Industries/Industries","111CA","113FF","211","212","213","22","23","321","327","331","332","333","334","335","3361MV","3364OT","337","339","311FT","313TT","315AL","322","323","324","325","326","42","441","445","452","4A0","481","482","483","484","485","486","487OS","493","511","512","513","514","521CI","523","524","525","HS","ORE","532RL","5411","5415","5412OP","55","561","562","61","621","622","623","624","711AS","713","721","722","81","GFGD","GFGN","GFE","GSLG","GSLE"
"","Industry Description","Farms","Forestry, fishing, and related activities","Oil and gas extraction","Mining, except oil and gas","Support activities for mining","Utilities","Construction","Wood products","Nonmetallic mineral products","Primary metals","Fabricated metal products","Machinery","Computer and electronic products","Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts","Other transportation equipment","Furniture and related products","Miscellaneous manufacturing","Food and beverage and tobacco products","Textile mills and textile product mills","Apparel and leather and allied products","Paper products","Printing and related support activities","Petroleum and coal products","Chemical products","Plastics and rubber products","Wholesale trade","Motor vehicle and parts dealers","Food and beverage stores","General merchandise stores","Other retail","Air transportation","Rail transportation","Water transportation","Truck transportation","Transit and ground passenger transportation","Pipeline transportation","Other transportation and support activities","Warehousing and storage","Publishing industries, except internet (includes software)","Motion picture and sound recording industries","Broadcasting and telecommunications","Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments","Insurance carriers and related activities","Funds, trusts, and other financial vehicles","Housing","Other real estate","Rental and leasing services and lessors of intangible assets","Legal services","Computer systems design and related services","Miscellaneous professional, scientific, and technical services","Management of companies and enterprises","Administrative and support services","Waste management and remediation services","Educational services","Ambulatory health care services","Hospitals","Nursing and residential care facilities","Social assistance","Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries","Accommodation","Food services and drinking places","Other services, except government","Federal general government (defense)","Federal general government (nondefense)","Federal government enterprises","State and local general government","State and local government enterprises"
"111CA","Farms",1.1944274,0.0420075,0.0008326,0.0018811,0.0007054,0.0008532,0.0033309,0.0247039,0.0029780,0.0015879,0.0014389,0.0017208,0.0013748,0.0018430,0.0028196,0.0014433,0.0070406,0.0060798,0.2980905,0.0642545,0.0233416,0.0089572,0.0051636,0.0009213,0.0181049,0.0077113,0.0007341,0.0029215,0.0021990,0.0006483,0.0009936,0.0011435,0.0010274,0.0020572,0.0008136,0.0004195,0.0009941,0.0015137,0.0003961,0.0016468,0.0011535,0.0005460,0.0017246,0.0006524,0.0004941,0.0002554,0.0005712,0.0001885,0.0017144,0.0007053,0.0007994,0.0009214,0.0013155,0.0007227,0.0020143,0.0012334,0.0161570,0.0018131,0.0052642,0.0119655,0.0125352,0.0012950,0.0071461,0.0113867,0.0199148,0.0015879,0.0015982,-0.0113916,0.0029408,0.0102371,0.0010304
"113FF","Forestry, fishing, and related activities",0.0781042,1.2111923,0.0006935,0.0021601,0.0006716,0.0007419,0.0081766,0.1919343,0.0035347,0.0020555,0.0015550,0.0025346,0.0018518,0.0024109,0.0033709,0.0016486,0.0238408,0.0065689,0.0331512,0.0064159,0.0044096,0.0386790,0.0080010,0.0006671,0.0037158,0.0118038,0.0008636,0.0010397,0.0042910,0.0005544,0.0008718,0.0008493,0.0045792,0.0010217,0.0009040,0.0005689,0.0011986,0.0018938,0.0005006,0.0028900,0.0022563,0.0010381,0.0036536,0.0006824,0.0008760,0.0002561,0.0007611,0.0002800,0.0022128,0.0008422,0.0007036,0.0007345,0.0008878,0.0005907,0.0010248,0.0009285,0.0027409,0.0010876,0.0014741,0.0022655,0.0033350,0.0007195,0.0029622,0.0054770,0.0075940,0.0010410,0.0007449,-0.0000839,0.0013428,0.0037744,0.0016948
"211","Oil and gas extraction",0.0339554,0.0227204,1.1908464,0.0394261,0.0126796,0.1939422,0.0275713,0.0269418,0.0277060,0.0364735,0.0211625,0.0191724,0.0148126,0.0236344,0.0172141,0.0126560,0.0188272,0.0191093,0.0233387,0.0337825,0.0210396,0.0278219,0.0319654,0.7900678,0.0711622,0.0372639,0.0074113,0.0136957,0.0129827,0.0092173,0.0101332,0.1087737,0.0441118,0.0356316,0.0335086,0.0245990,0.0446787,0.0408719,0.0101324,0.0121570,0.0115231,0.0087336,0.0146678,0.0106435,0.0165462,0.0021339,0.0169800,0.0017423,0.0266778,0.0084322,0.0066943,0.0084913,0.0073863,0.0097405,0.0156033,0.0430500,0.0116928,0.0109993,0.0158755,0.0160118,0.0114014,0.0091785,0.0144604,0.0203043,0.0153475,0.0077684,0.0238865,0.0050252,0.0165283,0.0374784,0.1001417
"212","Mining, except oil and gas",0.0104011,0.0022144,0.0046525,1.0535156,0.0021752,0.0344483,0.0159089,0.0054663,0.0736216,0.0646017,0.0152577,0.0105624,0.0061761,0.0153195,0.0113136,0.0070807,0.0074503,0.0081012,0.0085842,0.0090551,0.0045453,0.0121335,0.0051916,0.0059024,0.0143826,0.0090901,0.0010443,0.0020521,0.0020920,0.0015612,0.0016536,0.0020370,0.0034301,0.0043476,0.0017180,0.0009244,0.0073904,0.0022946,0.0019357,0.0027676,0.0027354,0.0024709,0.0036923,0.0010929,0.0019085,0.0003424,0.0019048,0.0005147,0.0048323,0.0011562,0.0010844,0.0013659,0.0016652,0.0015259,0.0017917,0.0029845,0.0027260,0.0023813,0.0032711,0.0030278,0.0024198,0.0024812,0.0036904,0.0033970,0.0030574,0.0017203,0.0017515,0.0034392,0.0012894,0.0029642,0.0144586
"213","Support activities for mining",0.0007343,0.0003892,0.0177366,0.0216786,1.0076056,0.0036108,0.0007845,0.0005430,0.0019988,0.0019400,0.0006997,0.0005678,0.0003881,0.0007384,0.0005584,0.0003869,0.0004731,0.0004837,0.0005506,0.0007111,0.0004227,0.0006917,0.0006041,0.0118288,0.0013761,0.0007749,0.0001359,0.0002540,0.0002406,0.0001736,0.0001907,0.0016581,0.0007344,0.0006477,0.0005391,0.0003880,0.0008415,0.0006610,0.0001955,0.0002552,0.0002367,0.0001952,0.0003117,0.0001849,0.0002917,0.0000403,0.0002974,0.0000380,0.0005053,0.0001544,0.0001257,0.0001632,0.0001739,0.0001863,0.0002756,0.0007149,0.0002372,0.0002182,0.0003096,0.0003063,0.0002299,0.0001930,0.0002982,0.0003803,0.0002996,0.0001577,0.0004020,0.0001519,0.0002781,0.0006239,0.0018038
"22","Utilities",0.0401674,0.0141334,0.0345182,0.0468190,0.0085289,1.0744322,0.0206684,0.0484430,0.0626997,0.0836436,0.0461203,0.0349831,0.0322322,0.0430953,0.0353723,0.0263589,0.0347551,0.0311648,0.0439732,0.0525199,0.0442132,0.0606922,0.0414102,0.0386233,0.0556888,0.0571846,0.0135712,0.0318032,0.0429593,0.0316056,0.0277676,0.0146482,0.0113252,0.0748700,0.0152610,0.0087415,0.1751700,0.0220287,0.0376427,0.0214804,0.0270072,0.0235779,0.0272773,0.0111383,0.0261960,0.0039344,0.0308492,0.0024712,0.0900758,0.0137325,0.0142394,0.0141040,0.0141328,0.0231555,0.0182283,0.0314294,0.0298026,0.0175056,0.0245696,0.0344628,0.0220444,0.0208549,0.0350966,0.0513447,0.0394330,0.0137575,0.0104551,0.0074065,0.0145651,0.0206191,0.0194773
"23","Construction",0.0147441,0.0042313,0.0150195,0.0218372,0.0090431,0.0178249,1.0051957,0.0107158,0.0123597,0.0149208,0.0098271,0.0082701,0.0079262,0.0091169,0.0074506,0.0056974,0.0080535,0.0075879,0.0103885,0.0093278,0.0083756,0.0109803,0.0097832,0.0122858,0.0100056,0.0106506,0.0045655,0.0091871,0.0077360,0.0067033,0.0085617,0.0066973,0.0213154,0.0117468,0.0072377,0.0045738,0.0271441,0.0127074,0.0071326,0.0065282,0.0092827,0.0121772,0.0080434,0.0183930,0.0157596,0.0019700,0.0140161,0.0246610,0.0602481,0.0063896,0.0067666,0.0048470,0.0057949,0.0059387,0.0052835,0.0055717,0.0084869,0.0059954,0.0057592,0.0102869,0.0092126,0.0076201,0.0086051,0.0105952,0.0092865,0.0084251,0.0173722,0.0118867,0.0129233,0.0154746,0.1118402
"321","Wood products",0.0057922,0.0026372,0.0025787,0.0045425,0.0024573,0.0026140,0.0519152,1.3319519,0.0140196,0.0071555,0.0053947,0.0103315,0.0073105,0.0087063,0.0146929,0.0060350,0.1523353,0.0233229,0.0066937,0.0068938,0.0046197,0.0542406,0.0116446,0.0022488,0.0052378,0.0201887,0.0033000,0.0036492,0.0049946,0.0021045,0.0033445,0.0017784,0.0300737,0.0028974,0.0031003,0.0014432,0.0042999,0.0047114,0.0020417,0.0088347,0.0120805,0.0048222,0.0197546,0.0023131,0.0027821,0.0006292,0.0023904,0.0014911,0.0116035,0.0033762,0.0020211,0.0019576,0.0022412,0.0016684,0.0027793,0.0025911,0.0028975,0.0030436,0.0030315,0.0031605,0.0106570,0.0021387,0.0033151,0.0055014,0.0044139,0.0028352,0.0023930,0.0019606,0.0034808,0.0049420,0.0089772
"327","Nonmetallic mineral products",0.0042371,0.0023858,0.0091163,0.0084072,0.0043812,0.0040639,0.0577516,0.0181174,1.1728091,0.0169274,0.0100993,0.0145425,0.0096318,0.0314848,0.0237796,0.0071860,0.0140389,0.0136076,0.0129059,0.0171120,0.0067084,0.0068212,0.0042963,0.0077786,0.0086131,0.0150905,0.0014041,0.0038883,0.0020714,0.0014411,0.0022987,0.0027879,0.0036176,0.0031124,0.0024664,0.0012806,0.0038920,0.0032019,0.0021670,0.0029155,0.0024050,0.0055800,0.0108310,0.0022000,0.0028755,0.0005289,0.0024611,0.0015477,0.0053719,0.0023501,0.0013925,0.0024674,0.0037914,0.0023937,0.0032443,0.0048613,0.0036059,0.0077023,0.0050804,0.0083809,0.0046582,0.0016657,0.0028606,0.0043154,0.0057284,0.0034871,0.0028109,0.0029957,0.0019660,0.0036090,0.0143021
