"Industry-by-Industry Total Requirements, After Redefinitions - Summary"
"2011, (in producers' prices)" 
"Bureau of Economic Analysis" 
""
"","Industries/Industries","111CA","113FF","211","212","213","22","23","321","327","331","332","333","334","335","3361MV","3364OT","337","339","311FT","313TT","315AL","322","323","324","325","326","42","441","445","452","4A0","481","482","483","484","485","486","487OS","493","511","512","513","514","521CI","523","524","525","HS","ORE","532RL","5411","5415","5412OP","55","561","562","61","621","622","623","624","711AS","713","721","722","81","GFGD","GFGN","GFE","GSLG","GSLE"
"","Industry Description","Farms","Forestry, fishing, and related activities","Oil and gas extraction","Mining, except oil and gas","Support activities for mining","Utilities","Construction","Wood products","Nonmetallic mineral products","Primary metals","Fabricated metal products","Machinery","Computer and electronic products","Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts","Other transportation equipment","Furniture and related products","Miscellaneous manufacturing","Food and beverage and tobacco products","Textile mills and textile product mills","Apparel and leather and allied products","Paper products","Printing and related support activities","Petroleum and coal products","Chemical products","Plastics and rubber products","Wholesale trade","Motor vehicle and parts dealers","Food and beverage stores","General merchandise stores","Other retail","Air transportation","Rail transportation","Water transportation","Truck transportation","Transit and ground passenger transportation","Pipeline transportation","Other transportation and support activities","Warehousing and storage","Publishing industries, except internet (includes software)","Motion picture and sound recording industries","Broadcasting and telecommunications","Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments","Insurance carriers and related activities","Funds, trusts, and other financial vehicles","Housing","Other real estate","Rental and leasing services and lessors of intangible assets","Legal services","Computer systems design and related services","Miscellaneous professional, scientific, and technical services","Management of companies and enterprises","Administrative and support services","Waste management and remediation services","Educational services","Ambulatory health care services","Hospitals","Nursing and residential care facilities","Social assistance","Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries","Accommodation","Food services and drinking places","Other services, except government","Federal general government (defense)","Federal general government (nondefense)","Federal government enterprises","State and local general government","State and local government enterprises"
"111CA","Farms",1.1753256,0.0412703,0.0015013,0.0034327,0.0013520,0.0011107,0.0042902,0.0246596,0.0045031,0.0028640,0.0025388,0.0026284,0.0011570,0.0027135,0.0042643,0.0016277,0.0080803,0.0084864,0.3774299,0.0684741,0.0302104,0.0152524,0.0114931,0.0023703,0.0354850,0.0159354,0.0016414,0.0032075,0.0045589,0.0017224,0.0017027,0.0031956,0.0015167,0.0038938,0.0013140,0.0007639,0.0011022,0.0020133,0.0014160,0.0013155,0.0007698,0.0011373,0.0015301,0.0010216,0.0014295,0.0005689,0.0015024,0.0002531,0.0021899,0.0011745,0.0009589,0.0009946,0.0026085,0.0012700,0.0031638,0.0020293,0.0132074,0.0024246,0.0060072,0.0117040,0.0197837,0.0013819,0.0116082,0.0109542,0.0313059,0.0025136,0.0031251,-0.0001706,0.0046886,0.0112130,0.0020523
"113FF","Forestry, fishing, and related activities",0.0668231,1.1498863,0.0005641,0.0025209,0.0006646,0.0005604,0.0052492,0.1699344,0.0030216,0.0024062,0.0017821,0.0024839,0.0008668,0.0021869,0.0043770,0.0013374,0.0193402,0.0063628,0.0347608,0.0063836,0.0119176,0.0454074,0.0072407,0.0007599,0.0056391,0.0248218,0.0010461,0.0007544,0.0057155,0.0006464,0.0008741,0.0009714,0.0031755,0.0010177,0.0008148,0.0008523,0.0010098,0.0016816,0.0013113,0.0010571,0.0004860,0.0009254,0.0015521,0.0005362,0.0006957,0.0003208,0.0007011,0.0002572,0.0016775,0.0007765,0.0004793,0.0004682,0.0009841,0.0006048,0.0010142,0.0011075,0.0020444,0.0010154,0.0014076,0.0019571,0.0037597,0.0005154,0.0029165,0.0045610,0.0085742,0.0012508,0.0008008,0.0006486,0.0014677,0.0032282,0.0015766
"211","Oil and gas extraction",0.0545682,0.0417871,1.1853823,0.0783414,0.0252538,0.1533044,0.0539544,0.0455789,0.0494570,0.0567866,0.0324123,0.0282697,0.0104032,0.0376572,0.0318678,0.0150201,0.0346051,0.0305901,0.0432628,0.0587892,0.0272755,0.0539214,0.0462037,0.8189684,0.0897242,0.0647059,0.0154796,0.0147567,0.0211354,0.0141064,0.0144522,0.1845489,0.1236916,0.1473397,0.1350537,0.0526900,0.0228150,0.0742724,0.0332338,0.0100583,0.0064158,0.0098294,0.0129787,0.0188593,0.0198772,0.0047969,0.0276421,0.0031064,0.0281157,0.0176895,0.0070450,0.0083492,0.0108549,0.0141173,0.0147270,0.0321790,0.0179335,0.0129582,0.0198972,0.0190041,0.0217465,0.0101189,0.0214161,0.0244987,0.0226238,0.0171210,0.0455981,0.0126231,0.0759176,0.0640704,0.1647169
"212","Mining, except oil and gas",0.0131277,0.0041196,0.0068001,1.0678161,0.0034040,0.0318966,0.0197985,0.0081433,0.1052039,0.1194534,0.0356662,0.0221037,0.0050722,0.0293169,0.0258932,0.0108425,0.0142096,0.0148418,0.0131207,0.0154634,0.0055025,0.0230887,0.0077843,0.0086594,0.0208207,0.0150911,0.0020844,0.0021704,0.0034822,0.0024925,0.0024724,0.0038114,0.0065571,0.0052624,0.0035745,0.0017470,0.0048958,0.0037634,0.0070783,0.0018873,0.0011958,0.0032462,0.0029388,0.0013445,0.0021914,0.0008127,0.0025604,0.0008494,0.0052403,0.0019754,0.0010854,0.0012625,0.0028609,0.0022253,0.0027444,0.0059135,0.0038668,0.0025378,0.0034999,0.0031445,0.0044738,0.0031368,0.0068834,0.0041477,0.0046281,0.0042230,0.0029927,0.0090047,0.0034808,0.0039631,0.0319390
"213","Support activities for mining",0.0022883,0.0016218,0.0427670,0.0252513,1.0105793,0.0062104,0.0025442,0.0019379,0.0041437,0.0047317,0.0023251,0.0018031,0.0005800,0.0022647,0.0020729,0.0009549,0.0017351,0.0015586,0.0019379,0.0025373,0.0011545,0.0025836,0.0019197,0.0296431,0.0037581,0.0027966,0.0006206,0.0005976,0.0008536,0.0005758,0.0005930,0.0067372,0.0046255,0.0055359,0.0049616,0.0019474,0.0010478,0.0027821,0.0013925,0.0004314,0.0002657,0.0004884,0.0005649,0.0007186,0.0007807,0.0001965,0.0010680,0.0001375,0.0011516,0.0007007,0.0002862,0.0003490,0.0005044,0.0005799,0.0006140,0.0013954,0.0007493,0.0005369,0.0008127,0.0007690,0.0009295,0.0004419,0.0009426,0.0009984,0.0009442,0.0007468,0.0017515,0.0006733,0.0028526,0.0024113,0.0066780
"22","Utilities",0.0293618,0.0123105,0.0251617,0.0411168,0.0058618,1.0568742,0.0160068,0.0355684,0.0508754,0.0553362,0.0360114,0.0259581,0.0123726,0.0298705,0.0317505,0.0172865,0.0290970,0.0233901,0.0342551,0.0496508,0.0282271,0.0529958,0.0306172,0.0254444,0.0381150,0.0415116,0.0177294,0.0233788,0.0546325,0.0372335,0.0288880,0.0127883,0.0110993,0.0163069,0.0170295,0.0087234,0.0495776,0.0198584,0.1136427,0.0088594,0.0074594,0.0115952,0.0122575,0.0091977,0.0122919,0.0063952,0.0246747,0.0014340,0.0693744,0.0138563,0.0078916,0.0054682,0.0102668,0.0232194,0.0096699,0.0155347,0.0248293,0.0119764,0.0189580,0.0224760,0.0226884,0.0125563,0.0295395,0.0487829,0.0399566,0.0163436,0.0098657,0.0083045,0.0209498,0.0154335,0.0188931
"23","Construction",0.0155937,0.0052118,0.0102939,0.0263399,0.0123913,0.0230882,1.0059402,0.0101599,0.0146554,0.0160504,0.0111394,0.0088205,0.0040304,0.0090777,0.0101518,0.0054251,0.0096855,0.0078307,0.0123679,0.0117929,0.0091791,0.0138367,0.0107005,0.0173412,0.0110143,0.0114606,0.0074266,0.0088360,0.0132553,0.0105433,0.0119506,0.0085783,0.0314968,0.0111114,0.0105592,0.0070861,0.0395510,0.0139379,0.0262896,0.0042558,0.0041801,0.0084988,0.0051075,0.0093787,0.0116123,0.0067689,0.0137014,0.0370191,0.0677157,0.0070308,0.0058132,0.0029561,0.0064179,0.0074862,0.0049209,0.0068418,0.0096309,0.0065942,0.0078941,0.0122588,0.0153240,0.0075256,0.0128891,0.0149640,0.0126076,0.0141919,0.0138795,0.0084072,0.0197921,0.0187819,0.1522510
"321","Wood products",0.0032067,0.0030161,0.0012010,0.0031861,0.0016985,0.0015322,0.0306102,1.2372987,0.0083476,0.0060921,0.0039510,0.0067820,0.0019947,0.0050657,0.0132539,0.0033363,0.1134669,0.0118613,0.0046513,0.0040229,0.0023164,0.0445118,0.0062218,0.0014324,0.0029899,0.0101962,0.0029274,0.0016880,0.0044120,0.0016373,0.0025575,0.0011585,0.0201304,0.0017285,0.0020154,0.0012784,0.0027790,0.0025206,0.0045208,0.0019365,0.0015704,0.0027621,0.0071934,0.0011465,0.0014623,0.0007830,0.0014756,0.0013489,0.0080911,0.0023153,0.0009979,0.0007680,0.0016847,0.0011748,0.0019916,0.0021005,0.0017943,0.0016503,0.0019734,0.0018782,0.0091037,0.0012420,0.0027188,0.0038882,0.0031768,0.0024463,0.0014135,0.0013184,0.0034403,0.0034068,0.0064749
"327","Nonmetallic mineral products",0.0033843,0.0022302,0.0053748,0.0081974,0.0048021,0.0027376,0.0432416,0.0135368,1.1235193,0.0209451,0.0113214,0.0146848,0.0033460,0.0245966,0.0256869,0.0051963,0.0109433,0.0097726,0.0105956,0.0100516,0.0040544,0.0086716,0.0038160,0.0059586,0.0067878,0.0123209,0.0015881,0.0026061,0.0021567,0.0015462,0.0021973,0.0023714,0.0035890,0.0030400,0.0025917,0.0012847,0.0032674,0.0025982,0.0050434,0.0013328,0.0008118,0.0056526,0.0048478,0.0012991,0.0017944,0.0007545,0.0019136,0.0016754,0.0042912,0.0022461,0.0009463,0.0012693,0.0038565,0.0015223,0.0028909,0.0043448,0.0020555,0.0035360,0.0043075,0.0032255,0.0042601,0.0011615,0.0026563,0.0025997,0.0044550,0.0038537,0.0023812,0.0026123,0.0026924,0.0027547,0.0144137
