"Industry-by-Industry Total Requirements, After Redefinitions - Summary"
"2019, (in producers' prices)" 
"Bureau of Economic Analysis" 
""
"","Industries/Industries","111CA","113FF","211","212","213","22","23","321","327","331","332","333","334","335","3361MV","3364OT","337","339","311FT","313TT","315AL","322","323","324","325","326","42","441","445","452","4A0","481","482","483","484","485","486","487OS","493","511","512","513","514","521CI","523","524","525","HS","ORE","532RL","5411","5415","5412OP","55","561","562","61","621","622","623","624","711AS","713","721","722","81","GFGD","GFGN","GFE","GSLG","GSLE"
"","Industry Description","Farms","Forestry, fishing, and related activities","Oil and gas extraction","Mining, except oil and gas","Support activities for mining","Utilities","Construction","Wood products","Nonmetallic mineral products","Primary metals","Fabricated metal products","Machinery","Computer and electronic products","Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts","Other transportation equipment","Furniture and related products","Miscellaneous manufacturing","Food and beverage and tobacco products","Textile mills and textile product mills","Apparel and leather and allied products","Paper products","Printing and related support activities","Petroleum and coal products","Chemical products","Plastics and rubber products","Wholesale trade","Motor vehicle and parts dealers","Food and beverage stores","General merchandise stores","Other retail","Air transportation","Rail transportation","Water transportation","Truck transportation","Transit and ground passenger transportation","Pipeline transportation","Other transportation and support activities","Warehousing and storage","Publishing industries, except internet (includes software)","Motion picture and sound recording industries","Broadcasting and telecommunications","Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments","Insurance carriers and related activities","Funds, trusts, and other financial vehicles","Housing","Other real estate","Rental and leasing services and lessors of intangible assets","Legal services","Computer systems design and related services","Miscellaneous professional, scientific, and technical services","Management of companies and enterprises","Administrative and support services","Waste management and remediation services","Educational services","Ambulatory health care services","Hospitals","Nursing and residential care facilities","Social assistance","Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries","Accommodation","Food services and drinking places","Other services, except government","Federal general government (defense)","Federal general government (nondefense)","Federal government enterprises","State and local general government","State and local government enterprises"
"331","Primary metals",0.0135662,0.0040488,0.0512623,0.0304804,0.0198849,0.0093289,0.0334495,0.0273203,0.0264729,1.4058250,0.2924168,0.1615961,0.0148005,0.1913295,0.1861897,0.0782563,0.0882393,0.0857734,0.0252930,0.0248641,0.0102574,0.0304999,0.0154506,0.0297396,0.0126741,0.0293167,0.0051371,0.0063241,0.0054603,0.0039101,0.0058668,0.0058913,0.0292021,0.0213446,0.0098765,0.0076444,0.0102157,0.0139395,0.0119479,0.0034746,0.0035156,0.0100407,0.0073294,0.0022964,0.0029798,0.0023731,0.0030680,0.0015893,0.0115154,0.0048428,0.0019999,0.0028337,0.0060457,0.0040041,0.0070589,0.0248079,0.0061361,0.0044587,0.0058015,0.0056221,0.0104915,0.0030147,0.0081020,0.0056101,0.0064165,0.0125961,0.0122537,0.0034337,0.0100812,0.0069725,0.0202448
"332","Fabricated metal products",0.0187679,0.0056180,0.0378418,0.0317650,0.0215883,0.0106786,0.0686480,0.0431601,0.0458990,0.0660935,1.1286728,0.1057456,0.0109439,0.0977751,0.1303564,0.0651740,0.0618565,0.0489017,0.0353688,0.0304700,0.0187693,0.0561452,0.0309892,0.0250259,0.0268213,0.0514303,0.0069241,0.0089060,0.0072994,0.0052233,0.0085781,0.0065923,0.0178130,0.0555967,0.0131395,0.0114423,0.0307728,0.0156950,0.0149704,0.0074030,0.0046374,0.0218517,0.0109559,0.0032374,0.0043269,0.0030812,0.0046476,0.0028994,0.0134926,0.0072261,0.0028459,0.0048174,0.0083105,0.0062597,0.0093885,0.0359710,0.0071017,0.0054287,0.0071404,0.0066743,0.0154263,0.0035648,0.0090000,0.0105492,0.0104759,0.0144802,0.0163523,0.0051820,0.0155167,0.0093131,0.0322150
"333","Machinery",0.0185097,0.0053581,0.0395822,0.0608899,0.0531370,0.0089097,0.0271420,0.0131416,0.0104155,0.0201035,0.0207948,1.1077005,0.0019075,0.0251250,0.0731766,0.0272813,0.0081473,0.0138490,0.0149383,0.0081104,0.0052264,0.0181787,0.0221850,0.0228446,0.0122321,0.0157539,0.0041325,0.0050791,0.0041029,0.0031895,0.0043227,0.0050633,0.0071950,0.0087969,0.0082129,0.0059431,0.0047021,0.0248804,0.0098343,0.0023416,0.0027815,0.0060919,0.0054593,0.0016051,0.0021511,0.0025864,0.0021419,0.0011629,0.0056243,0.0058488,0.0014558,0.0036259,0.0042005,0.0032678,0.0063722,0.0396989,0.0059354,0.0031700,0.0040026,0.0039545,0.0045649,0.0022037,0.0040544,0.0032563,0.0041877,0.0146672,0.0065837,0.0017274,0.0065558,0.0062612,0.0164799
"334","Computer and electronic products",0.0060614,0.0018812,0.0060618,0.0070455,0.0066451,0.0030687,0.0109299,0.0160469,0.0144325,0.0178745,0.0229496,0.0367809,1.0452605,0.0483446,0.0587473,0.0708390,0.0236898,0.0233032,0.0095621,0.0221843,0.0113126,0.0134122,0.0246363,0.0057785,0.0140461,0.0193008,0.0088092,0.0075212,0.0044484,0.0044953,0.0049094,0.0029590,0.0062079,0.0087413,0.0052838,0.0039471,0.0028812,0.0050864,0.0061808,0.0142105,0.0111541,0.0259773,0.0176966,0.0026448,0.0041544,0.0022495,0.0152316,0.0008651,0.0050200,0.0036115,0.0044046,0.0110182,0.0070453,0.0138385,0.0079558,0.0123977,0.0043671,0.0121690,0.0047720,0.0043640,0.0052650,0.0022415,0.0037210,0.0040727,0.0042732,0.0158766,0.0406958,0.0069696,0.0035658,0.0043300,0.0116146
"335","Electrical equipment, appliances, and components",0.0101081,0.0033174,0.0050558,0.0060045,0.0070135,0.0023054,0.0273236,0.0219203,0.0042022,0.0151823,0.0138977,0.0489266,0.0041800,1.0797278,0.0240942,0.0132460,0.0067768,0.0106862,0.0063983,0.0050711,0.0025098,0.0080848,0.0050870,0.0040079,0.0041931,0.0085203,0.0020001,0.0031137,0.0024386,0.0027587,0.0027015,0.0015182,0.0047653,0.0037252,0.0026791,0.0076208,0.0019127,0.0030643,0.0067055,0.0011957,0.0015202,0.0091684,0.0031707,0.0013258,0.0017007,0.0012512,0.0015999,0.0011244,0.0054749,0.0019171,0.0010640,0.0029306,0.0044255,0.0018542,0.0042934,0.0123794,0.0038414,0.0015105,0.0024734,0.0052663,0.0038568,0.0016231,0.0036754,0.0036098,0.0027395,0.0064413,0.0044174,0.0033906,0.0024884,0.0028486,0.0137262
"3361MV","Motor vehicles, bodies and trailers, and parts",0.0107126,0.0044722,0.0096598,0.0196451,0.0087784,0.0046122,0.0079688,0.0160538,0.0116639,0.0274667,0.0142434,0.0589127,0.0019984,0.0122394,1.4716624,0.0246849,0.0124487,0.0099326,0.0117140,0.0093852,0.0055415,0.0180678,0.0092779,0.0074515,0.0067876,0.0103135,0.0085094,0.0143148,0.0112834,0.0048688,0.0098920,0.0027033,0.0054972,0.0078701,0.0218856,0.0118573,0.0029694,0.0076894,0.0400855,0.0028068,0.0037487,0.0056819,0.0040574,0.0018070,0.0024580,0.0018155,0.0022067,0.0005376,0.0046151,0.0057190,0.0015364,0.0016365,0.0050228,0.0044245,0.0140298,0.0271319,0.0039943,0.0029919,0.0050878,0.0039027,0.0139550,0.0058142,0.0040825,0.0037740,0.0046820,0.0330033,0.0149559,0.0012485,0.0227865,0.0075900,0.0081044
"3364OT","Other transportation equipment",0.0009583,0.0009531,0.0009000,0.0018950,0.0008798,0.0008095,0.0010033,0.0016822,0.0013775,0.0028262,0.0016683,0.0026552,0.0007631,0.0019051,0.0034661,1.2808394,0.0013322,0.0010665,0.0010952,0.0015736,0.0010805,0.0016522,0.0010356,0.0007958,0.0008838,0.0012926,0.0005432,0.0004484,0.0003681,0.0003494,0.0004372,0.0075773,0.0248852,0.0542843,0.0015007,0.0007931,0.0004310,0.0073167,0.0005473,0.0004391,0.0004794,0.0007579,0.0006219,0.0002325,0.0005312,0.0002020,0.0005926,0.0000682,0.0005243,0.0003190,0.0002256,0.0003409,0.0009135,0.0004346,0.0005396,0.0014005,0.0003608,0.0004025,0.0003441,0.0003921,0.0004480,0.0002138,0.0004139,0.0003637,0.0003845,0.0013091,0.0735261,0.0036998,0.0009467,0.0003786,0.0017867
"337","Furniture and related products",0.0004143,0.0001057,0.0002773,0.0005472,0.0003007,0.0003814,0.0105542,0.0040874,0.0004418,0.0004187,0.0003432,0.0011794,0.0001454,0.0003853,0.0006824,0.0009531,1.0450174,0.0025169,0.0003975,0.0009754,0.0008044,0.0008376,0.0003683,0.0003831,0.0003084,0.0018694,0.0005894,0.0013221,0.0003563,0.0002977,0.0017542,0.0001876,0.0007833,0.0012136,0.0005394,0.0002979,0.0003142,0.0004532,0.0004502,0.0001430,0.0002960,0.0005767,0.0012320,0.0002048,0.0004547,0.0001873,0.0003501,0.0019467,0.0010491,0.0001966,0.0001882,0.0000920,0.0004262,0.0002266,0.0002393,0.0002790,0.0002118,0.0004901,0.0003739,0.0003357,0.0008522,0.0011339,0.0016534,0.0003738,0.0006199,0.0005581,0.0003624,0.0001356,0.0138853,0.0003598,0.0018991
"339","Miscellaneous manufacturing",0.0016303,0.0004774,0.0010887,0.0016680,0.0010377,0.0006228,0.0017776,0.0015470,0.0019722,0.0017434,0.0014721,0.0072183,0.0004331,0.0071023,0.0056708,0.0016043,0.0020428,1.0352051,0.0012993,0.0052381,0.0106482,0.0017226,0.0016675,0.0009456,0.0026880,0.0032120,0.0011752,0.0022138,0.0011862,0.0007278,0.0018715,0.0005347,0.0007607,0.0011458,0.0009555,0.0012143,0.0005363,0.0016463,0.0030056,0.0005804,0.0007691,0.0011595,0.0011510,0.0006049,0.0006356,0.0004809,0.0006234,0.0001537,0.0014765,0.0006791,0.0005155,0.0004912,0.0019340,0.0007167,0.0025751,0.0055376,0.0016735,0.0150822,0.0188772,0.0049896,0.0065115,0.0006503,0.0034690,0.0008311,0.0013363,0.0021775,0.0011967,0.0006743,0.0006575,0.0042578,0.0015015
"311FT","Food and beverage and tobacco products",0.1236687,0.0097053,0.0018246,0.0022608,0.0015857,0.0015812,0.0018198,0.0049075,0.0044672,0.0039797,0.0024606,0.0020657,0.0003741,0.0020147,0.0029046,0.0012284,0.0032892,0.0029532,1.2341192,0.0116682,0.0376657,0.0156018,0.0135079,0.0026734,0.0126531,0.0084305,0.0028089,0.0019958,0.0049308,0.0023152,0.0020630,0.0104675,0.0014895,0.0171378,0.0023302,0.0016778,0.0010208,0.0029315,0.0016578,0.0013935,0.0024692,0.0018096,0.0023853,0.0016689,0.0021020,0.0015957,0.0019793,0.0004049,0.0038432,0.0014508,0.0016133,0.0012919,0.0054469,0.0020008,0.0032219,0.0026540,0.0235721,0.0033408,0.0123590,0.0315878,0.0497796,0.0071888,0.0462853,0.0279211,0.0737985,0.0056549,0.0065911,0.0008940,0.0113657,0.0318312,0.0018362
