"Industry-by-Industry Total Requirements, After Redefinitions - Summary"
"2009, (in producers' prices)" 
"Bureau of Economic Analysis" 
""
"","Industries/Industries","111CA","113FF","211","212","213","22","23","321","327","331","332","333","334","335","3361MV","3364OT","337","339","311FT","313TT","315AL","322","323","324","325","326","42","441","445","452","4A0","481","482","483","484","485","486","487OS","493","511","512","513","514","521CI","523","524","525","HS","ORE","532RL","5411","5415","5412OP","55","561","562","61","621","622","623","624","711AS","713","721","722","81","GFGD","GFGN","GFE","GSLG","GSLE"
"","Industry Description","Farms","Forestry, fishing, and related activities","Oil and gas extraction","Mining, except oil and gas","Support activities for mining","Utilities","Construction","Wood products","Nonmetallic mineral products","Primary metals","Fabricated metal products","Machinery","Computer and electronic products","Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts","Other transportation equipment","Furniture and related products","Miscellaneous manufacturing","Food and beverage and tobacco products","Textile mills and textile product mills","Apparel and leather and allied products","Paper products","Printing and related support activities","Petroleum and coal products","Chemical products","Plastics and rubber products","Wholesale trade","Motor vehicle and parts dealers","Food and beverage stores","General merchandise stores","Other retail","Air transportation","Rail transportation","Water transportation","Truck transportation","Transit and ground passenger transportation","Pipeline transportation","Other transportation and support activities","Warehousing and storage","Publishing industries, except internet (includes software)","Motion picture and sound recording industries","Broadcasting and telecommunications","Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments","Insurance carriers and related activities","Funds, trusts, and other financial vehicles","Housing","Other real estate","Rental and leasing services and lessors of intangible assets","Legal services","Computer systems design and related services","Miscellaneous professional, scientific, and technical services","Management of companies and enterprises","Administrative and support services","Waste management and remediation services","Educational services","Ambulatory health care services","Hospitals","Nursing and residential care facilities","Social assistance","Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries","Accommodation","Food services and drinking places","Other services, except government","Federal general government (defense)","Federal general government (nondefense)","Federal government enterprises","State and local general government","State and local government enterprises"
"111CA","Farms",1.1872912,0.0415219,0.0005002,0.0023043,0.0012917,0.0006405,0.0037996,0.0278568,0.0032485,0.0019667,0.0017164,0.0017680,0.0008765,0.0016050,0.0032530,0.0012734,0.0070825,0.0072075,0.3228774,0.0593301,0.0179414,0.0114351,0.0074160,0.0009891,0.0226399,0.0095189,0.0007388,0.0008419,0.0030248,0.0011564,0.0010431,0.0020495,0.0010764,0.0021279,0.0008131,0.0005087,0.0009444,0.0013667,0.0007697,0.0010307,0.0005793,0.0006960,0.0010415,0.0007998,0.0008074,0.0003193,0.0008087,0.0002098,0.0016264,0.0006090,0.0005869,0.0006818,0.0015481,0.0009090,0.0023147,0.0013646,0.0078457,0.0017091,0.0040385,0.0084399,0.0136515,0.0027634,0.0100953,0.0082949,0.0222612,0.0015373,0.0023769,-0.0002115,0.0027389,0.0089185,0.0014343
"113FF","Forestry, fishing, and related activities",0.0775549,1.1465546,0.0001947,0.0018879,0.0006394,0.0003826,0.0051721,0.1756109,0.0022342,0.0018096,0.0012498,0.0016666,0.0006985,0.0015186,0.0035126,0.0011144,0.0180339,0.0042961,0.0318313,0.0053968,0.0093701,0.0330694,0.0053584,0.0003658,0.0033401,0.0119278,0.0005490,0.0002604,0.0035854,0.0004515,0.0005870,0.0006166,0.0037864,0.0005887,0.0005738,0.0005318,0.0009446,0.0009072,0.0007217,0.0008850,0.0003417,0.0005635,0.0012986,0.0004487,0.0004180,0.0001734,0.0004068,0.0002288,0.0012446,0.0003771,0.0002839,0.0003051,0.0006140,0.0004245,0.0007078,0.0007474,0.0013289,0.0006926,0.0008925,0.0013578,0.0026743,0.0006014,0.0024503,0.0037603,0.0062918,0.0008068,0.0006066,0.0004473,0.0008958,0.0028537,0.0014333
"211","Oil and gas extraction",0.0399669,0.0193896,1.1030897,0.0473266,0.0224114,0.1501931,0.0373774,0.0300555,0.0327524,0.0390699,0.0214228,0.0192284,0.0078011,0.0221127,0.0244027,0.0107966,0.0231730,0.0196565,0.0261506,0.0393951,0.0175603,0.0325582,0.0335406,0.7304293,0.0637997,0.0421453,0.0068683,0.0045949,0.0130215,0.0094524,0.0091749,0.1013695,0.0496035,0.0400915,0.0587077,0.0285833,0.0262566,0.0425591,0.0201711,0.0071486,0.0039939,0.0054219,0.0085892,0.0148385,0.0114205,0.0024125,0.0139696,0.0021656,0.0217296,0.0087859,0.0041629,0.0055120,0.0070117,0.0099250,0.0097662,0.0233677,0.0101880,0.0089452,0.0129743,0.0125299,0.0134085,0.0081526,0.0155239,0.0193406,0.0151875,0.0104407,0.0300890,0.0078079,0.0505658,0.0450583,0.1407376
"212","Mining, except oil and gas",0.0153063,0.0030232,0.0029195,1.0867583,0.0043209,0.0348474,0.0195154,0.0078300,0.1075279,0.1315921,0.0326010,0.0195063,0.0053321,0.0238774,0.0276976,0.0119950,0.0125266,0.0151526,0.0138120,0.0146271,0.0051400,0.0241911,0.0072264,0.0062068,0.0194268,0.0133650,0.0012687,0.0009195,0.0027343,0.0020848,0.0020269,0.0029878,0.0051634,0.0039363,0.0029558,0.0014899,0.0056677,0.0036915,0.0050354,0.0019493,0.0010421,0.0025438,0.0025801,0.0014210,0.0017682,0.0005116,0.0018895,0.0008256,0.0052413,0.0013123,0.0008570,0.0010146,0.0024116,0.0021098,0.0023485,0.0050618,0.0032031,0.0023808,0.0030360,0.0027017,0.0035174,0.0035426,0.0071621,0.0044112,0.0043189,0.0035471,0.0027804,0.0106956,0.0025458,0.0038913,0.0292194
"213","Support activities for mining",0.0015328,0.0006517,0.0326659,0.0237138,1.0162786,0.0051811,0.0016325,0.0011369,0.0032834,0.0039823,0.0015619,0.0011717,0.0004043,0.0013128,0.0015830,0.0006862,0.0010640,0.0009847,0.0011200,0.0015202,0.0006633,0.0015436,0.0011939,0.0217263,0.0023362,0.0016080,0.0002371,0.0001608,0.0004517,0.0003313,0.0003249,0.0030701,0.0015934,0.0013413,0.0018144,0.0008863,0.0009822,0.0013499,0.0007214,0.0002711,0.0001456,0.0002458,0.0003288,0.0004768,0.0003842,0.0000849,0.0004618,0.0000862,0.0007698,0.0002955,0.0001457,0.0001940,0.0002907,0.0003539,0.0003514,0.0008610,0.0003791,0.0003240,0.0004588,0.0004367,0.0004947,0.0003224,0.0006245,0.0006828,0.0005572,0.0004046,0.0009773,0.0004681,0.0015733,0.0014276,0.0048186
"22","Utilities",0.0324942,0.0088210,0.0102311,0.0396275,0.0066708,1.0539281,0.0148538,0.0350987,0.0511269,0.0554072,0.0341440,0.0240635,0.0129806,0.0240341,0.0381822,0.0166654,0.0285673,0.0215504,0.0319699,0.0448163,0.0252585,0.0479557,0.0279451,0.0136672,0.0344281,0.0402268,0.0111458,0.0095877,0.0417968,0.0305187,0.0235097,0.0102124,0.0073048,0.0130799,0.0157298,0.0092931,0.0606765,0.0374088,0.0808938,0.0091779,0.0061923,0.0088606,0.0119203,0.0094253,0.0098695,0.0036392,0.0168898,0.0013724,0.0715732,0.0113380,0.0066768,0.0057154,0.0098698,0.0219265,0.0088600,0.0143344,0.0238466,0.0115516,0.0149679,0.0210696,0.0190901,0.0142352,0.0255153,0.0503460,0.0367668,0.0144287,0.0094241,0.0076950,0.0163796,0.0159731,0.0160354
"23","Construction",0.0185933,0.0041108,0.0064851,0.0279576,0.0182952,0.0193315,1.0059209,0.0103066,0.0145055,0.0159391,0.0107720,0.0085037,0.0046570,0.0078046,0.0112104,0.0056239,0.0100732,0.0075706,0.0119629,0.0107639,0.0098720,0.0119078,0.0102918,0.0196181,0.0094749,0.0109822,0.0049302,0.0039882,0.0109006,0.0093003,0.0106515,0.0074949,0.0278711,0.0091273,0.0096528,0.0081371,0.0601858,0.0104072,0.0195106,0.0048793,0.0040259,0.0076686,0.0053600,0.0145236,0.0106218,0.0039032,0.0114517,0.0373769,0.0740243,0.0059371,0.0054075,0.0035968,0.0072935,0.0078592,0.0051454,0.0070481,0.0099570,0.0073765,0.0068937,0.0132058,0.0150982,0.0098629,0.0136186,0.0160032,0.0123558,0.0136870,0.0129295,0.0075351,0.0186470,0.0172518,0.1540848
"321","Wood products",0.0037825,0.0018637,0.0005682,0.0033672,0.0023176,0.0013281,0.0320153,1.2354609,0.0069582,0.0058451,0.0034504,0.0055687,0.0022303,0.0047954,0.0134945,0.0040061,0.1117042,0.0107144,0.0039311,0.0037371,0.0021933,0.0353289,0.0055046,0.0010861,0.0025693,0.0101751,0.0019469,0.0008160,0.0037502,0.0013548,0.0020709,0.0008478,0.0253893,0.0012819,0.0018559,0.0010128,0.0035010,0.0017970,0.0030240,0.0020262,0.0011595,0.0020545,0.0066757,0.0011728,0.0010338,0.0004049,0.0010110,0.0012936,0.0060552,0.0012340,0.0006597,0.0006057,0.0012740,0.0009502,0.0017062,0.0017251,0.0012822,0.0014486,0.0014555,0.0014581,0.0070349,0.0012253,0.0023153,0.0035357,0.0025390,0.0019835,0.0013062,0.0010997,0.0019496,0.0030654,0.0073321
"327","Nonmetallic mineral products",0.0034775,0.0015840,0.0024263,0.0080002,0.0065722,0.0021225,0.0441897,0.0139339,1.1270298,0.0211171,0.0098618,0.0131915,0.0035290,0.0186328,0.0291955,0.0053431,0.0095473,0.0090502,0.0104078,0.0090282,0.0040553,0.0064281,0.0029210,0.0042770,0.0058930,0.0110371,0.0009052,0.0013036,0.0016143,0.0012321,0.0017739,0.0015321,0.0027261,0.0020236,0.0019443,0.0010612,0.0040835,0.0018336,0.0030933,0.0012514,0.0006799,0.0043702,0.0046997,0.0014398,0.0013460,0.0004582,0.0013448,0.0017011,0.0043984,0.0012219,0.0007360,0.0009941,0.0030827,0.0014350,0.0024854,0.0038917,0.0016245,0.0031896,0.0026653,0.0021866,0.0031853,0.0012260,0.0025338,0.0024410,0.0039861,0.0033811,0.0020863,0.0022481,0.0020135,0.0023997,0.0136342
