"Industry-by-Industry Total Requirements, After Redefinitions - Summary"
"2020, (in producers' prices)" 
"Bureau of Economic Analysis" 
""
"","Industries/Industries","111CA","113FF","211","212","213","22","23","321","327","331","332","333","334","335","3361MV","3364OT","337","339","311FT","313TT","315AL","322","323","324","325","326","42","441","445","452","4A0","481","482","483","484","485","486","487OS","493","511","512","513","514","521CI","523","524","525","HS","ORE","532RL","5411","5415","5412OP","55","561","562","61","621","622","623","624","711AS","713","721","722","81","GFGD","GFGN","GFE","GSLG","GSLE"
"","Industry Description","Farms","Forestry, fishing, and related activities","Oil and gas extraction","Mining, except oil and gas","Support activities for mining","Utilities","Construction","Wood products","Nonmetallic mineral products","Primary metals","Fabricated metal products","Machinery","Computer and electronic products","Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts","Other transportation equipment","Furniture and related products","Miscellaneous manufacturing","Food and beverage and tobacco products","Textile mills and textile product mills","Apparel and leather and allied products","Paper products","Printing and related support activities","Petroleum and coal products","Chemical products","Plastics and rubber products","Wholesale trade","Motor vehicle and parts dealers","Food and beverage stores","General merchandise stores","Other retail","Air transportation","Rail transportation","Water transportation","Truck transportation","Transit and ground passenger transportation","Pipeline transportation","Other transportation and support activities","Warehousing and storage","Publishing industries, except internet (includes software)","Motion picture and sound recording industries","Broadcasting and telecommunications","Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments","Insurance carriers and related activities","Funds, trusts, and other financial vehicles","Housing","Other real estate","Rental and leasing services and lessors of intangible assets","Legal services","Computer systems design and related services","Miscellaneous professional, scientific, and technical services","Management of companies and enterprises","Administrative and support services","Waste management and remediation services","Educational services","Ambulatory health care services","Hospitals","Nursing and residential care facilities","Social assistance","Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries","Accommodation","Food services and drinking places","Other services, except government","Federal general government (defense)","Federal general government (nondefense)","Federal government enterprises","State and local general government","State and local government enterprises"
"111CA","Farms",1.2314401,0.0232359,0.0016299,0.0022040,0.0011390,0.0007379,0.0030323,0.0160617,0.0024484,0.0018020,0.0015518,0.0015702,0.0002634,0.0013421,0.0023910,0.0011481,0.0055919,0.0050667,0.3233454,0.0804309,0.0230048,0.0138003,0.0063503,0.0017761,0.0179697,0.0081689,0.0012414,0.0036287,0.0036504,0.0058397,0.0014851,0.0052774,0.0012842,0.0051740,0.0011144,0.0008437,0.0005531,0.0020348,0.0009214,0.0006162,0.0011855,0.0008687,0.0011573,0.0005252,0.0007582,0.0005542,0.0007313,0.0002369,0.0017766,0.0006485,0.0005741,0.0005206,0.0022048,0.0009162,0.0028208,0.0016441,0.0046708,0.0017268,0.0030599,0.0073795,0.0114657,0.0019726,0.0169622,0.0074045,0.0204314,0.0017962,0.0019564,0.0003648,0.0022722,0.0084189,0.0015445
"113FF","Forestry, fishing, and related activities",0.0720960,1.1109355,0.0006729,0.0019677,0.0006784,0.0004159,0.0039960,0.1249270,0.0017087,0.0018532,0.0012848,0.0014642,0.0003313,0.0014954,0.0024631,0.0008802,0.0139940,0.0039520,0.0299129,0.0064706,0.0110043,0.0483677,0.0052055,0.0007104,0.0028754,0.0096531,0.0008652,0.0007223,0.0048501,0.0009140,0.0008416,0.0011585,0.0046247,0.0009317,0.0006851,0.0009631,0.0002968,0.0015291,0.0009441,0.0004662,0.0006211,0.0006976,0.0008227,0.0003056,0.0004032,0.0003167,0.0003794,0.0002381,0.0015814,0.0004844,0.0003172,0.0002340,0.0007356,0.0004785,0.0008165,0.0007273,0.0010882,0.0006791,0.0008118,0.0013049,0.0022980,0.0004663,0.0035212,0.0036511,0.0064965,0.0009169,0.0005441,0.0002657,0.0008195,0.0027865,0.0012819
"211","Oil and gas extraction",0.0169002,0.0052534,1.1263790,0.0199052,0.0101904,0.0561727,0.0162929,0.0094396,0.0083369,0.0128570,0.0072930,0.0064265,0.0009684,0.0093087,0.0061618,0.0029052,0.0069032,0.0066613,0.0104449,0.0119255,0.0044292,0.0106782,0.0131629,0.5458005,0.0223171,0.0138152,0.0042513,0.0051650,0.0064433,0.0041797,0.0049978,0.0137312,0.0329267,0.0120533,0.0175415,0.0079887,0.0022584,0.0214023,0.0083999,0.0018566,0.0030504,0.0027713,0.0028481,0.0043852,0.0052201,0.0019837,0.0055237,0.0010144,0.0113346,0.0039077,0.0017641,0.0017090,0.0029866,0.0040131,0.0055927,0.0128325,0.0041190,0.0035138,0.0040799,0.0051771,0.0056147,0.0025128,0.0065876,0.0056870,0.0060956,0.0041132,0.0096668,0.0015249,0.0203784,0.0195526,0.0730814
"212","Mining, except oil and gas",0.0085932,0.0009498,0.0061508,1.0768150,0.0028572,0.0162568,0.0163510,0.0031159,0.0660171,0.0712449,0.0174978,0.0095165,0.0010595,0.0119389,0.0113109,0.0053265,0.0059756,0.0069527,0.0056896,0.0058797,0.0019593,0.0079745,0.0029053,0.0090410,0.0089448,0.0061505,0.0010990,0.0014191,0.0018438,0.0014731,0.0015558,0.0011707,0.0048747,0.0019167,0.0015517,0.0011335,0.0009058,0.0019760,0.0029332,0.0005896,0.0011101,0.0017713,0.0027593,0.0005560,0.0008354,0.0006356,0.0009102,0.0007666,0.0036741,0.0008721,0.0005542,0.0003986,0.0015444,0.0011901,0.0016203,0.0025524,0.0020993,0.0012993,0.0013727,0.0015688,0.0019025,0.0023139,0.0039895,0.0019022,0.0021847,0.0019360,0.0014935,0.0015701,0.0013418,0.0024232,0.0210093
"213","Support activities for mining",0.0007655,0.0001997,0.0364555,0.0243440,1.0124418,0.0021904,0.0009933,0.0004307,0.0018364,0.0021048,0.0008204,0.0005699,0.0000712,0.0006993,0.0006295,0.0003057,0.0004396,0.0004467,0.0005167,0.0005626,0.0002081,0.0006030,0.0005350,0.0178119,0.0009596,0.0006600,0.0001740,0.0002130,0.0002614,0.0001791,0.0002112,0.0004786,0.0011976,0.0004923,0.0006171,0.0002984,0.0001201,0.0007540,0.0003585,0.0000833,0.0001333,0.0001645,0.0001712,0.0001592,0.0001955,0.0000840,0.0002067,0.0000545,0.0004696,0.0001556,0.0000743,0.0000707,0.0001723,0.0001743,0.0002318,0.0005156,0.0001909,0.0001517,0.0001741,0.0002131,0.0002462,0.0001395,0.0003161,0.0002455,0.0002636,0.0001938,0.0003711,0.0000927,0.0007078,0.0006981,0.0028839
"22","Utilities",0.0276773,0.0046047,0.0345542,0.0361715,0.0063200,1.0558512,0.0126431,0.0189090,0.0267148,0.0335895,0.0216163,0.0149126,0.0036198,0.0140137,0.0170162,0.0081132,0.0160216,0.0139625,0.0233717,0.0295256,0.0132123,0.0338817,0.0216074,0.0293614,0.0241590,0.0298373,0.0158400,0.0235821,0.0472816,0.0273999,0.0275461,0.0074079,0.0082261,0.0113501,0.0141359,0.0075114,0.0079714,0.0093321,0.0775960,0.0047971,0.0093802,0.0089515,0.0090124,0.0067144,0.0092293,0.0097782,0.0148177,0.0017043,0.0815169,0.0094647,0.0071779,0.0027631,0.0088164,0.0217755,0.0091256,0.0103490,0.0227309,0.0089076,0.0144475,0.0192684,0.0159754,0.0099296,0.0198424,0.0273704,0.0329092,0.0112269,0.0068705,0.0048413,0.0130479,0.0145096,0.0166916
"23","Construction",0.0173550,0.0027109,0.0154010,0.0288602,0.0137249,0.0197623,1.0060877,0.0072956,0.0098150,0.0119738,0.0084286,0.0062552,0.0012897,0.0056097,0.0067784,0.0034132,0.0068194,0.0058317,0.0107836,0.0096789,0.0050788,0.0120194,0.0087525,0.0277349,0.0078787,0.0098499,0.0084410,0.0111212,0.0155959,0.0103971,0.0147242,0.0072045,0.0352129,0.0081946,0.0093196,0.0148613,0.0121335,0.0111717,0.0221975,0.0026167,0.0061179,0.0073623,0.0053545,0.0067297,0.0091292,0.0086902,0.0096317,0.0359796,0.0738648,0.0055038,0.0059704,0.0018704,0.0064963,0.0090077,0.0057209,0.0057769,0.0094651,0.0056427,0.0081217,0.0125496,0.0133056,0.0074029,0.0116428,0.0091987,0.0135923,0.0111284,0.0159480,0.0060540,0.0130448,0.0196512,0.1779807
"321","Wood products",0.0053085,0.0015163,0.0024023,0.0058376,0.0032523,0.0017665,0.0332852,1.2323407,0.0065238,0.0076023,0.0044160,0.0062528,0.0021121,0.0062439,0.0125538,0.0038571,0.1186874,0.0138441,0.0058904,0.0050129,0.0024522,0.0507069,0.0059768,0.0025271,0.0032419,0.0143753,0.0040225,0.0026747,0.0062851,0.0023616,0.0039788,0.0013822,0.0428594,0.0018708,0.0024595,0.0020187,0.0010872,0.0032398,0.0053022,0.0010998,0.0024805,0.0033607,0.0048820,0.0010531,0.0013920,0.0013949,0.0013319,0.0017443,0.0109745,0.0019460,0.0011047,0.0005726,0.0017783,0.0015726,0.0023017,0.0020163,0.0020181,0.0018714,0.0022868,0.0024082,0.0084532,0.0013810,0.0031812,0.0053648,0.0039186,0.0026770,0.0017039,0.0008859,0.0023900,0.0044686,0.0081542
"327","Nonmetallic mineral products",0.0035430,0.0011432,0.0127646,0.0095838,0.0080478,0.0027110,0.0448514,0.0107318,1.1203923,0.0166021,0.0091427,0.0106319,0.0010879,0.0188476,0.0213634,0.0045263,0.0094494,0.0085610,0.0098884,0.0094039,0.0044917,0.0069068,0.0028392,0.0117689,0.0058483,0.0128771,0.0016185,0.0033464,0.0023700,0.0026699,0.0030204,0.0016633,0.0038387,0.0021942,0.0021636,0.0017805,0.0014041,0.0025065,0.0043274,0.0007745,0.0012781,0.0058669,0.0029954,0.0009181,0.0012967,0.0009719,0.0012863,0.0019859,0.0049700,0.0017782,0.0008203,0.0007377,0.0037711,0.0014453,0.0026459,0.0045235,0.0015848,0.0035995,0.0036185,0.0026050,0.0035235,0.0010843,0.0025067,0.0022452,0.0048013,0.0033984,0.0022752,0.0012534,0.0018974,0.0031852,0.0183600
