"Industry-by-Industry Total Requirements, After Redefinitions - Summary"
"2015, (in producers' prices)" 
"Bureau of Economic Analysis" 
""
"","Industries/Industries","111CA","113FF","211","212","213","22","23","321","327","331","332","333","334","335","3361MV","3364OT","337","339","311FT","313TT","315AL","322","323","324","325","326","42","441","445","452","4A0","481","482","483","484","485","486","487OS","493","511","512","513","514","521CI","523","524","525","HS","ORE","532RL","5411","5415","5412OP","55","561","562","61","621","622","623","624","711AS","713","721","722","81","GFGD","GFGN","GFE","GSLG","GSLE"
"","Industry Description","Farms","Forestry, fishing, and related activities","Oil and gas extraction","Mining, except oil and gas","Support activities for mining","Utilities","Construction","Wood products","Nonmetallic mineral products","Primary metals","Fabricated metal products","Machinery","Computer and electronic products","Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts","Other transportation equipment","Furniture and related products","Miscellaneous manufacturing","Food and beverage and tobacco products","Textile mills and textile product mills","Apparel and leather and allied products","Paper products","Printing and related support activities","Petroleum and coal products","Chemical products","Plastics and rubber products","Wholesale trade","Motor vehicle and parts dealers","Food and beverage stores","General merchandise stores","Other retail","Air transportation","Rail transportation","Water transportation","Truck transportation","Transit and ground passenger transportation","Pipeline transportation","Other transportation and support activities","Warehousing and storage","Publishing industries, except internet (includes software)","Motion picture and sound recording industries","Broadcasting and telecommunications","Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments","Insurance carriers and related activities","Funds, trusts, and other financial vehicles","Housing","Other real estate","Rental and leasing services and lessors of intangible assets","Legal services","Computer systems design and related services","Miscellaneous professional, scientific, and technical services","Management of companies and enterprises","Administrative and support services","Waste management and remediation services","Educational services","Ambulatory health care services","Hospitals","Nursing and residential care facilities","Social assistance","Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries","Accommodation","Food services and drinking places","Other services, except government","Federal general government (defense)","Federal general government (nondefense)","Federal government enterprises","State and local general government","State and local government enterprises"
"111CA","Farms",1.2180729,0.0396012,0.0011182,0.0029511,0.0016545,0.0010613,0.0034664,0.0246893,0.0032392,0.0021880,0.0018870,0.0018236,0.0004997,0.0016048,0.0028985,0.0012050,0.0063631,0.0064365,0.3693208,0.0426551,0.0247591,0.0129006,0.0072547,0.0012660,0.0240894,0.0101030,0.0012700,0.0033951,0.0034365,0.0014964,0.0014707,0.0020340,0.0013190,0.0040511,0.0011122,0.0007424,0.0003583,0.0023257,0.0012946,0.0009601,0.0008589,0.0009903,0.0014135,0.0008072,0.0012006,0.0004409,0.0012738,0.0002452,0.0022423,0.0009262,0.0008425,0.0006566,0.0027693,0.0010831,0.0027106,0.0015065,0.0095655,0.0020444,0.0060537,0.0132487,0.0175659,0.0021774,0.0146390,0.0109564,0.0272060,0.0024157,0.0024122,-0.0009340,0.0036855,0.0124863,0.0015034
"113FF","Forestry, fishing, and related activities",0.0729372,1.1497253,0.0004598,0.0023424,0.0008846,0.0005549,0.0050177,0.1601360,0.0021960,0.0019437,0.0013689,0.0017950,0.0004737,0.0014790,0.0031291,0.0010617,0.0168554,0.0045825,0.0333693,0.0042338,0.0081105,0.0394689,0.0050830,0.0005221,0.0035435,0.0117114,0.0008271,0.0007677,0.0043973,0.0005699,0.0008176,0.0005928,0.0039688,0.0008836,0.0006980,0.0008596,0.0003124,0.0015086,0.0011888,0.0006933,0.0004343,0.0006904,0.0013063,0.0003877,0.0006000,0.0002264,0.0005850,0.0002650,0.0018498,0.0006637,0.0004256,0.0002827,0.0008647,0.0004845,0.0008701,0.0007739,0.0015214,0.0007406,0.0012336,0.0020199,0.0029296,0.0005204,0.0027782,0.0037125,0.0065173,0.0010287,0.0005677,0.0002587,0.0011599,0.0032115,0.0012729
"211","Oil and gas extraction",0.0222048,0.0118244,1.0976223,0.0401652,0.0177046,0.0809947,0.0235477,0.0199856,0.0186795,0.0244761,0.0131876,0.0122576,0.0027147,0.0153712,0.0123685,0.0064500,0.0148350,0.0132686,0.0171687,0.0221945,0.0075959,0.0209956,0.0232493,0.6256162,0.0430812,0.0258817,0.0060776,0.0076247,0.0090388,0.0063002,0.0070146,0.0881406,0.0404870,0.0545494,0.0624976,0.0222051,0.0043690,0.0327286,0.0157983,0.0040811,0.0032355,0.0041991,0.0055204,0.0056024,0.0104791,0.0018754,0.0115526,0.0013815,0.0154707,0.0062353,0.0033025,0.0024998,0.0045025,0.0053971,0.0071571,0.0161480,0.0067821,0.0056486,0.0100480,0.0082288,0.0083472,0.0043966,0.0081773,0.0088640,0.0086353,0.0067343,0.0122482,0.0028804,0.0335057,0.0238081,0.0920529
"212","Mining, except oil and gas",0.0094826,0.0018686,0.0045188,1.0841440,0.0037337,0.0268015,0.0168981,0.0053340,0.0854877,0.0863417,0.0222948,0.0128987,0.0021011,0.0151926,0.0150983,0.0071632,0.0089159,0.0097814,0.0079653,0.0090813,0.0025851,0.0155148,0.0046628,0.0068731,0.0131173,0.0096540,0.0013195,0.0018698,0.0024805,0.0017984,0.0019260,0.0018473,0.0044655,0.0028008,0.0022385,0.0011991,0.0015803,0.0026614,0.0050414,0.0011127,0.0009101,0.0021092,0.0024522,0.0007911,0.0013370,0.0004922,0.0015290,0.0007543,0.0045255,0.0012750,0.0008318,0.0006195,0.0018305,0.0014744,0.0018593,0.0034499,0.0026370,0.0017168,0.0023976,0.0022392,0.0025120,0.0023309,0.0045769,0.0025257,0.0028891,0.0026356,0.0016419,0.0028035,0.0020425,0.0029882,0.0243550
"213","Support activities for mining",0.0011964,0.0005680,0.0476257,0.0234348,1.0105531,0.0040768,0.0015310,0.0010922,0.0026644,0.0029545,0.0013671,0.0010616,0.0002103,0.0011929,0.0011600,0.0006117,0.0009923,0.0009171,0.0009907,0.0012225,0.0004241,0.0013668,0.0011809,0.0272425,0.0022083,0.0014594,0.0003057,0.0003888,0.0004588,0.0003228,0.0003625,0.0038662,0.0018794,0.0025197,0.0027790,0.0010030,0.0002737,0.0015072,0.0008253,0.0002229,0.0001676,0.0002795,0.0003184,0.0002678,0.0004961,0.0000961,0.0005463,0.0000828,0.0007930,0.0003163,0.0001682,0.0001359,0.0002731,0.0002831,0.0003698,0.0008574,0.0003641,0.0002938,0.0005032,0.0004190,0.0004503,0.0002471,0.0004689,0.0004590,0.0004583,0.0003761,0.0006055,0.0001963,0.0015317,0.0011131,0.0045504
"22","Utilities",0.0283798,0.0079573,0.0230010,0.0562317,0.0086340,1.0662201,0.0152604,0.0303129,0.0405971,0.0512295,0.0299900,0.0203732,0.0073384,0.0194324,0.0239126,0.0134012,0.0240070,0.0199690,0.0258089,0.0382221,0.0141241,0.0456563,0.0266198,0.0235593,0.0336691,0.0367333,0.0161766,0.0279201,0.0500912,0.0343505,0.0298924,0.0078202,0.0082177,0.0133906,0.0150965,0.0073132,0.0189576,0.0135099,0.1045868,0.0081907,0.0078289,0.0117213,0.0121105,0.0076333,0.0118317,0.0058752,0.0198240,0.0015061,0.0777719,0.0103501,0.0095125,0.0039484,0.0097215,0.0218586,0.0102609,0.0140538,0.0243895,0.0111869,0.0194086,0.0223449,0.0176474,0.0117076,0.0240449,0.0390666,0.0350443,0.0143117,0.0066632,0.0048779,0.0159532,0.0136503,0.0162053
"23","Construction",0.0163287,0.0039026,0.0159248,0.0387862,0.0239022,0.0277861,1.0062510,0.0090401,0.0127172,0.0144460,0.0092181,0.0069508,0.0021280,0.0062753,0.0076216,0.0043182,0.0082201,0.0068155,0.0105479,0.0096570,0.0048330,0.0130118,0.0089619,0.0244584,0.0096206,0.0100688,0.0075033,0.0110450,0.0137737,0.0107062,0.0136048,0.0088511,0.0336442,0.0100821,0.0106630,0.0079234,0.0289842,0.0182419,0.0258854,0.0038988,0.0045231,0.0075290,0.0056956,0.0089205,0.0107435,0.0050696,0.0120604,0.0395350,0.0693246,0.0064755,0.0071903,0.0022956,0.0062417,0.0078107,0.0051742,0.0061553,0.0104726,0.0061960,0.0077305,0.0118695,0.0121460,0.0076565,0.0112876,0.0116988,0.0124550,0.0118054,0.0155021,0.0069541,0.0185729,0.0188450,0.1478610
"321","Wood products",0.0043772,0.0019226,0.0016290,0.0056682,0.0035554,0.0021529,0.0345380,1.2592310,0.0082545,0.0072814,0.0043979,0.0073491,0.0021157,0.0053491,0.0141865,0.0041790,0.1154186,0.0136121,0.0051942,0.0042978,0.0021120,0.0465629,0.0060155,0.0019256,0.0033191,0.0131984,0.0034349,0.0026170,0.0055482,0.0021139,0.0034859,0.0011512,0.0293742,0.0020386,0.0026457,0.0016860,0.0014786,0.0034993,0.0056602,0.0017250,0.0016112,0.0028356,0.0073262,0.0012064,0.0017676,0.0008296,0.0016984,0.0016626,0.0106942,0.0026035,0.0013880,0.0007202,0.0019266,0.0014344,0.0026030,0.0021828,0.0020745,0.0018385,0.0022998,0.0024904,0.0077926,0.0013949,0.0029275,0.0040321,0.0034412,0.0027860,0.0015646,0.0009759,0.0038289,0.0040594,0.0069194
"327","Nonmetallic mineral products",0.0033923,0.0015343,0.0063203,0.0104897,0.0091023,0.0032478,0.0465632,0.0151763,1.1328513,0.0202760,0.0104920,0.0136785,0.0019473,0.0202259,0.0242658,0.0051171,0.0115008,0.0107836,0.0106399,0.0097045,0.0037553,0.0082042,0.0032345,0.0062537,0.0075131,0.0141903,0.0014626,0.0029726,0.0021977,0.0016060,0.0024192,0.0017598,0.0034583,0.0025110,0.0024138,0.0013471,0.0018565,0.0028882,0.0044641,0.0011014,0.0008957,0.0055149,0.0046940,0.0011583,0.0017708,0.0006033,0.0017668,0.0019401,0.0047953,0.0024746,0.0009724,0.0009672,0.0035724,0.0014468,0.0028159,0.0038642,0.0018073,0.0033293,0.0037399,0.0029442,0.0036452,0.0011155,0.0025431,0.0023553,0.0041829,0.0034863,0.0020995,0.0015981,0.0024875,0.0028172,0.0141884
