"Industry-by-Industry Total Requirements, After Redefinitions - Summary"
"2001, (in producers' prices)" 
"Bureau of Economic Analysis" 
""
"","Industries/Industries","111CA","113FF","211","212","213","22","23","321","327","331","332","333","334","335","3361MV","3364OT","337","339","311FT","313TT","315AL","322","323","324","325","326","42","441","445","452","4A0","481","482","483","484","485","486","487OS","493","511","512","513","514","521CI","523","524","525","HS","ORE","532RL","5411","5415","5412OP","55","561","562","61","621","622","623","624","711AS","713","721","722","81","GFGD","GFGN","GFE","GSLG","GSLE"
"","Industry Description","Farms","Forestry, fishing, and related activities","Oil and gas extraction","Mining, except oil and gas","Support activities for mining","Utilities","Construction","Wood products","Nonmetallic mineral products","Primary metals","Fabricated metal products","Machinery","Computer and electronic products","Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts","Other transportation equipment","Furniture and related products","Miscellaneous manufacturing","Food and beverage and tobacco products","Textile mills and textile product mills","Apparel and leather and allied products","Paper products","Printing and related support activities","Petroleum and coal products","Chemical products","Plastics and rubber products","Wholesale trade","Motor vehicle and parts dealers","Food and beverage stores","General merchandise stores","Other retail","Air transportation","Rail transportation","Water transportation","Truck transportation","Transit and ground passenger transportation","Pipeline transportation","Other transportation and support activities","Warehousing and storage","Publishing industries, except internet (includes software)","Motion picture and sound recording industries","Broadcasting and telecommunications","Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments","Insurance carriers and related activities","Funds, trusts, and other financial vehicles","Housing","Other real estate","Rental and leasing services and lessors of intangible assets","Legal services","Computer systems design and related services","Miscellaneous professional, scientific, and technical services","Management of companies and enterprises","Administrative and support services","Waste management and remediation services","Educational services","Ambulatory health care services","Hospitals","Nursing and residential care facilities","Social assistance","Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries","Accommodation","Food services and drinking places","Other services, except government","Federal general government (defense)","Federal general government (nondefense)","Federal government enterprises","State and local general government","State and local government enterprises"
"111CA","Farms",1.1992803,0.0432563,0.0007055,0.0019212,0.0006371,0.0009361,0.0031798,0.0240824,0.0024705,0.0015490,0.0013413,0.0015059,0.0014353,0.0016135,0.0024905,0.0012275,0.0061327,0.0048034,0.2969744,0.0490895,0.0193412,0.0087201,0.0045037,0.0006706,0.0160225,0.0067321,0.0006478,0.0022194,0.0019944,0.0005728,0.0007916,0.0011550,0.0009334,0.0019184,0.0007790,0.0003709,0.0004453,0.0013407,0.0005068,0.0014958,0.0009509,0.0006087,0.0012077,0.0005888,0.0001279,0.0003460,0.0003186,0.0001799,0.0014204,0.0005269,0.0007093,0.0007900,0.0012810,0.0006872,0.0019337,0.0011430,0.0128405,0.0017585,0.0046492,0.0114049,0.0138049,0.0013418,0.0074584,0.0079678,0.0199939,0.0015486,0.0019577,-0.0081202,0.0029433,0.0112719,0.0009433
"113FF","Forestry, fishing, and related activities",0.0781321,1.2148119,0.0005876,0.0025560,0.0005654,0.0007863,0.0083162,0.1962596,0.0030298,0.0019704,0.0014674,0.0023708,0.0019794,0.0022390,0.0032092,0.0015385,0.0233847,0.0056181,0.0325232,0.0054264,0.0039086,0.0398174,0.0073848,0.0005003,0.0034572,0.0109457,0.0007870,0.0008278,0.0039020,0.0004674,0.0006889,0.0007697,0.0044008,0.0009194,0.0008547,0.0004762,0.0005024,0.0017668,0.0006345,0.0027444,0.0019969,0.0010138,0.0027731,0.0006037,0.0004020,0.0003067,0.0004394,0.0002783,0.0015734,0.0005763,0.0005769,0.0005932,0.0007896,0.0005134,0.0008526,0.0008459,0.0022762,0.0010132,0.0012837,0.0020439,0.0034205,0.0006817,0.0029364,0.0038934,0.0073557,0.0010645,0.0007565,0.0001850,0.0012840,0.0037852,0.0016807
"211","Oil and gas extraction",0.0292042,0.0191187,1.1608184,0.0344833,0.0098423,0.1803278,0.0237487,0.0233443,0.0267376,0.0396675,0.0218522,0.0186112,0.0164482,0.0225509,0.0175706,0.0128955,0.0180691,0.0165177,0.0218468,0.0309070,0.0190847,0.0288792,0.0298673,0.6817194,0.0575762,0.0333220,0.0063059,0.0102996,0.0117846,0.0079258,0.0080211,0.0806414,0.0298350,0.0203534,0.0237458,0.0157277,0.0126258,0.0309269,0.0139305,0.0105481,0.0085413,0.0087555,0.0095189,0.0081879,0.0060071,0.0024961,0.0089082,0.0014577,0.0259564,0.0060570,0.0055145,0.0065996,0.0064069,0.0083293,0.0121439,0.0277686,0.0111888,0.0099612,0.0135574,0.0142426,0.0111644,0.0088225,0.0159127,0.0138431,0.0147119,0.0086221,0.0195243,0.0051654,0.0196846,0.0303537,0.0894342
"212","Mining, except oil and gas",0.0107556,0.0021261,0.0038554,1.0620781,0.0019578,0.0342734,0.0163291,0.0050173,0.0726102,0.0597773,0.0135943,0.0094259,0.0063557,0.0128989,0.0106181,0.0068454,0.0068658,0.0076390,0.0088018,0.0086421,0.0043936,0.0131250,0.0051542,0.0045046,0.0125468,0.0083590,0.0010016,0.0017436,0.0020971,0.0014657,0.0014457,0.0017462,0.0031902,0.0028285,0.0016804,0.0008085,0.0023685,0.0021667,0.0028406,0.0026599,0.0023015,0.0025595,0.0026729,0.0010216,0.0008795,0.0004657,0.0012260,0.0005356,0.0050479,0.0009043,0.0009981,0.0011663,0.0015666,0.0014563,0.0015869,0.0024075,0.0027623,0.0023032,0.0029984,0.0027719,0.0025172,0.0020655,0.0039181,0.0027022,0.0032046,0.0021548,0.0017041,0.0039939,0.0014564,0.0028844,0.0137931
"213","Support activities for mining",0.0008754,0.0004526,0.0239607,0.0250393,1.0063304,0.0045530,0.0009386,0.0006382,0.0023531,0.0023084,0.0008610,0.0006894,0.0005491,0.0008585,0.0007053,0.0004969,0.0005874,0.0005620,0.0006927,0.0008709,0.0005174,0.0009443,0.0007651,0.0141277,0.0015119,0.0009267,0.0001586,0.0002618,0.0002979,0.0002026,0.0002059,0.0017050,0.0007017,0.0005257,0.0005370,0.0003491,0.0003324,0.0006971,0.0003626,0.0003017,0.0002394,0.0002592,0.0002758,0.0001977,0.0001486,0.0000650,0.0002172,0.0000447,0.0006649,0.0001508,0.0001416,0.0001731,0.0001988,0.0002166,0.0002954,0.0006473,0.0003044,0.0002667,0.0003581,0.0003663,0.0003032,0.0002370,0.0004298,0.0003580,0.0003900,0.0002389,0.0004572,0.0002099,0.0004492,0.0007017,0.0021932
"22","Utilities",0.0494748,0.0170726,0.0301528,0.0574869,0.0079608,1.0842979,0.0257234,0.0567163,0.0839638,0.1270767,0.0671380,0.0478879,0.0511189,0.0596995,0.0528449,0.0400999,0.0475674,0.0402608,0.0590759,0.0717497,0.0551651,0.0893086,0.0582125,0.0323563,0.0642378,0.0773625,0.0157258,0.0311877,0.0474212,0.0329549,0.0278662,0.0144909,0.0124232,0.0361738,0.0201729,0.0089968,0.0508779,0.0256284,0.0636965,0.0270510,0.0264404,0.0317008,0.0235281,0.0120761,0.0112582,0.0067069,0.0217782,0.0028403,0.1143518,0.0142615,0.0162539,0.0155938,0.0174844,0.0259305,0.0192527,0.0275527,0.0372172,0.0225320,0.0310141,0.0428728,0.0303340,0.0283825,0.0483065,0.0434830,0.0494083,0.0234182,0.0136512,0.0112843,0.0187398,0.0242863,0.0193578
"23","Construction",0.0148165,0.0048031,0.0182429,0.0302179,0.0120184,0.0216631,1.0057867,0.0115084,0.0149974,0.0201761,0.0129805,0.0102497,0.0110869,0.0112995,0.0099113,0.0075934,0.0103373,0.0086649,0.0116014,0.0111777,0.0090699,0.0145119,0.0125324,0.0142289,0.0111363,0.0130406,0.0047030,0.0083260,0.0077419,0.0064139,0.0072861,0.0069364,0.0240124,0.0098787,0.0087921,0.0047619,0.0199791,0.0169893,0.0109999,0.0070358,0.0074181,0.0145037,0.0061853,0.0184012,0.0067509,0.0028068,0.0087267,0.0259712,0.0484669,0.0047844,0.0058654,0.0044710,0.0056937,0.0057059,0.0048622,0.0053561,0.0086319,0.0060137,0.0057864,0.0099713,0.0099639,0.0075356,0.0100107,0.0090842,0.0102477,0.0110598,0.0148319,0.0102513,0.0183201,0.0151176,0.1138128
"321","Wood products",0.0054487,0.0026695,0.0022446,0.0046234,0.0021975,0.0026728,0.0517372,1.3243808,0.0112918,0.0067607,0.0049714,0.0096587,0.0075666,0.0080019,0.0133593,0.0054410,0.1453326,0.0189091,0.0061669,0.0069594,0.0044426,0.0531171,0.0104075,0.0017712,0.0048525,0.0186583,0.0029098,0.0029229,0.0044745,0.0016971,0.0025141,0.0015282,0.0282284,0.0024751,0.0028269,0.0011797,0.0019517,0.0043940,0.0025775,0.0079994,0.0105778,0.0046039,0.0149403,0.0019881,0.0011643,0.0007173,0.0012940,0.0014780,0.0074674,0.0021641,0.0014908,0.0014879,0.0018338,0.0013181,0.0021599,0.0022305,0.0024509,0.0026484,0.0025183,0.0025246,0.0101522,0.0018616,0.0029750,0.0040885,0.0040411,0.0028809,0.0021746,0.0019144,0.0032704,0.0045444,0.0089093
"327","Nonmetallic mineral products",0.0037735,0.0021834,0.0079835,0.0089518,0.0048024,0.0039802,0.0563303,0.0160035,1.1661578,0.0154173,0.0087109,0.0127225,0.0090093,0.0232680,0.0237950,0.0063935,0.0118590,0.0114556,0.0119627,0.0162921,0.0060925,0.0064334,0.0037819,0.0057122,0.0084195,0.0133918,0.0012060,0.0032693,0.0017930,0.0011513,0.0017681,0.0022175,0.0031738,0.0024785,0.0021462,0.0010823,0.0019770,0.0029544,0.0027126,0.0024912,0.0017980,0.0055132,0.0080658,0.0019069,0.0011684,0.0006314,0.0013204,0.0015539,0.0042001,0.0014582,0.0011102,0.0017654,0.0030411,0.0020508,0.0024885,0.0044528,0.0030347,0.0066218,0.0043946,0.0037895,0.0042210,0.0014824,0.0023639,0.0029657,0.0050824,0.0036612,0.0024782,0.0029880,0.0021780,0.0030980,0.0137722
