"Industry-by-Industry Total Requirements, After Redefinitions - Summary"
"2017, (in producers' prices)" 
"Bureau of Economic Analysis" 
""
"","Industries/Industries","111CA","113FF","211","212","213","22","23","321","327","331","332","333","334","335","3361MV","3364OT","337","339","311FT","313TT","315AL","322","323","324","325","326","42","441","445","452","4A0","481","482","483","484","485","486","487OS","493","511","512","513","514","521CI","523","524","525","HS","ORE","532RL","5411","5415","5412OP","55","561","562","61","621","622","623","624","711AS","713","721","722","81","GFGD","GFGN","GFE","GSLG","GSLE"
"","Industry Description","Farms","Forestry, fishing, and related activities","Oil and gas extraction","Mining, except oil and gas","Support activities for mining","Utilities","Construction","Wood products","Nonmetallic mineral products","Primary metals","Fabricated metal products","Machinery","Computer and electronic products","Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts","Other transportation equipment","Furniture and related products","Miscellaneous manufacturing","Food and beverage and tobacco products","Textile mills and textile product mills","Apparel and leather and allied products","Paper products","Printing and related support activities","Petroleum and coal products","Chemical products","Plastics and rubber products","Wholesale trade","Motor vehicle and parts dealers","Food and beverage stores","General merchandise stores","Other retail","Air transportation","Rail transportation","Water transportation","Truck transportation","Transit and ground passenger transportation","Pipeline transportation","Other transportation and support activities","Warehousing and storage","Publishing industries, except internet (includes software)","Motion picture and sound recording industries","Broadcasting and telecommunications","Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments","Insurance carriers and related activities","Funds, trusts, and other financial vehicles","Housing","Other real estate","Rental and leasing services and lessors of intangible assets","Legal services","Computer systems design and related services","Miscellaneous professional, scientific, and technical services","Management of companies and enterprises","Administrative and support services","Waste management and remediation services","Educational services","Ambulatory health care services","Hospitals","Nursing and residential care facilities","Social assistance","Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries","Accommodation","Food services and drinking places","Other services, except government","Federal general government (defense)","Federal general government (nondefense)","Federal government enterprises","State and local general government","State and local government enterprises"
"111CA","Farms",1.2378833,0.0376031,0.0010340,0.0022862,0.0013597,0.0008962,0.0031954,0.0205463,0.0026834,0.0020688,0.0015841,0.0016312,0.0003596,0.0014581,0.0027171,0.0011452,0.0063020,0.0047931,0.3482291,0.0618098,0.0223862,0.0127321,0.0062351,0.0016061,0.0198451,0.0089728,0.0013714,0.0032411,0.0035544,0.0016744,0.0015699,0.0024683,0.0013717,0.0052250,0.0012233,0.0008846,0.0002786,0.0024290,0.0011936,0.0008747,0.0008329,0.0009145,0.0013266,0.0008237,0.0009173,0.0006520,0.0009626,0.0002586,0.0021247,0.0008054,0.0008092,0.0006685,0.0028238,0.0010447,0.0027297,0.0014653,0.0080923,0.0018136,0.0049524,0.0118342,0.0169991,0.0020192,0.0158403,0.0106370,0.0252520,0.0023396,0.0019287,-0.0005944,0.0032545,0.0122042,0.0014459
"113FF","Forestry, fishing, and related activities",0.0727910,1.1467689,0.0004158,0.0020007,0.0007597,0.0005031,0.0047151,0.1382124,0.0018537,0.0018171,0.0012391,0.0015261,0.0003628,0.0014521,0.0027013,0.0009118,0.0153260,0.0039969,0.0326583,0.0051246,0.0092134,0.0441780,0.0054769,0.0006172,0.0031956,0.0110562,0.0008974,0.0007564,0.0049675,0.0005814,0.0008534,0.0006548,0.0043915,0.0010044,0.0007255,0.0010476,0.0002028,0.0014715,0.0011188,0.0006750,0.0004322,0.0006877,0.0012329,0.0004306,0.0004968,0.0003137,0.0004807,0.0002655,0.0016333,0.0006427,0.0004221,0.0002980,0.0009041,0.0004891,0.0009199,0.0007928,0.0014522,0.0007387,0.0011246,0.0019067,0.0029914,0.0004964,0.0032484,0.0040377,0.0067592,0.0010707,0.0005216,0.0002433,0.0010598,0.0032744,0.0012159
"211","Oil and gas extraction",0.0240564,0.0117360,1.1035025,0.0342387,0.0160534,0.0867461,0.0227996,0.0173438,0.0160541,0.0208542,0.0110887,0.0100830,0.0020238,0.0133792,0.0109274,0.0053730,0.0130045,0.0100922,0.0170166,0.0183964,0.0078332,0.0203883,0.0197278,0.6152659,0.0303402,0.0225833,0.0069243,0.0080381,0.0093228,0.0062636,0.0076248,0.0617339,0.0497433,0.0452003,0.0548694,0.0200567,0.0034748,0.0421878,0.0152364,0.0038982,0.0031813,0.0042139,0.0054545,0.0071532,0.0094292,0.0024871,0.0101039,0.0014880,0.0158278,0.0059884,0.0032707,0.0026952,0.0048234,0.0058367,0.0073541,0.0157958,0.0069300,0.0053363,0.0087853,0.0083078,0.0087577,0.0042440,0.0102196,0.0098084,0.0089562,0.0071518,0.0140219,0.0024707,0.0323717,0.0275737,0.0987929
"212","Mining, except oil and gas",0.0096982,0.0016457,0.0036974,1.0751465,0.0033193,0.0229898,0.0167614,0.0043393,0.0791133,0.0714243,0.0180782,0.0105749,0.0014096,0.0131424,0.0127099,0.0058108,0.0075311,0.0067657,0.0070462,0.0073556,0.0024393,0.0131072,0.0040952,0.0088341,0.0118692,0.0083350,0.0013143,0.0017082,0.0021495,0.0015583,0.0018102,0.0016014,0.0045751,0.0026683,0.0022463,0.0013292,0.0009982,0.0025681,0.0042009,0.0010171,0.0009132,0.0020501,0.0029647,0.0008440,0.0010910,0.0006257,0.0012250,0.0007637,0.0041048,0.0010910,0.0007712,0.0005900,0.0019671,0.0013727,0.0020219,0.0035205,0.0025634,0.0015165,0.0019204,0.0020386,0.0024520,0.0026605,0.0053498,0.0024207,0.0026204,0.0028480,0.0015927,0.0023213,0.0016149,0.0028396,0.0224518
"213","Support activities for mining",0.0012621,0.0005667,0.0483324,0.0171549,1.0095230,0.0041703,0.0014978,0.0009793,0.0020296,0.0021484,0.0012044,0.0009691,0.0001681,0.0011069,0.0011243,0.0005556,0.0009102,0.0007157,0.0009788,0.0010134,0.0004478,0.0012917,0.0010510,0.0270723,0.0016077,0.0012996,0.0003482,0.0004095,0.0004651,0.0003164,0.0003916,0.0027472,0.0023060,0.0021719,0.0024814,0.0009313,0.0002252,0.0019375,0.0007881,0.0002186,0.0001655,0.0002979,0.0003281,0.0003396,0.0004468,0.0001284,0.0004785,0.0000880,0.0007977,0.0003063,0.0001665,0.0001472,0.0002914,0.0003038,0.0003863,0.0008868,0.0003670,0.0002761,0.0004399,0.0004188,0.0004791,0.0002398,0.0005593,0.0005043,0.0004701,0.0004037,0.0006960,0.0001611,0.0014964,0.0012832,0.0047682
"22","Utilities",0.0265823,0.0073367,0.0185462,0.0358554,0.0073095,1.0521940,0.0134382,0.0283218,0.0340577,0.0436313,0.0265607,0.0183065,0.0054973,0.0175662,0.0216030,0.0110592,0.0222350,0.0152831,0.0248239,0.0349835,0.0170587,0.0442925,0.0257961,0.0242500,0.0303367,0.0361233,0.0157208,0.0242842,0.0443667,0.0307328,0.0278904,0.0065072,0.0082186,0.0131288,0.0154223,0.0082516,0.0137486,0.0129542,0.0906317,0.0074061,0.0074818,0.0112843,0.0110547,0.0081306,0.0096939,0.0072360,0.0161372,0.0015728,0.0777567,0.0087500,0.0089688,0.0038372,0.0097671,0.0197292,0.0101478,0.0136853,0.0250940,0.0107222,0.0179912,0.0218054,0.0173372,0.0108371,0.0240759,0.0354151,0.0311149,0.0142488,0.0059247,0.0043001,0.0131083,0.0138461,0.0148529
"23","Construction",0.0153668,0.0039052,0.0097803,0.0304880,0.0166905,0.0271685,1.0058083,0.0097510,0.0115520,0.0137369,0.0088936,0.0068706,0.0017901,0.0062293,0.0079514,0.0041522,0.0081550,0.0055796,0.0105559,0.0097950,0.0062403,0.0135145,0.0091502,0.0236495,0.0091092,0.0105358,0.0077043,0.0108992,0.0133399,0.0107473,0.0135247,0.0068177,0.0349265,0.0086936,0.0103742,0.0091159,0.0157572,0.0161178,0.0245420,0.0034401,0.0041660,0.0074959,0.0053423,0.0090226,0.0091696,0.0056940,0.0101618,0.0390668,0.0620216,0.0055330,0.0063968,0.0022261,0.0061050,0.0074790,0.0051906,0.0060055,0.0094689,0.0057210,0.0075365,0.0110920,0.0114970,0.0067222,0.0113174,0.0126340,0.0118514,0.0121347,0.0174636,0.0070787,0.0113059,0.0189763,0.1380785
"321","Wood products",0.0044452,0.0021400,0.0014105,0.0047242,0.0031484,0.0021338,0.0365472,1.2357347,0.0070358,0.0069464,0.0040265,0.0062990,0.0018066,0.0053917,0.0124077,0.0036206,0.1167920,0.0119466,0.0054491,0.0041825,0.0022670,0.0464239,0.0059150,0.0020626,0.0031071,0.0118539,0.0037191,0.0026763,0.0056275,0.0021382,0.0036617,0.0010186,0.0369378,0.0020834,0.0026643,0.0019513,0.0009325,0.0031898,0.0055388,0.0016009,0.0016664,0.0030373,0.0073577,0.0013191,0.0014623,0.0010205,0.0014219,0.0018004,0.0098651,0.0024809,0.0013076,0.0007271,0.0019513,0.0014271,0.0026918,0.0021523,0.0019929,0.0018491,0.0022868,0.0023780,0.0089274,0.0013314,0.0031083,0.0044715,0.0035536,0.0028872,0.0016380,0.0009009,0.0033479,0.0043922,0.0070788
"327","Nonmetallic mineral products",0.0032700,0.0015614,0.0058345,0.0093586,0.0087864,0.0030784,0.0470312,0.0132273,1.1252840,0.0174509,0.0095022,0.0115698,0.0014089,0.0177602,0.0211969,0.0045080,0.0102450,0.0084629,0.0098574,0.0083270,0.0039522,0.0074830,0.0030861,0.0083919,0.0063845,0.0124513,0.0016461,0.0033015,0.0022898,0.0016411,0.0027463,0.0016755,0.0037677,0.0026449,0.0025613,0.0016215,0.0011712,0.0028473,0.0048606,0.0010489,0.0009184,0.0057642,0.0049457,0.0012772,0.0015021,0.0008375,0.0015077,0.0019914,0.0045907,0.0023515,0.0009767,0.0009675,0.0038420,0.0015029,0.0030067,0.0043027,0.0017285,0.0034590,0.0038304,0.0029023,0.0039477,0.0011497,0.0026823,0.0025303,0.0044428,0.0035603,0.0022155,0.0015231,0.0019485,0.0031080,0.0155763
