"Industry-by-Industry Total Requirements, After Redefinitions - Summary"
"1998, (in producers' prices)" 
"Bureau of Economic Analysis" 
""
"","Industries/Industries","111CA","113FF","211","212","213","22","23","321","327","331","332","333","334","335","3361MV","3364OT","337","339","311FT","313TT","315AL","322","323","324","325","326","42","441","445","452","4A0","481","482","483","484","485","486","487OS","493","511","512","513","514","521CI","523","524","525","HS","ORE","532RL","5411","5415","5412OP","55","561","562","61","621","622","623","624","711AS","713","721","722","81","GFGD","GFGN","GFE","GSLG","GSLE"
"","Industry Description","Farms","Forestry, fishing, and related activities","Oil and gas extraction","Mining, except oil and gas","Support activities for mining","Utilities","Construction","Wood products","Nonmetallic mineral products","Primary metals","Fabricated metal products","Machinery","Computer and electronic products","Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts","Other transportation equipment","Furniture and related products","Miscellaneous manufacturing","Food and beverage and tobacco products","Textile mills and textile product mills","Apparel and leather and allied products","Paper products","Printing and related support activities","Petroleum and coal products","Chemical products","Plastics and rubber products","Wholesale trade","Motor vehicle and parts dealers","Food and beverage stores","General merchandise stores","Other retail","Air transportation","Rail transportation","Water transportation","Truck transportation","Transit and ground passenger transportation","Pipeline transportation","Other transportation and support activities","Warehousing and storage","Publishing industries, except internet (includes software)","Motion picture and sound recording industries","Broadcasting and telecommunications","Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments","Insurance carriers and related activities","Funds, trusts, and other financial vehicles","Housing","Other real estate","Rental and leasing services and lessors of intangible assets","Legal services","Computer systems design and related services","Miscellaneous professional, scientific, and technical services","Management of companies and enterprises","Administrative and support services","Waste management and remediation services","Educational services","Ambulatory health care services","Hospitals","Nursing and residential care facilities","Social assistance","Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries","Accommodation","Food services and drinking places","Other services, except government","Federal general government (defense)","Federal general government (nondefense)","Federal government enterprises","State and local general government","State and local government enterprises"
"111CA","Farms",1.2030300,0.0636553,0.0007903,0.0024666,0.0014062,0.0008236,0.0046196,0.0401489,0.0037052,0.0020995,0.0018699,0.0021926,0.0018930,0.0023859,0.0037305,0.0020622,0.0103409,0.0088293,0.3278070,0.0756300,0.0281091,0.0123629,0.0075738,0.0008421,0.0201314,0.0092099,0.0009624,0.0055466,0.0033226,0.0008569,0.0013742,0.0017876,0.0013790,0.0028805,0.0010802,0.0007697,0.0017948,0.0016056,0.0003164,0.0019503,0.0016787,0.0006262,0.0010738,0.0009229,0.0004754,0.0004682,0.0006878,0.0002984,0.0024952,0.0009196,0.0012529,0.0012464,0.0017420,0.0011396,0.0036726,0.0016430,0.0225520,0.0022439,0.0058209,0.0147833,0.0176665,0.0029798,0.0113131,0.0117306,0.0317138,0.0021863,0.0018122,-0.0139957,0.0044858,0.0138378,0.0014189
"113FF","Forestry, fishing, and related activities",0.0785666,1.2677200,0.0006558,0.0031270,0.0013356,0.0006746,0.0107007,0.2290590,0.0043833,0.0025932,0.0020222,0.0030853,0.0023358,0.0029990,0.0042285,0.0022313,0.0291419,0.0080834,0.0363558,0.0072780,0.0045246,0.0431875,0.0107288,0.0005942,0.0042899,0.0151603,0.0009439,0.0013595,0.0047115,0.0006527,0.0009504,0.0010214,0.0044020,0.0012411,0.0009554,0.0009006,0.0015606,0.0014304,0.0003696,0.0030035,0.0026274,0.0011167,0.0022025,0.0007926,0.0007528,0.0003406,0.0007113,0.0003180,0.0023508,0.0008429,0.0008794,0.0007733,0.0010198,0.0007771,0.0012467,0.0010638,0.0036715,0.0012938,0.0016232,0.0026523,0.0043844,0.0010648,0.0042677,0.0050862,0.0102766,0.0013064,0.0008843,-0.0000548,0.0019357,0.0044310,0.0021297
"211","Oil and gas extraction",0.0163918,0.0111877,1.1124500,0.0211749,0.0126506,0.1146820,0.0157260,0.0113370,0.0137789,0.0195114,0.0103342,0.0093066,0.0070270,0.0141016,0.0084264,0.0075552,0.0093918,0.0097580,0.0118614,0.0156811,0.0098699,0.0131557,0.0172695,0.5491310,0.0335286,0.0173518,0.0032029,0.0065268,0.0058688,0.0046140,0.0046015,0.0363129,0.0246309,0.0159662,0.0179664,0.0237700,0.0170327,0.0202202,0.0031272,0.0046199,0.0046796,0.0030461,0.0031846,0.0048129,0.0051751,0.0011837,0.0064380,0.0008991,0.0146491,0.0037310,0.0034062,0.0036215,0.0034850,0.0050465,0.0071613,0.0170963,0.0064628,0.0051736,0.0073344,0.0070839,0.0053892,0.0045838,0.0070333,0.0075663,0.0085437,0.0036994,0.0116711,0.0025796,0.0051513,0.0169134,0.0741699
"212","Mining, except oil and gas",0.0123424,0.0030599,0.0037462,1.0627400,0.0037355,0.0393255,0.0177446,0.0060194,0.0774641,0.0799450,0.0209943,0.0128126,0.0070478,0.0197568,0.0144111,0.0103434,0.0094028,0.0090635,0.0100587,0.0098005,0.0049633,0.0158873,0.0066789,0.0044693,0.0165731,0.0097457,0.0010503,0.0021555,0.0020397,0.0016495,0.0016318,0.0018253,0.0043366,0.0054410,0.0017027,0.0013085,0.0046177,0.0017120,0.0012899,0.0025392,0.0025943,0.0020865,0.0016677,0.0011258,0.0014041,0.0004236,0.0016500,0.0005040,0.0052360,0.0011793,0.0012377,0.0012359,0.0016655,0.0018237,0.0017756,0.0028482,0.0032187,0.0025093,0.0033586,0.0029709,0.0025558,0.0019950,0.0045899,0.0029862,0.0041255,0.0019879,0.0020635,0.0051089,0.0014259,0.0031845,0.0213445
"213","Support activities for mining",0.0007068,0.0003954,0.0342054,0.0170981,1.0094900,0.0041592,0.0007839,0.0004552,0.0016867,0.0019051,0.0006809,0.0005134,0.0003427,0.0007752,0.0005143,0.0004186,0.0004530,0.0004558,0.0005357,0.0006459,0.0003881,0.0006691,0.0006459,0.0169277,0.0013034,0.0007005,0.0001167,0.0002381,0.0002145,0.0001700,0.0001696,0.0011457,0.0008295,0.0005914,0.0005811,0.0007523,0.0006048,0.0006501,0.0001178,0.0001877,0.0001883,0.0001314,0.0001277,0.0001675,0.0001834,0.0000439,0.0002261,0.0000362,0.0005370,0.0001353,0.0001260,0.0001338,0.0001467,0.0001898,0.0002510,0.0005750,0.0002526,0.0002012,0.0002812,0.0002674,0.0002099,0.0001748,0.0002928,0.0002827,0.0003323,0.0001482,0.0003957,0.0001637,0.0001832,0.0005728,0.0026274
"22","Utilities",0.0328592,0.0119009,0.0166214,0.0384084,0.0073091,1.0512900,0.0144997,0.0246581,0.0402271,0.0479452,0.0278095,0.0200323,0.0191445,0.0246978,0.0212325,0.0202796,0.0216637,0.0193390,0.0287318,0.0306364,0.0274874,0.0388780,0.0236681,0.0174503,0.0374095,0.0334477,0.0096280,0.0253820,0.0324614,0.0260072,0.0209179,0.0074874,0.0078698,0.0641848,0.0088944,0.0083330,0.0576162,0.0106855,0.0183480,0.0104503,0.0160492,0.0103326,0.0082266,0.0082691,0.0123511,0.0033479,0.0208651,0.0022850,0.0827804,0.0107565,0.0110551,0.0090388,0.0095779,0.0207073,0.0119429,0.0194890,0.0274696,0.0121712,0.0146659,0.0229319,0.0146236,0.0142582,0.0238527,0.0324750,0.0373370,0.0103810,0.0067836,0.0055351,0.0116986,0.0145881,0.0143341
"23","Construction",0.0139416,0.0062372,0.0103442,0.0302278,0.0162673,0.0132268,1.0058100,0.0123413,0.0168191,0.0186874,0.0124075,0.0096093,0.0101344,0.0109009,0.0091368,0.0094745,0.0098439,0.0098649,0.0123871,0.0115249,0.0105498,0.0158230,0.0111157,0.0076482,0.0140409,0.0136284,0.0040846,0.0097823,0.0069144,0.0067807,0.0074310,0.0057853,0.0173802,0.0110263,0.0067681,0.0053989,0.0282123,0.0089471,0.0040631,0.0050704,0.0069267,0.0105824,0.0033340,0.0174724,0.0091600,0.0020936,0.0106097,0.0193585,0.0442706,0.0061786,0.0064906,0.0040318,0.0054302,0.0061274,0.0050519,0.0053287,0.0076091,0.0059617,0.0060908,0.0101943,0.0092031,0.0077833,0.0117302,0.0100996,0.0107876,0.0103382,0.0217800,0.0161278,0.0102032,0.0155451,0.1117050
"321","Wood products",0.0055756,0.0030197,0.0020477,0.0071727,0.0047360,0.0019789,0.0565922,1.3168900,0.0152023,0.0082200,0.0061657,0.0106466,0.0078667,0.0091174,0.0151153,0.0066980,0.1544500,0.0244346,0.0072157,0.0062496,0.0046861,0.0580702,0.0142489,0.0015974,0.0049062,0.0199616,0.0029265,0.0035981,0.0045885,0.0020406,0.0029383,0.0015134,0.0234937,0.0028471,0.0026971,0.0018914,0.0046530,0.0028721,0.0012260,0.0076443,0.0116343,0.0042574,0.0099698,0.0021823,0.0018292,0.0006783,0.0017649,0.0013121,0.0095749,0.0027832,0.0019697,0.0015537,0.0020608,0.0017111,0.0023170,0.0023543,0.0026411,0.0029272,0.0028067,0.0029033,0.0117164,0.0021992,0.0041889,0.0043514,0.0049459,0.0030045,0.0024887,0.0022519,0.0041773,0.0049718,0.0093497
"327","Nonmetallic mineral products",0.0043260,0.0029244,0.0061743,0.0101439,0.0080224,0.0028717,0.0627535,0.0218526,1.1788100,0.0195419,0.0119722,0.0156110,0.0106426,0.0368813,0.0247300,0.0090200,0.0161940,0.0162126,0.0135526,0.0219861,0.0087966,0.0079709,0.0051286,0.0047156,0.0082986,0.0155496,0.0013276,0.0038272,0.0019264,0.0014462,0.0021030,0.0020247,0.0036342,0.0033314,0.0022169,0.0015189,0.0040860,0.0020921,0.0013867,0.0024203,0.0021323,0.0052733,0.0053189,0.0021707,0.0020025,0.0005920,0.0018967,0.0013541,0.0046170,0.0020154,0.0014625,0.0020464,0.0036223,0.0025579,0.0030822,0.0049530,0.0031977,0.0075861,0.0050370,0.0046143,0.0044941,0.0018050,0.0034794,0.0035443,0.0065612,0.0038645,0.0029903,0.0036585,0.0018709,0.0034033,0.0155264
