"Industry-by-Industry Total Requirements, After Redefinitions - Summary"
"2013, (in producers' prices)" 
"Bureau of Economic Analysis" 
""
"","Industries/Industries","111CA","113FF","211","212","213","22","23","321","327","331","332","333","334","335","3361MV","3364OT","337","339","311FT","313TT","315AL","322","323","324","325","326","42","441","445","452","4A0","481","482","483","484","485","486","487OS","493","511","512","513","514","521CI","523","524","525","HS","ORE","532RL","5411","5415","5412OP","55","561","562","61","621","622","623","624","711AS","713","721","722","81","GFGD","GFGN","GFE","GSLG","GSLE"
"","Industry Description","Farms","Forestry, fishing, and related activities","Oil and gas extraction","Mining, except oil and gas","Support activities for mining","Utilities","Construction","Wood products","Nonmetallic mineral products","Primary metals","Fabricated metal products","Machinery","Computer and electronic products","Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts","Other transportation equipment","Furniture and related products","Miscellaneous manufacturing","Food and beverage and tobacco products","Textile mills and textile product mills","Apparel and leather and allied products","Paper products","Printing and related support activities","Petroleum and coal products","Chemical products","Plastics and rubber products","Wholesale trade","Motor vehicle and parts dealers","Food and beverage stores","General merchandise stores","Other retail","Air transportation","Rail transportation","Water transportation","Truck transportation","Transit and ground passenger transportation","Pipeline transportation","Other transportation and support activities","Warehousing and storage","Publishing industries, except internet (includes software)","Motion picture and sound recording industries","Broadcasting and telecommunications","Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments","Insurance carriers and related activities","Funds, trusts, and other financial vehicles","Housing","Other real estate","Rental and leasing services and lessors of intangible assets","Legal services","Computer systems design and related services","Miscellaneous professional, scientific, and technical services","Management of companies and enterprises","Administrative and support services","Waste management and remediation services","Educational services","Ambulatory health care services","Hospitals","Nursing and residential care facilities","Social assistance","Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries","Accommodation","Food services and drinking places","Other services, except government","Federal general government (defense)","Federal general government (nondefense)","Federal government enterprises","State and local general government","State and local government enterprises"
"111CA","Farms",1.1813950,0.0417206,0.0016259,0.0035520,0.0016459,0.0012947,0.0042224,0.0230188,0.0044319,0.0030811,0.0026965,0.0026892,0.0009618,0.0025507,0.0040450,0.0017912,0.0078740,0.0079194,0.3992239,0.0464995,0.0288260,0.0150174,0.0123753,0.0025853,0.0385675,0.0161591,0.0016879,0.0036583,0.0043966,0.0016920,0.0017982,0.0033173,0.0016092,0.0037767,0.0015086,0.0008828,0.0009393,0.0027240,0.0017473,0.0013647,0.0010267,0.0011416,0.0020113,0.0012224,0.0013467,0.0008115,0.0016071,0.0002828,0.0025192,0.0013480,0.0010969,0.0009618,0.0035805,0.0013146,0.0031737,0.0021929,0.0117362,0.0026353,0.0073126,0.0148317,0.0201196,0.0021324,0.0155674,0.0125303,0.0343501,0.0028552,0.0029003,-0.0007567,0.0058272,0.0126344,0.0021281
"113FF","Forestry, fishing, and related activities",0.0620369,1.1360351,0.0004435,0.0018511,0.0006159,0.0004935,0.0045816,0.1395041,0.0021560,0.0018720,0.0013498,0.0017967,0.0005812,0.0014542,0.0031104,0.0010841,0.0165010,0.0046001,0.0315640,0.0042004,0.0091182,0.0333220,0.0050077,0.0006242,0.0046649,0.0143488,0.0008185,0.0006454,0.0048373,0.0005309,0.0007301,0.0007819,0.0029000,0.0007950,0.0006454,0.0007338,0.0005815,0.0015256,0.0011645,0.0007244,0.0004458,0.0006414,0.0015206,0.0004676,0.0005051,0.0003120,0.0005651,0.0002436,0.0015711,0.0007754,0.0004314,0.0003343,0.0008926,0.0004599,0.0008372,0.0008634,0.0015880,0.0007964,0.0012699,0.0019274,0.0030767,0.0004446,0.0027893,0.0041544,0.0074137,0.0010550,0.0005927,0.0003766,0.0013303,0.0029222,0.0012427
"211","Oil and gas extraction",0.0435330,0.0301353,1.1344658,0.0742551,0.0265510,0.1340148,0.0451366,0.0359177,0.0383574,0.0469027,0.0266196,0.0231337,0.0071231,0.0277853,0.0249246,0.0137519,0.0297336,0.0248386,0.0356813,0.0437313,0.0165439,0.0426884,0.0382339,0.7696201,0.0672751,0.0492143,0.0133824,0.0132554,0.0169347,0.0117688,0.0126648,0.1602705,0.0986597,0.1234303,0.1544966,0.0505406,0.0126986,0.0751088,0.0297127,0.0081015,0.0061508,0.0075948,0.0125764,0.0162821,0.0164683,0.0049867,0.0235283,0.0028625,0.0246944,0.0157102,0.0062897,0.0058803,0.0088280,0.0102645,0.0125111,0.0298583,0.0132158,0.0099020,0.0177404,0.0148179,0.0160084,0.0074582,0.0170834,0.0193948,0.0174797,0.0132015,0.0353518,0.0082778,0.0712355,0.0505999,0.1395092
"212","Mining, except oil and gas",0.0092997,0.0027855,0.0053237,1.0754504,0.0031452,0.0280274,0.0181022,0.0062130,0.0922340,0.0993086,0.0277488,0.0172702,0.0035707,0.0206682,0.0192526,0.0094956,0.0115469,0.0121971,0.0094944,0.0114058,0.0033921,0.0181688,0.0058606,0.0087193,0.0168638,0.0118520,0.0017260,0.0019349,0.0028350,0.0020625,0.0021551,0.0031145,0.0055825,0.0040329,0.0033348,0.0015615,0.0028488,0.0034948,0.0062749,0.0014529,0.0011333,0.0024280,0.0033241,0.0011920,0.0015421,0.0007863,0.0020248,0.0008092,0.0046654,0.0018419,0.0010260,0.0008961,0.0022435,0.0016513,0.0024414,0.0051379,0.0031504,0.0020247,0.0028914,0.0026119,0.0032400,0.0027628,0.0063393,0.0033385,0.0035593,0.0036532,0.0022943,0.0052708,0.0033266,0.0032339,0.0296356
"213","Support activities for mining",0.0017699,0.0011487,0.0402017,0.0235247,1.0091112,0.0053141,0.0021685,0.0015406,0.0033245,0.0037896,0.0019388,0.0015250,0.0004135,0.0016908,0.0016918,0.0009285,0.0015075,0.0013022,0.0015623,0.0018754,0.0007064,0.0020565,0.0015721,0.0273879,0.0028125,0.0021565,0.0005302,0.0005318,0.0006771,0.0004744,0.0005153,0.0057472,0.0036423,0.0045713,0.0055594,0.0018371,0.0006232,0.0027727,0.0012317,0.0003482,0.0002519,0.0003872,0.0005587,0.0006134,0.0006309,0.0002010,0.0008919,0.0001269,0.0010010,0.0006256,0.0002542,0.0002481,0.0004091,0.0004201,0.0005225,0.0013053,0.0005524,0.0004093,0.0007111,0.0005976,0.0006848,0.0003289,0.0007598,0.0007856,0.0007242,0.0005885,0.0013519,0.0004235,0.0026511,0.0018802,0.0056041
"22","Utilities",0.0253656,0.0100871,0.0250496,0.0442763,0.0067571,1.0573690,0.0153770,0.0325394,0.0456237,0.0525699,0.0315615,0.0218416,0.0099351,0.0224791,0.0263170,0.0152812,0.0270237,0.0218681,0.0283089,0.0461154,0.0160798,0.0497733,0.0297139,0.0303693,0.0394952,0.0414234,0.0171179,0.0239324,0.0493073,0.0345648,0.0283485,0.0113675,0.0105147,0.0150959,0.0164230,0.0075881,0.0286308,0.0143552,0.1138746,0.0086975,0.0079923,0.0112013,0.0136111,0.0092226,0.0107064,0.0071877,0.0235855,0.0014627,0.0679800,0.0120986,0.0093557,0.0045082,0.0100737,0.0200134,0.0101249,0.0153290,0.0251631,0.0112791,0.0204121,0.0222855,0.0182258,0.0106350,0.0253252,0.0446186,0.0348062,0.0145981,0.0081949,0.0066752,0.0234180,0.0144717,0.0177291
"23","Construction",0.0150787,0.0045098,0.0088248,0.0282094,0.0139750,0.0250139,1.0059273,0.0092433,0.0128571,0.0146529,0.0097917,0.0074074,0.0030748,0.0070757,0.0083139,0.0051810,0.0091671,0.0073151,0.0110911,0.0105909,0.0052621,0.0135323,0.0100433,0.0185304,0.0103760,0.0109391,0.0078419,0.0093613,0.0131420,0.0104821,0.0128670,0.0096866,0.0326108,0.0102797,0.0105429,0.0084631,0.0287438,0.0163900,0.0275800,0.0042281,0.0045314,0.0079536,0.0063248,0.0107236,0.0103289,0.0067779,0.0129684,0.0386265,0.0709243,0.0072473,0.0074619,0.0026193,0.0065892,0.0071240,0.0051018,0.0065733,0.0106298,0.0064147,0.0082366,0.0121492,0.0128133,0.0070522,0.0115169,0.0136693,0.0120788,0.0122310,0.0152126,0.0087103,0.0234290,0.0193752,0.1475808
"321","Wood products",0.0034625,0.0027853,0.0013419,0.0039629,0.0023262,0.0019117,0.0352683,1.2702089,0.0084616,0.0069411,0.0044352,0.0071041,0.0025402,0.0050072,0.0142270,0.0040814,0.1274670,0.0133234,0.0050874,0.0041994,0.0021673,0.0495847,0.0065138,0.0017881,0.0033752,0.0120363,0.0032750,0.0020340,0.0048458,0.0019492,0.0030862,0.0013894,0.0238069,0.0018972,0.0023147,0.0016348,0.0022735,0.0034489,0.0056141,0.0019639,0.0018970,0.0027784,0.0095443,0.0014504,0.0015510,0.0010733,0.0016835,0.0016976,0.0099740,0.0034826,0.0013989,0.0008133,0.0019911,0.0013351,0.0024038,0.0024113,0.0020009,0.0019180,0.0024064,0.0023652,0.0099597,0.0012438,0.0031836,0.0044387,0.0035561,0.0028258,0.0016243,0.0013360,0.0037323,0.0040755,0.0070384
"327","Nonmetallic mineral products",0.0031890,0.0018520,0.0059347,0.0091976,0.0064170,0.0030461,0.0452028,0.0146465,1.1243349,0.0206489,0.0106321,0.0145426,0.0028039,0.0209168,0.0244645,0.0055885,0.0121769,0.0104645,0.0109114,0.0084748,0.0036163,0.0084324,0.0034485,0.0065802,0.0071151,0.0128815,0.0016299,0.0028323,0.0022253,0.0015755,0.0023754,0.0024183,0.0037018,0.0028575,0.0028367,0.0014187,0.0024664,0.0030805,0.0050489,0.0012301,0.0009293,0.0052508,0.0057089,0.0014398,0.0016035,0.0008549,0.0018363,0.0018535,0.0046181,0.0031752,0.0010438,0.0011515,0.0036604,0.0014332,0.0031179,0.0043661,0.0019065,0.0034613,0.0041508,0.0029249,0.0040093,0.0010359,0.0028208,0.0025886,0.0044888,0.0038902,0.0022743,0.0021417,0.0032446,0.0027992,0.0145103
