"Industry-by-Industry Total Requirements, After Redefinitions - Summary"
"2014, (in producers' prices)" 
"Bureau of Economic Analysis" 
""
"","Industries/Industries","111CA","113FF","211","212","213","22","23","321","327","331","332","333","334","335","3361MV","3364OT","337","339","311FT","313TT","315AL","322","323","324","325","326","42","441","445","452","4A0","481","482","483","484","485","486","487OS","493","511","512","513","514","521CI","523","524","525","HS","ORE","532RL","5411","5415","5412OP","55","561","562","61","621","622","623","624","711AS","713","721","722","81","GFGD","GFGN","GFE","GSLG","GSLE"
"","Industry Description","Farms","Forestry, fishing, and related activities","Oil and gas extraction","Mining, except oil and gas","Support activities for mining","Utilities","Construction","Wood products","Nonmetallic mineral products","Primary metals","Fabricated metal products","Machinery","Computer and electronic products","Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts","Other transportation equipment","Furniture and related products","Miscellaneous manufacturing","Food and beverage and tobacco products","Textile mills and textile product mills","Apparel and leather and allied products","Paper products","Printing and related support activities","Petroleum and coal products","Chemical products","Plastics and rubber products","Wholesale trade","Motor vehicle and parts dealers","Food and beverage stores","General merchandise stores","Other retail","Air transportation","Rail transportation","Water transportation","Truck transportation","Transit and ground passenger transportation","Pipeline transportation","Other transportation and support activities","Warehousing and storage","Publishing industries, except internet (includes software)","Motion picture and sound recording industries","Broadcasting and telecommunications","Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments","Insurance carriers and related activities","Funds, trusts, and other financial vehicles","Housing","Other real estate","Rental and leasing services and lessors of intangible assets","Legal services","Computer systems design and related services","Miscellaneous professional, scientific, and technical services","Management of companies and enterprises","Administrative and support services","Waste management and remediation services","Educational services","Ambulatory health care services","Hospitals","Nursing and residential care facilities","Social assistance","Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries","Accommodation","Food services and drinking places","Other services, except government","Federal general government (defense)","Federal general government (nondefense)","Federal government enterprises","State and local general government","State and local government enterprises"
"111CA","Farms",1.2138170,0.0438991,0.0012951,0.0032308,0.0016693,0.0012368,0.0038957,0.0237174,0.0038900,0.0028622,0.0024126,0.0024820,0.0007642,0.0023358,0.0040009,0.0017019,0.0086419,0.0073198,0.4133086,0.0776909,0.0339104,0.0144750,0.0094049,0.0015108,0.0286345,0.0134651,0.0016494,0.0033858,0.0041434,0.0020494,0.0018027,0.0026846,0.0014799,0.0046492,0.0013535,0.0008882,0.0008041,0.0026814,0.0016352,0.0012609,0.0011122,0.0012980,0.0018729,0.0010702,0.0015335,0.0005964,0.0015347,0.0002682,0.0025136,0.0013755,0.0010842,0.0009901,0.0033655,0.0012928,0.0031017,0.0020205,0.0121313,0.0023156,0.0076482,0.0157411,0.0214921,0.0023536,0.0154274,0.0149230,0.0367953,0.0029866,0.0029574,-0.0005729,0.0054895,0.0132884,0.0018084
"113FF","Forestry, fishing, and related activities",0.0713146,1.1598876,0.0004794,0.0023486,0.0007699,0.0005820,0.0050915,0.1569913,0.0022936,0.0021128,0.0015160,0.0019931,0.0005830,0.0017389,0.0034537,0.0011846,0.0177050,0.0048119,0.0361234,0.0063661,0.0125318,0.0394570,0.0053694,0.0005490,0.0042415,0.0135008,0.0009396,0.0007624,0.0057550,0.0006308,0.0008611,0.0007644,0.0034403,0.0009889,0.0007538,0.0009827,0.0006250,0.0017476,0.0013173,0.0008121,0.0005333,0.0008202,0.0015682,0.0004669,0.0006526,0.0002654,0.0006184,0.0002647,0.0017931,0.0009109,0.0004913,0.0003899,0.0009949,0.0005297,0.0009979,0.0009476,0.0017877,0.0008554,0.0014490,0.0022570,0.0034052,0.0005139,0.0031105,0.0051693,0.0085687,0.0012116,0.0006487,0.0003618,0.0014629,0.0032718,0.0013293
"211","Oil and gas extraction",0.0437575,0.0308948,1.1678721,0.0743097,0.0274763,0.1519461,0.0419419,0.0369497,0.0387023,0.0460900,0.0261953,0.0245458,0.0065081,0.0319695,0.0257088,0.0139371,0.0294636,0.0245531,0.0348820,0.0448794,0.0160155,0.0433415,0.0486105,0.8059336,0.0800508,0.0546320,0.0132229,0.0144013,0.0181391,0.0124306,0.0135937,0.1666908,0.0915228,0.1135856,0.1424846,0.0480728,0.0137246,0.0716078,0.0321193,0.0083720,0.0065427,0.0085737,0.0114410,0.0119842,0.0171416,0.0037841,0.0201916,0.0025239,0.0271744,0.0151114,0.0064649,0.0058404,0.0089934,0.0108369,0.0133160,0.0321789,0.0129817,0.0102525,0.0180351,0.0152543,0.0158244,0.0073685,0.0162969,0.0210005,0.0177381,0.0131060,0.0291666,0.0068224,0.0667749,0.0470237,0.1451536
"212","Mining, except oil and gas",0.0099972,0.0028167,0.0050715,1.0748352,0.0035457,0.0288071,0.0182345,0.0063031,0.1034272,0.0939988,0.0266798,0.0163026,0.0030218,0.0211021,0.0185348,0.0089373,0.0108457,0.0113757,0.0094656,0.0104588,0.0030961,0.0180156,0.0055931,0.0074642,0.0156628,0.0117363,0.0016975,0.0020934,0.0029295,0.0020972,0.0022379,0.0027118,0.0055314,0.0037161,0.0030455,0.0015779,0.0028787,0.0033904,0.0063088,0.0014325,0.0011507,0.0026992,0.0035205,0.0010197,0.0016232,0.0006157,0.0018218,0.0008106,0.0049631,0.0018978,0.0010261,0.0009054,0.0022587,0.0017160,0.0023682,0.0048822,0.0029934,0.0019540,0.0027949,0.0026007,0.0032232,0.0025213,0.0058905,0.0034756,0.0035509,0.0033942,0.0020902,0.0040690,0.0030087,0.0034126,0.0265939
"213","Support activities for mining",0.0017746,0.0011612,0.0407220,0.0232655,1.0084622,0.0058749,0.0020487,0.0015707,0.0035213,0.0036170,0.0019190,0.0015617,0.0003732,0.0018730,0.0017162,0.0009337,0.0014719,0.0012708,0.0015200,0.0018677,0.0006728,0.0020583,0.0019113,0.0281894,0.0031954,0.0023305,0.0005177,0.0005708,0.0007131,0.0004926,0.0005446,0.0058734,0.0033427,0.0041701,0.0050531,0.0017283,0.0006651,0.0026109,0.0013025,0.0003561,0.0002638,0.0004364,0.0005156,0.0004505,0.0006499,0.0001513,0.0007587,0.0001140,0.0010833,0.0006016,0.0002575,0.0002466,0.0004094,0.0004370,0.0005441,0.0013659,0.0005342,0.0004151,0.0007097,0.0006056,0.0006696,0.0003170,0.0007143,0.0008371,0.0007247,0.0005735,0.0011139,0.0003417,0.0024515,0.0017328,0.0056590
"22","Utilities",0.0308052,0.0117167,0.0251251,0.0535777,0.0080565,1.0641914,0.0164134,0.0345274,0.0480790,0.0553579,0.0339176,0.0231681,0.0096170,0.0254441,0.0277461,0.0158401,0.0275890,0.0217489,0.0305615,0.0458931,0.0159630,0.0540848,0.0305366,0.0282043,0.0401842,0.0439487,0.0182939,0.0275811,0.0534512,0.0365548,0.0311640,0.0109420,0.0107912,0.0157400,0.0167146,0.0082263,0.0287718,0.0153385,0.1189214,0.0093620,0.0086161,0.0129573,0.0132258,0.0085498,0.0125002,0.0063315,0.0219418,0.0015019,0.0774731,0.0134309,0.0103842,0.0050068,0.0109593,0.0222223,0.0110045,0.0155278,0.0256714,0.0123237,0.0216376,0.0240701,0.0192527,0.0111190,0.0257021,0.0489482,0.0367109,0.0155842,0.0080151,0.0063723,0.0231173,0.0155686,0.0176432
"23","Construction",0.0167286,0.0049169,0.0128892,0.0315781,0.0176117,0.0264125,1.0060815,0.0094596,0.0133361,0.0144881,0.0097499,0.0074191,0.0027305,0.0075960,0.0081973,0.0048079,0.0089597,0.0069079,0.0114799,0.0105629,0.0051045,0.0134266,0.0096168,0.0199054,0.0103010,0.0111614,0.0078947,0.0101028,0.0135726,0.0105453,0.0132794,0.0097517,0.0316706,0.0105542,0.0108468,0.0084619,0.0381271,0.0173702,0.0273726,0.0042936,0.0048968,0.0084288,0.0058850,0.0097644,0.0113204,0.0054839,0.0118943,0.0389374,0.0724332,0.0073962,0.0076410,0.0027243,0.0066726,0.0074924,0.0052356,0.0064529,0.0105285,0.0066780,0.0083154,0.0124449,0.0125956,0.0069280,0.0112550,0.0137812,0.0121365,0.0120707,0.0155599,0.0081140,0.0209292,0.0192626,0.1466905
"321","Wood products",0.0040751,0.0028338,0.0015369,0.0045833,0.0028230,0.0021067,0.0356346,1.2820429,0.0083740,0.0072823,0.0046301,0.0078361,0.0024236,0.0057410,0.0150380,0.0043556,0.1240716,0.0139260,0.0052401,0.0042918,0.0021701,0.0487759,0.0062303,0.0018280,0.0034615,0.0132189,0.0036365,0.0024249,0.0054593,0.0020783,0.0034103,0.0013990,0.0256368,0.0021332,0.0026384,0.0018770,0.0025067,0.0037890,0.0059240,0.0019624,0.0019977,0.0032283,0.0088161,0.0013254,0.0017932,0.0008724,0.0016639,0.0016758,0.0101732,0.0038133,0.0014553,0.0008853,0.0020861,0.0014334,0.0028212,0.0025142,0.0020211,0.0020067,0.0024834,0.0024958,0.0088825,0.0012539,0.0032766,0.0048126,0.0036406,0.0029900,0.0016691,0.0011941,0.0040521,0.0039934,0.0070341
"327","Nonmetallic mineral products",0.0034223,0.0019897,0.0058717,0.0098184,0.0074170,0.0031760,0.0462080,0.0153643,1.1247552,0.0198110,0.0109839,0.0146380,0.0024291,0.0227525,0.0247108,0.0056180,0.0120348,0.0104466,0.0105457,0.0087591,0.0037300,0.0081915,0.0034070,0.0057360,0.0077040,0.0144580,0.0016807,0.0029979,0.0023408,0.0016648,0.0025193,0.0022034,0.0036391,0.0028294,0.0027543,0.0014859,0.0028387,0.0031589,0.0052809,0.0012557,0.0010280,0.0062337,0.0051108,0.0013013,0.0018259,0.0006821,0.0017602,0.0019068,0.0048730,0.0035260,0.0010720,0.0012132,0.0036406,0.0014998,0.0031614,0.0043226,0.0018883,0.0037243,0.0043932,0.0031119,0.0038585,0.0010350,0.0028323,0.0028501,0.0045310,0.0038837,0.0022341,0.0019146,0.0030384,0.0028491,0.0142717
