"Industry-by-Industry Total Requirements, After Redefinitions - Summary"
"2002, (in producers' prices)" 
"Bureau of Economic Analysis" 
""
"","Industries/Industries","111CA","113FF","211","212","213","22","23","321","327","331","332","333","334","335","3361MV","3364OT","337","339","311FT","313TT","315AL","322","323","324","325","326","42","441","445","452","4A0","481","482","483","484","485","486","487OS","493","511","512","513","514","521CI","523","524","525","HS","ORE","532RL","5411","5415","5412OP","55","561","562","61","621","622","623","624","711AS","713","721","722","81","GFGD","GFGN","GFE","GSLG","GSLE"
"","Industry Description","Farms","Forestry, fishing, and related activities","Oil and gas extraction","Mining, except oil and gas","Support activities for mining","Utilities","Construction","Wood products","Nonmetallic mineral products","Primary metals","Fabricated metal products","Machinery","Computer and electronic products","Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts","Other transportation equipment","Furniture and related products","Miscellaneous manufacturing","Food and beverage and tobacco products","Textile mills and textile product mills","Apparel and leather and allied products","Paper products","Printing and related support activities","Petroleum and coal products","Chemical products","Plastics and rubber products","Wholesale trade","Motor vehicle and parts dealers","Food and beverage stores","General merchandise stores","Other retail","Air transportation","Rail transportation","Water transportation","Truck transportation","Transit and ground passenger transportation","Pipeline transportation","Other transportation and support activities","Warehousing and storage","Publishing industries, except internet (includes software)","Motion picture and sound recording industries","Broadcasting and telecommunications","Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments","Insurance carriers and related activities","Funds, trusts, and other financial vehicles","Housing","Other real estate","Rental and leasing services and lessors of intangible assets","Legal services","Computer systems design and related services","Miscellaneous professional, scientific, and technical services","Management of companies and enterprises","Administrative and support services","Waste management and remediation services","Educational services","Ambulatory health care services","Hospitals","Nursing and residential care facilities","Social assistance","Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries","Accommodation","Food services and drinking places","Other services, except government","Federal general government (defense)","Federal general government (nondefense)","Federal government enterprises","State and local general government","State and local government enterprises"
"111CA","Farms",1.1909701,0.0453033,0.0005317,0.0018968,0.0008275,0.0006316,0.0032840,0.0252844,0.0026165,0.0015533,0.0013685,0.0015337,0.0012754,0.0015638,0.0023571,0.0014845,0.0061625,0.0060220,0.2857017,0.0489294,0.0169924,0.0092872,0.0042978,0.0008130,0.0167883,0.0068732,0.0006707,0.0027787,0.0019709,0.0005803,0.0007717,0.0009871,0.0010217,0.0018191,0.0007370,0.0003607,0.0009101,0.0013870,0.0005769,0.0012747,0.0008516,0.0006274,0.0004911,0.0004914,0.0002445,0.0004332,0.0003337,0.0001781,0.0013643,0.0004665,0.0006490,0.0008422,0.0012749,0.0006730,0.0018140,0.0010327,0.0138850,0.0016661,0.0047881,0.0102511,0.0121147,0.0030989,0.0076249,0.0091594,0.0168486,0.0014257,0.0018342,-0.0058010,0.0021909,0.0089647,0.0010577
"113FF","Forestry, fishing, and related activities",0.0790305,1.2209533,0.0004697,0.0025211,0.0007400,0.0006131,0.0088321,0.2026896,0.0031612,0.0022757,0.0016246,0.0026091,0.0017317,0.0023407,0.0035298,0.0018249,0.0240123,0.0059158,0.0327104,0.0054865,0.0034343,0.0403632,0.0069498,0.0006229,0.0036076,0.0119793,0.0008064,0.0008981,0.0035540,0.0004127,0.0007154,0.0006803,0.0048441,0.0009788,0.0009005,0.0004974,0.0011926,0.0018294,0.0008286,0.0022842,0.0017776,0.0010122,0.0011815,0.0004858,0.0004260,0.0003815,0.0003997,0.0003109,0.0016036,0.0005214,0.0005301,0.0006179,0.0007249,0.0004893,0.0007997,0.0008331,0.0026202,0.0010311,0.0013374,0.0019723,0.0034322,0.0008509,0.0028211,0.0048183,0.0064060,0.0010053,0.0007247,0.0003240,0.0011280,0.0035844,0.0021546
"211","Oil and gas extraction",0.0289650,0.0166738,1.1265162,0.0321993,0.0115409,0.1554109,0.0231940,0.0180981,0.0203014,0.0287492,0.0153918,0.0143230,0.0098426,0.0166762,0.0125837,0.0104410,0.0140277,0.0129957,0.0180823,0.0255078,0.0141143,0.0230608,0.0241315,0.6978195,0.0482404,0.0259167,0.0053729,0.0089048,0.0085730,0.0051128,0.0062338,0.0650326,0.0369783,0.0290441,0.0303202,0.0197486,0.0154711,0.0310385,0.0109112,0.0065365,0.0049859,0.0057698,0.0033010,0.0064768,0.0059379,0.0023932,0.0068219,0.0012597,0.0169856,0.0046825,0.0038468,0.0053023,0.0041244,0.0059413,0.0102688,0.0168941,0.0106132,0.0073352,0.0108179,0.0095912,0.0083251,0.0058648,0.0104601,0.0136554,0.0099381,0.0058391,0.0205023,0.0045709,0.0126101,0.0295507,0.0831599
"212","Mining, except oil and gas",0.0116470,0.0021338,0.0028197,1.0742289,0.0025718,0.0292631,0.0164747,0.0046648,0.0774423,0.0739876,0.0162382,0.0104925,0.0051844,0.0134643,0.0121949,0.0082407,0.0071545,0.0076629,0.0094338,0.0090429,0.0038446,0.0171556,0.0048368,0.0075850,0.0122545,0.0078851,0.0009272,0.0015761,0.0016223,0.0010075,0.0012250,0.0018454,0.0036236,0.0052594,0.0017381,0.0008783,0.0030927,0.0020773,0.0025119,0.0020320,0.0015809,0.0020105,0.0009706,0.0007509,0.0008549,0.0005013,0.0009328,0.0005566,0.0035242,0.0007086,0.0007598,0.0009924,0.0012522,0.0011747,0.0013190,0.0021707,0.0029484,0.0019347,0.0026494,0.0021705,0.0022605,0.0015636,0.0034393,0.0029964,0.0026603,0.0016790,0.0018012,0.0057064,0.0012064,0.0026767,0.0155345
"213","Support activities for mining",0.0008785,0.0003869,0.0218168,0.0268376,1.0084664,0.0037718,0.0009311,0.0005115,0.0024463,0.0025250,0.0008177,0.0006383,0.0003766,0.0007556,0.0006595,0.0004973,0.0005104,0.0004909,0.0006289,0.0007574,0.0003907,0.0009269,0.0006181,0.0136701,0.0012766,0.0007501,0.0001333,0.0002225,0.0002128,0.0001290,0.0001590,0.0013078,0.0008192,0.0007715,0.0006404,0.0004112,0.0004063,0.0006629,0.0002862,0.0001974,0.0001445,0.0001813,0.0000954,0.0001487,0.0001413,0.0000625,0.0001603,0.0000407,0.0004285,0.0001130,0.0000981,0.0001387,0.0001477,0.0001557,0.0002401,0.0004055,0.0002903,0.0001985,0.0002850,0.0002481,0.0002328,0.0001598,0.0002994,0.0003526,0.0002708,0.0001656,0.0004585,0.0002444,0.0002848,0.0006481,0.0020297
"22","Utilities",0.0351520,0.0112265,0.0154189,0.0417302,0.0057387,1.0483434,0.0152056,0.0306631,0.0474984,0.0685369,0.0341103,0.0240508,0.0201198,0.0274137,0.0269151,0.0227262,0.0252131,0.0203435,0.0342500,0.0430034,0.0315536,0.0529968,0.0276784,0.0264241,0.0372840,0.0383389,0.0109205,0.0234196,0.0330814,0.0198508,0.0192143,0.0079519,0.0082135,0.0893250,0.0121853,0.0055772,0.0451401,0.0140355,0.0470474,0.0115781,0.0121293,0.0179490,0.0063147,0.0063911,0.0065827,0.0050518,0.0124061,0.0016041,0.0707906,0.0087245,0.0091713,0.0084579,0.0080807,0.0167168,0.0105516,0.0105506,0.0326939,0.0118530,0.0173993,0.0214255,0.0163543,0.0149109,0.0247772,0.0417771,0.0299682,0.0113371,0.0086046,0.0071115,0.0114955,0.0165995,0.0124664
"23","Construction",0.0149300,0.0055463,0.0142991,0.0301912,0.0146182,0.0179173,1.0056892,0.0116792,0.0144057,0.0186345,0.0120006,0.0094240,0.0075045,0.0093724,0.0091456,0.0076624,0.0108565,0.0078657,0.0111750,0.0116155,0.0089508,0.0144470,0.0116581,0.0187572,0.0111488,0.0123356,0.0049393,0.0091175,0.0077711,0.0056025,0.0077759,0.0067543,0.0263651,0.0114697,0.0088170,0.0044326,0.0504412,0.0171029,0.0144032,0.0056757,0.0066068,0.0149073,0.0027355,0.0141113,0.0074052,0.0037395,0.0078276,0.0292456,0.0507432,0.0039149,0.0059069,0.0045933,0.0047090,0.0053543,0.0044443,0.0046228,0.0102076,0.0059016,0.0059367,0.0096345,0.0103956,0.0075447,0.0090395,0.0119977,0.0089804,0.0098048,0.0123848,0.0088887,0.0116960,0.0151490,0.1266143
"321","Wood products",0.0055286,0.0023327,0.0017536,0.0047114,0.0028139,0.0021555,0.0525510,1.3048459,0.0113238,0.0081842,0.0053986,0.0105269,0.0062267,0.0079681,0.0147706,0.0061486,0.1426227,0.0186602,0.0060089,0.0068262,0.0037505,0.0479274,0.0088484,0.0020787,0.0044308,0.0205192,0.0029182,0.0029227,0.0042189,0.0014476,0.0025805,0.0013901,0.0297041,0.0027955,0.0030755,0.0011494,0.0047736,0.0043989,0.0032788,0.0063799,0.0091382,0.0045362,0.0060440,0.0015479,0.0011890,0.0008733,0.0011302,0.0016521,0.0074643,0.0019187,0.0013825,0.0014723,0.0015749,0.0012094,0.0020667,0.0022226,0.0025159,0.0026303,0.0024156,0.0023796,0.0106776,0.0017521,0.0031155,0.0058715,0.0037862,0.0027402,0.0019339,0.0017644,0.0030842,0.0046932,0.0114132
"327","Nonmetallic mineral products",0.0037964,0.0022047,0.0050734,0.0084398,0.0054414,0.0029393,0.0571011,0.0166639,1.1622419,0.0162633,0.0093607,0.0135078,0.0084019,0.0233187,0.0232544,0.0073488,0.0132770,0.0119286,0.0124637,0.0157664,0.0054632,0.0063750,0.0034175,0.0063515,0.0080835,0.0142053,0.0013242,0.0031369,0.0016810,0.0010349,0.0018912,0.0018275,0.0033783,0.0029349,0.0023081,0.0010727,0.0043703,0.0029182,0.0029826,0.0019816,0.0014986,0.0053101,0.0032002,0.0014320,0.0011511,0.0007558,0.0011167,0.0017357,0.0041447,0.0012578,0.0010013,0.0017327,0.0027623,0.0018505,0.0022713,0.0046908,0.0033526,0.0056267,0.0035588,0.0034129,0.0040668,0.0014478,0.0025650,0.0034990,0.0044109,0.0032816,0.0023157,0.0027087,0.0017249,0.0029568,0.0139576
