"Industry-by-Industry Total Requirements, After Redefinitions - Summary"
"2018, (in producers' prices)" 
"Bureau of Economic Analysis" 
""
"","Industries/Industries","111CA","113FF","211","212","213","22","23","321","327","331","332","333","334","335","3361MV","3364OT","337","339","311FT","313TT","315AL","322","323","324","325","326","42","441","445","452","4A0","481","482","483","484","485","486","487OS","493","511","512","513","514","521CI","523","524","525","HS","ORE","532RL","5411","5415","5412OP","55","561","562","61","621","622","623","624","711AS","713","721","722","81","GFGD","GFGN","GFE","GSLG","GSLE"
"","Industry Description","Farms","Forestry, fishing, and related activities","Oil and gas extraction","Mining, except oil and gas","Support activities for mining","Utilities","Construction","Wood products","Nonmetallic mineral products","Primary metals","Fabricated metal products","Machinery","Computer and electronic products","Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts","Other transportation equipment","Furniture and related products","Miscellaneous manufacturing","Food and beverage and tobacco products","Textile mills and textile product mills","Apparel and leather and allied products","Paper products","Printing and related support activities","Petroleum and coal products","Chemical products","Plastics and rubber products","Wholesale trade","Motor vehicle and parts dealers","Food and beverage stores","General merchandise stores","Other retail","Air transportation","Rail transportation","Water transportation","Truck transportation","Transit and ground passenger transportation","Pipeline transportation","Other transportation and support activities","Warehousing and storage","Publishing industries, except internet (includes software)","Motion picture and sound recording industries","Broadcasting and telecommunications","Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments","Insurance carriers and related activities","Funds, trusts, and other financial vehicles","Housing","Other real estate","Rental and leasing services and lessors of intangible assets","Legal services","Computer systems design and related services","Miscellaneous professional, scientific, and technical services","Management of companies and enterprises","Administrative and support services","Waste management and remediation services","Educational services","Ambulatory health care services","Hospitals","Nursing and residential care facilities","Social assistance","Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries","Accommodation","Food services and drinking places","Other services, except government","Federal general government (defense)","Federal general government (nondefense)","Federal government enterprises","State and local general government","State and local government enterprises"
"111CA","Farms",1.2543838,0.0300740,0.0012019,0.0023793,0.0010393,0.0009560,0.0031418,0.0181662,0.0025955,0.0020264,0.0016026,0.0015602,0.0002764,0.0013721,0.0024820,0.0009874,0.0053624,0.0046860,0.3463300,0.0469708,0.0212312,0.0121518,0.0061352,0.0014604,0.0198082,0.0085241,0.0013896,0.0038406,0.0036134,0.0015770,0.0016009,0.0034160,0.0013058,0.0055693,0.0012764,0.0010270,0.0004048,0.0022166,0.0011074,0.0007880,0.0011444,0.0009753,0.0013883,0.0008332,0.0009228,0.0007016,0.0008930,0.0002511,0.0021411,0.0008347,0.0007720,0.0006765,0.0028702,0.0010412,0.0031835,0.0014200,0.0080794,0.0018535,0.0044843,0.0103243,0.0162997,0.0023796,0.0191687,0.0100727,0.0255673,0.0024721,0.0019490,-0.0004353,0.0034605,0.0112273,0.0014288
"113FF","Forestry, fishing, and related activities",0.0710596,1.1396808,0.0005133,0.0021069,0.0005961,0.0005369,0.0047314,0.1419144,0.0019758,0.0019809,0.0013514,0.0016219,0.0003580,0.0015005,0.0028019,0.0009294,0.0165044,0.0038777,0.0317673,0.0043488,0.0107931,0.0471575,0.0057088,0.0005972,0.0030315,0.0104438,0.0009654,0.0008849,0.0052970,0.0006231,0.0009202,0.0008383,0.0044533,0.0010804,0.0007675,0.0011097,0.0002682,0.0015418,0.0011185,0.0006557,0.0006280,0.0007741,0.0012838,0.0004583,0.0004860,0.0003694,0.0004466,0.0002609,0.0018212,0.0006624,0.0004193,0.0003048,0.0009647,0.0005280,0.0010087,0.0008159,0.0014410,0.0007614,0.0010631,0.0017032,0.0029846,0.0005534,0.0037020,0.0041476,0.0071359,0.0011409,0.0005634,0.0002687,0.0011066,0.0032715,0.0012819
"211","Oil and gas extraction",0.0303985,0.0126856,1.1454918,0.0438316,0.0154324,0.1122865,0.0260119,0.0197465,0.0184325,0.0239387,0.0139463,0.0121959,0.0018167,0.0148418,0.0130600,0.0061981,0.0149865,0.0117033,0.0203343,0.0230653,0.0092255,0.0232795,0.0240418,0.6229138,0.0402568,0.0288427,0.0088243,0.0111326,0.0119855,0.0081365,0.0095613,0.0564157,0.0650713,0.0366237,0.0458964,0.0229137,0.0036248,0.0577807,0.0176679,0.0041504,0.0052775,0.0050765,0.0067944,0.0094015,0.0094016,0.0035256,0.0101967,0.0017187,0.0202791,0.0079996,0.0036445,0.0031849,0.0057489,0.0075157,0.0095165,0.0201330,0.0078390,0.0064965,0.0086814,0.0092284,0.0097914,0.0049340,0.0123664,0.0125171,0.0114596,0.0083779,0.0213357,0.0032143,0.0373739,0.0352241,0.1049406
"212","Mining, except oil and gas",0.0092709,0.0013849,0.0047337,1.0656792,0.0025936,0.0233331,0.0168458,0.0041721,0.0791068,0.0701074,0.0187421,0.0108279,0.0010067,0.0124675,0.0131076,0.0057301,0.0075999,0.0066678,0.0068046,0.0071708,0.0025088,0.0108687,0.0037552,0.0079861,0.0116804,0.0079427,0.0013653,0.0019555,0.0022432,0.0016675,0.0018883,0.0015110,0.0047465,0.0026522,0.0020456,0.0015004,0.0010847,0.0024097,0.0040848,0.0008629,0.0012115,0.0020380,0.0029157,0.0008267,0.0010050,0.0007353,0.0010787,0.0007294,0.0043849,0.0011096,0.0007119,0.0005492,0.0019562,0.0013907,0.0019801,0.0030799,0.0025728,0.0015066,0.0018037,0.0019117,0.0023677,0.0028752,0.0048097,0.0024578,0.0026586,0.0026374,0.0016893,0.0022656,0.0016516,0.0028472,0.0205885
"213","Support activities for mining",0.0013560,0.0005260,0.0443731,0.0170640,1.0078185,0.0047100,0.0014187,0.0009278,0.0020110,0.0020942,0.0011141,0.0008781,0.0001108,0.0009689,0.0009994,0.0004775,0.0008442,0.0006564,0.0009721,0.0010667,0.0004464,0.0011899,0.0010612,0.0242225,0.0017938,0.0013518,0.0003799,0.0004839,0.0005145,0.0003534,0.0004199,0.0022175,0.0026246,0.0015792,0.0018346,0.0009354,0.0002172,0.0023021,0.0007808,0.0001930,0.0002341,0.0002825,0.0003366,0.0003853,0.0003904,0.0001552,0.0004215,0.0000844,0.0008820,0.0003441,0.0001592,0.0001443,0.0002943,0.0003315,0.0004211,0.0009105,0.0003576,0.0002869,0.0003804,0.0004017,0.0004524,0.0002437,0.0005712,0.0005473,0.0005094,0.0003947,0.0008897,0.0001719,0.0015043,0.0014255,0.0044358
"22","Utilities",0.0270116,0.0064422,0.0267289,0.0411063,0.0059421,1.0601615,0.0135136,0.0245542,0.0309963,0.0396811,0.0247275,0.0174096,0.0038454,0.0157847,0.0206396,0.0102146,0.0203751,0.0144086,0.0252720,0.0318204,0.0146921,0.0394773,0.0253740,0.0270076,0.0292418,0.0328185,0.0173306,0.0292399,0.0488426,0.0345169,0.0303034,0.0074427,0.0091611,0.0137594,0.0162748,0.0099896,0.0101211,0.0119906,0.0922957,0.0064157,0.0097213,0.0101471,0.0108944,0.0086871,0.0093561,0.0095770,0.0150095,0.0016321,0.0810344,0.0102064,0.0085183,0.0035605,0.0098045,0.0218208,0.0104509,0.0121483,0.0249954,0.0104749,0.0169352,0.0210422,0.0168463,0.0111203,0.0224383,0.0385754,0.0342412,0.0134940,0.0065788,0.0050409,0.0146001,0.0147533,0.0149814
"23","Construction",0.0151940,0.0031531,0.0097997,0.0265002,0.0105495,0.0247486,1.0055970,0.0079605,0.0101521,0.0118501,0.0082052,0.0062216,0.0012004,0.0053797,0.0070198,0.0035477,0.0073806,0.0051474,0.0102022,0.0088378,0.0050835,0.0119508,0.0087762,0.0201723,0.0082748,0.0093945,0.0081700,0.0120818,0.0139034,0.0112467,0.0143318,0.0070323,0.0306984,0.0086351,0.0097346,0.0120808,0.0122015,0.0139774,0.0230189,0.0030048,0.0056323,0.0072031,0.0054150,0.0078341,0.0083196,0.0080074,0.0085369,0.0365837,0.0722584,0.0055779,0.0064689,0.0020966,0.0063635,0.0079234,0.0055980,0.0057219,0.0098576,0.0059109,0.0078329,0.0117451,0.0120253,0.0071690,0.0110489,0.0115197,0.0124461,0.0109554,0.0158650,0.0070056,0.0127066,0.0192348,0.1547570
"321","Wood products",0.0043690,0.0017471,0.0016966,0.0046988,0.0024848,0.0021424,0.0357497,1.2376108,0.0073454,0.0074696,0.0043216,0.0066008,0.0020576,0.0055325,0.0128823,0.0036730,0.1257125,0.0125393,0.0062106,0.0047118,0.0025879,0.0489634,0.0062617,0.0020066,0.0031056,0.0123178,0.0039487,0.0030642,0.0057546,0.0023074,0.0039034,0.0011697,0.0364032,0.0021661,0.0026871,0.0022390,0.0009906,0.0031610,0.0055345,0.0014266,0.0022848,0.0034184,0.0072307,0.0013555,0.0014290,0.0013843,0.0013194,0.0017096,0.0110050,0.0024574,0.0013009,0.0007140,0.0020469,0.0015322,0.0028278,0.0021554,0.0020089,0.0018994,0.0024297,0.0024472,0.0093436,0.0014500,0.0032880,0.0048387,0.0038534,0.0029877,0.0016939,0.0009928,0.0029732,0.0043748,0.0074614
"327","Nonmetallic mineral products",0.0033857,0.0012917,0.0075739,0.0089745,0.0067208,0.0033025,0.0459155,0.0126405,1.1200903,0.0171031,0.0096056,0.0113460,0.0010633,0.0175360,0.0222070,0.0047079,0.0110704,0.0084989,0.0101228,0.0119710,0.0053821,0.0075499,0.0031107,0.0082368,0.0061658,0.0132071,0.0017911,0.0038127,0.0024043,0.0019082,0.0030152,0.0017468,0.0037165,0.0027055,0.0025201,0.0019909,0.0012569,0.0028528,0.0049552,0.0009837,0.0012789,0.0060262,0.0048537,0.0012481,0.0014024,0.0010019,0.0013388,0.0018437,0.0051170,0.0023049,0.0009549,0.0009375,0.0043080,0.0015371,0.0030809,0.0045612,0.0017160,0.0037220,0.0042327,0.0030145,0.0039852,0.0012186,0.0028029,0.0026518,0.0046050,0.0037845,0.0023434,0.0015620,0.0020526,0.0033150,0.0156320
