"Industry-by-Industry Total Requirements, After Redefinitions - Summary"
"2004, (in producers' prices)" 
"Bureau of Economic Analysis" 
""
"","Industries/Industries","111CA","113FF","211","212","213","22","23","321","327","331","332","333","334","335","3361MV","3364OT","337","339","311FT","313TT","315AL","322","323","324","325","326","42","441","445","452","4A0","481","482","483","484","485","486","487OS","493","511","512","513","514","521CI","523","524","525","HS","ORE","532RL","5411","5415","5412OP","55","561","562","61","621","622","623","624","711AS","713","721","722","81","GFGD","GFGN","GFE","GSLG","GSLE"
"","Industry Description","Farms","Forestry, fishing, and related activities","Oil and gas extraction","Mining, except oil and gas","Support activities for mining","Utilities","Construction","Wood products","Nonmetallic mineral products","Primary metals","Fabricated metal products","Machinery","Computer and electronic products","Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts","Other transportation equipment","Furniture and related products","Miscellaneous manufacturing","Food and beverage and tobacco products","Textile mills and textile product mills","Apparel and leather and allied products","Paper products","Printing and related support activities","Petroleum and coal products","Chemical products","Plastics and rubber products","Wholesale trade","Motor vehicle and parts dealers","Food and beverage stores","General merchandise stores","Other retail","Air transportation","Rail transportation","Water transportation","Truck transportation","Transit and ground passenger transportation","Pipeline transportation","Other transportation and support activities","Warehousing and storage","Publishing industries, except internet (includes software)","Motion picture and sound recording industries","Broadcasting and telecommunications","Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments","Insurance carriers and related activities","Funds, trusts, and other financial vehicles","Housing","Other real estate","Rental and leasing services and lessors of intangible assets","Legal services","Computer systems design and related services","Miscellaneous professional, scientific, and technical services","Management of companies and enterprises","Administrative and support services","Waste management and remediation services","Educational services","Ambulatory health care services","Hospitals","Nursing and residential care facilities","Social assistance","Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries","Accommodation","Food services and drinking places","Other services, except government","Federal general government (defense)","Federal general government (nondefense)","Federal government enterprises","State and local general government","State and local government enterprises"
"111CA","Farms",1.1827456,0.0499356,0.0006058,0.0020916,0.0013313,0.0005866,0.0039027,0.0288019,0.0028804,0.0016782,0.0014046,0.0016803,0.0011380,0.0017561,0.0024487,0.0013943,0.0071795,0.0070827,0.3330361,0.0500579,0.0204492,0.0110829,0.0057212,0.0005243,0.0166883,0.0081672,0.0008546,0.0031539,0.0029114,0.0010582,0.0010900,0.0020080,0.0011673,0.0024169,0.0008307,0.0004646,0.0011313,0.0013833,0.0005939,0.0013285,0.0010906,0.0008617,0.0004041,0.0008219,0.0007030,0.0004675,0.0006563,0.0002557,0.0019527,0.0008632,0.0007787,0.0009135,0.0015821,0.0009698,0.0022575,0.0013436,0.0118392,0.0019197,0.0051141,0.0123552,0.0158818,0.0072547,0.0104353,0.0091153,0.0232895,0.0017280,0.0024530,-0.0033359,0.0031756,0.0099892,0.0012769
"113FF","Forestry, fishing, and related activities",0.0687394,1.2130700,0.0005493,0.0028862,0.0012138,0.0005556,0.0095624,0.2018677,0.0030304,0.0022446,0.0016225,0.0028332,0.0014176,0.0025743,0.0036937,0.0017872,0.0263409,0.0069131,0.0335412,0.0053042,0.0044545,0.0443275,0.0079282,0.0004505,0.0037638,0.0151448,0.0009016,0.0009956,0.0047412,0.0006066,0.0009000,0.0008538,0.0046013,0.0009953,0.0008931,0.0005508,0.0015644,0.0016865,0.0008138,0.0020955,0.0014030,0.0010545,0.0008253,0.0006313,0.0006277,0.0003682,0.0005215,0.0004273,0.0022991,0.0008530,0.0005684,0.0005846,0.0009172,0.0006085,0.0009409,0.0010418,0.0020824,0.0011963,0.0013802,0.0020830,0.0037146,0.0013013,0.0032427,0.0044042,0.0076056,0.0011806,0.0008141,0.0004805,0.0011391,0.0037039,0.0023903
"211","Oil and gas extraction",0.0412497,0.0326482,1.2304882,0.0540234,0.0262552,0.2611063,0.0343753,0.0322607,0.0369965,0.0466969,0.0254826,0.0247703,0.0145032,0.0286456,0.0220160,0.0155413,0.0255363,0.0236423,0.0303394,0.0500903,0.0251234,0.0434276,0.0424445,0.7710492,0.1083693,0.0523785,0.0090389,0.0138663,0.0151071,0.0109367,0.0116327,0.0995229,0.0575613,0.0871819,0.0532717,0.0273807,0.0338429,0.0478185,0.0176544,0.0097987,0.0076672,0.0076833,0.0038080,0.0123110,0.0110901,0.0034943,0.0128899,0.0022498,0.0306591,0.0115300,0.0063847,0.0076760,0.0083402,0.0115459,0.0153104,0.0321718,0.0142833,0.0140880,0.0188176,0.0170669,0.0137959,0.0097461,0.0159817,0.0178377,0.0180619,0.0120456,0.0270001,0.0070380,0.0275025,0.0446239,0.1442592
"212","Mining, except oil and gas",0.0107605,0.0028034,0.0037055,1.0899157,0.0048754,0.0214061,0.0178980,0.0055851,0.0908208,0.0971130,0.0256454,0.0161490,0.0060315,0.0207039,0.0173765,0.0104096,0.0104646,0.0134619,0.0120943,0.0115493,0.0044939,0.0232900,0.0060937,0.0033680,0.0143764,0.0102966,0.0010704,0.0016350,0.0016781,0.0012536,0.0014353,0.0018529,0.0047500,0.0045497,0.0019749,0.0010341,0.0042797,0.0027480,0.0022858,0.0022754,0.0017380,0.0022017,0.0007471,0.0009098,0.0011393,0.0004886,0.0010888,0.0007432,0.0037934,0.0011947,0.0008005,0.0009878,0.0018086,0.0013645,0.0017272,0.0037482,0.0025748,0.0023233,0.0027681,0.0023315,0.0025959,0.0021848,0.0049502,0.0025142,0.0031806,0.0025273,0.0022108,0.0059399,0.0013246,0.0028927,0.0156858
"213","Support activities for mining",0.0010178,0.0006849,0.0229394,0.0232566,1.0138029,0.0053239,0.0011065,0.0007840,0.0026903,0.0030125,0.0011777,0.0009481,0.0004714,0.0011176,0.0009404,0.0006217,0.0007868,0.0007984,0.0008750,0.0012253,0.0005911,0.0013645,0.0009612,0.0143986,0.0023595,0.0012650,0.0001989,0.0003049,0.0003248,0.0002372,0.0002577,0.0018982,0.0011893,0.0018011,0.0010475,0.0005421,0.0007720,0.0009618,0.0003902,0.0002553,0.0001892,0.0002183,0.0000932,0.0002547,0.0002382,0.0000790,0.0002695,0.0000614,0.0006666,0.0002495,0.0001411,0.0001753,0.0002305,0.0002591,0.0003328,0.0007255,0.0003306,0.0003216,0.0004198,0.0003767,0.0003312,0.0002356,0.0004161,0.0003980,0.0004191,0.0002949,0.0005759,0.0002676,0.0005538,0.0009028,0.0030477
"22","Utilities",0.0273552,0.0120776,0.0143145,0.0393829,0.0076939,1.0385738,0.0139701,0.0240631,0.0444038,0.0494533,0.0271818,0.0201357,0.0151537,0.0229977,0.0221210,0.0164133,0.0216012,0.0181324,0.0299991,0.0393986,0.0305640,0.0459175,0.0218716,0.0116658,0.0304260,0.0304481,0.0112466,0.0219280,0.0335721,0.0242598,0.0213348,0.0097237,0.0080838,0.0666675,0.0153867,0.0065472,0.0626371,0.0416380,0.0447759,0.0090093,0.0099226,0.0106477,0.0042380,0.0079443,0.0084838,0.0043879,0.0150208,0.0015657,0.0722528,0.0128760,0.0089043,0.0067734,0.0093755,0.0187415,0.0091534,0.0116128,0.0265595,0.0117974,0.0121770,0.0187663,0.0141458,0.0119999,0.0182659,0.0307900,0.0323949,0.0122761,0.0087214,0.0067122,0.0124942,0.0165283,0.0126010
"23","Construction",0.0138829,0.0056163,0.0202417,0.0258394,0.0248676,0.0196016,1.0054229,0.0088264,0.0113818,0.0140096,0.0088487,0.0074193,0.0056861,0.0076387,0.0070542,0.0054269,0.0086505,0.0067810,0.0099453,0.0104069,0.0082549,0.0110289,0.0091178,0.0159240,0.0091261,0.0097265,0.0051736,0.0102714,0.0088666,0.0074912,0.0096391,0.0064638,0.0228853,0.0121409,0.0080681,0.0052385,0.0745687,0.0095464,0.0115514,0.0048703,0.0067187,0.0112918,0.0018191,0.0111497,0.0085027,0.0036349,0.0078126,0.0369465,0.0673932,0.0066856,0.0071675,0.0045108,0.0068202,0.0067465,0.0049391,0.0055963,0.0092249,0.0075835,0.0056549,0.0114420,0.0106938,0.0081920,0.0102399,0.0090634,0.0109311,0.0110854,0.0121965,0.0077503,0.0123186,0.0155524,0.1389202
"321","Wood products",0.0044826,0.0033725,0.0022029,0.0053242,0.0047577,0.0021219,0.0578224,1.3265256,0.0103601,0.0075198,0.0052061,0.0114587,0.0048402,0.0089125,0.0146964,0.0062863,0.1590598,0.0204502,0.0059957,0.0066584,0.0036763,0.0536343,0.0098967,0.0017394,0.0044239,0.0213920,0.0032389,0.0034147,0.0050505,0.0020773,0.0033182,0.0015462,0.0285824,0.0026932,0.0029527,0.0013659,0.0068307,0.0037536,0.0034955,0.0053234,0.0066274,0.0046024,0.0042060,0.0018716,0.0017316,0.0009125,0.0014422,0.0023600,0.0115164,0.0030223,0.0016662,0.0014368,0.0023006,0.0015983,0.0026655,0.0028328,0.0023690,0.0032038,0.0026934,0.0028314,0.0112964,0.0022444,0.0039836,0.0054637,0.0045592,0.0033582,0.0021083,0.0017237,0.0021201,0.0048229,0.0128713
"327","Nonmetallic mineral products",0.0031393,0.0026040,0.0055309,0.0086650,0.0091764,0.0028413,0.0539071,0.0159321,1.1607491,0.0177770,0.0098774,0.0138215,0.0069138,0.0221709,0.0228838,0.0066860,0.0123221,0.0120849,0.0111360,0.0135248,0.0049967,0.0064926,0.0032876,0.0041965,0.0071247,0.0142453,0.0012777,0.0033159,0.0018240,0.0012950,0.0020642,0.0018188,0.0031956,0.0028572,0.0021596,0.0011424,0.0055824,0.0023367,0.0026669,0.0017220,0.0014294,0.0053303,0.0019914,0.0014198,0.0014190,0.0006618,0.0012228,0.0020679,0.0051612,0.0019289,0.0010435,0.0014971,0.0034819,0.0016799,0.0024921,0.0048004,0.0021353,0.0052042,0.0035155,0.0031128,0.0034352,0.0015322,0.0026973,0.0025438,0.0047224,0.0036711,0.0023357,0.0024855,0.0015941,0.0027547,0.0140416
"331","Primary metals",0.0126323,0.0121993,0.0297370,0.0337216,0.0301885,0.0111025,0.0343663,0.0309413,0.0331566,1.3794437,0.3173226,0.1913400,0.0573395,0.2303065,0.1958546,0.1143131,0.0980293,0.0967724,0.0327743,0.0232699,0.0128152,0.0296672,0.0185503,0.0194185,0.0168873,0.0365353,0.0043039,0.0060939,0.0045645,0.0034751,0.0048153,0.0068461,0.0338603,0.0258033,0.0111496,0.0058111,0.0173023,0.0105546,0.0091446,0.0093464,0.0049374,0.0104652,0.0028930,0.0026747,0.0031068,0.0014893,0.0027652,0.0015373,0.0081574,0.0045830,0.0023421,0.0048536,0.0057148,0.0040662,0.0065114,0.0283493,0.0072628,0.0067306,0.0073786,0.0057968,0.0109868,0.0040280,0.0077170,0.0057483,0.0069747,0.0124672,0.0142194,0.0053549,0.0070111,0.0069551,0.0182997
"332","Fabricated metal products",0.0160525,0.0140974,0.0208915,0.0293561,0.0281322,0.0139450,0.0636897,0.0501848,0.0417686,0.0639182,1.1241940,0.1127801,0.0561887,0.1129281,0.1263055,0.0862558,0.0691996,0.0555668,0.0397158,0.0367473,0.0207048,0.0469492,0.0322534,0.0143398,0.0304898,0.0559850,0.0052307,0.0080289,0.0056809,0.0041916,0.0071242,0.0072003,0.0140879,0.0627154,0.0123632,0.0082763,0.0384871,0.0124791,0.0102057,0.0171507,0.0053774,0.0201282,0.0045200,0.0036602,0.0043452,0.0019895,0.0037739,0.0026656,0.0108096,0.0066607,0.0031809,0.0071899,0.0076672,0.0059022,0.0077168,0.0360213,0.0077151,0.0073157,0.0082287,0.0068268,0.0142509,0.0046684,0.0089033,0.0087551,0.0104802,0.0127546,0.0194313,0.0067108,0.0109292,0.0087889,0.0249453
"333","Machinery",0.0178175,0.0192997,0.0271254,0.0680395,0.0745118,0.0088513,0.0245579,0.0142481,0.0128834,0.0262122,0.0223320,1.1161146,0.0102736,0.0330396,0.0690053,0.0420546,0.0101444,0.0147226,0.0135016,0.0087421,0.0051246,0.0150718,0.0199862,0.0174658,0.0121265,0.0169649,0.0025543,0.0042529,0.0030220,0.0024242,0.0029159,0.0042329,0.0050018,0.0078037,0.0055825,0.0032366,0.0104538,0.0054668,0.0084695,0.0057721,0.0049268,0.0046567,0.0025100,0.0016897,0.0019965,0.0012443,0.0017775,0.0010423,0.0049613,0.0040621,0.0014814,0.0045136,0.0035110,0.0025349,0.0043524,0.0366284,0.0082392,0.0033408,0.0037180,0.0036426,0.0042759,0.0024002,0.0035259,0.0029009,0.0040047,0.0101126,0.0071180,0.0034981,0.0029471,0.0053096,0.0123143
"334","Computer and electronic products",0.0070962,0.0063642,0.0052648,0.0110025,0.0115967,0.0034953,0.0149777,0.0232730,0.0251429,0.0268180,0.0311053,0.0537569,1.3277181,0.0683550,0.0703150,0.1080162,0.0348439,0.0398081,0.0140782,0.0398838,0.0175348,0.0217105,0.0338398,0.0040477,0.0209378,0.0293727,0.0076345,0.0108470,0.0061751,0.0057504,0.0065572,0.0054606,0.0074668,0.0117028,0.0064744,0.0036600,0.0095341,0.0067004,0.0072226,0.0187789,0.0287221,0.0386359,0.0083670,0.0053355,0.0072017,0.0026062,0.0083731,0.0010219,0.0077250,0.0054499,0.0096818,0.0207513,0.0121118,0.0161858,0.0119673,0.0167198,0.0091319,0.0114217,0.0070138,0.0062624,0.0087621,0.0043593,0.0059752,0.0114101,0.0064185,0.0168135,0.0445379,0.0100098,0.0035353,0.0061037,0.0130247
"335","Electrical equipment, appliances, and components",0.0042130,0.0147155,0.0029978,0.0057100,0.0065103,0.0017580,0.0231936,0.0188892,0.0049712,0.0173813,0.0163731,0.0444049,0.0233116,1.0909521,0.0219210,0.0189777,0.0077152,0.0114497,0.0050460,0.0056664,0.0037059,0.0071982,0.0052152,0.0021751,0.0046872,0.0099951,0.0015173,0.0030077,0.0017963,0.0035955,0.0019620,0.0018023,0.0053386,0.0041174,0.0021693,0.0021839,0.0040925,0.0019465,0.0053850,0.0021516,0.0018372,0.0072102,0.0014783,0.0015047,0.0018172,0.0007667,0.0014794,0.0009704,0.0039285,0.0019073,0.0011215,0.0041154,0.0036383,0.0018559,0.0037978,0.0110317,0.0047769,0.0018244,0.0022813,0.0032851,0.0032019,0.0014947,0.0026211,0.0026331,0.0026602,0.0057274,0.0045437,0.0058400,0.0014656,0.0028849,0.0114733
"3361MV","Motor vehicles, bodies and trailers, and parts",0.0099084,0.0119346,0.0074742,0.0274335,0.0174853,0.0039760,0.0097954,0.0208425,0.0165462,0.0310073,0.0178751,0.0747976,0.0153420,0.0190091,1.4380163,0.0584661,0.0163896,0.0133903,0.0133463,0.0121719,0.0070443,0.0183957,0.0111747,0.0054063,0.0087957,0.0116287,0.0069627,0.0128173,0.0109484,0.0044133,0.0090231,0.0040655,0.0052579,0.0084309,0.0316730,0.0154686,0.0076780,0.0069916,0.0300035,0.0139060,0.0038178,0.0058621,0.0015550,0.0026417,0.0028837,0.0017703,0.0024585,0.0006042,0.0060668,0.0065219,0.0020708,0.0029712,0.0051074,0.0043991,0.0120780,0.0392425,0.0051205,0.0040610,0.0046043,0.0040510,0.0138645,0.0044964,0.0041363,0.0043382,0.0055818,0.0416792,0.0148384,0.0022929,0.0189831,0.0082282,0.0080178
"3364OT","Other transportation equipment",0.0009150,0.0013511,0.0008989,0.0026870,0.0022188,0.0006311,0.0013969,0.0018949,0.0013946,0.0040204,0.0022854,0.0077263,0.0017220,0.0029535,0.0043254,1.2387880,0.0014447,0.0013381,0.0011816,0.0013245,0.0008534,0.0019591,0.0011943,0.0006360,0.0011287,0.0016338,0.0004565,0.0004368,0.0003114,0.0002754,0.0003609,0.0119005,0.0155053,0.0437041,0.0018911,0.0009351,0.0010919,0.0076656,0.0005049,0.0005545,0.0004150,0.0005276,0.0002196,0.0002673,0.0004294,0.0001412,0.0003374,0.0000747,0.0005147,0.0003699,0.0002339,0.0004349,0.0006550,0.0002898,0.0005051,0.0019955,0.0005024,0.0003943,0.0003916,0.0003810,0.0017747,0.0002878,0.0005524,0.0003488,0.0003916,0.0006548,0.0516630,0.0017340,0.0010061,0.0004053,0.0013729
"337","Furniture and related products",0.0006341,0.0004028,0.0005231,0.0010052,0.0008155,0.0006123,0.0133801,0.0102395,0.0012732,0.0009175,0.0008087,0.0029275,0.0018394,0.0010916,0.0014970,0.0030040,1.0484586,0.0036001,0.0007886,0.0010530,0.0008450,0.0016121,0.0008497,0.0004071,0.0007189,0.0033190,0.0005679,0.0014628,0.0005010,0.0003621,0.0012201,0.0003943,0.0008406,0.0011744,0.0006443,0.0002568,0.0015702,0.0007902,0.0005829,0.0004389,0.0004631,0.0007859,0.0007335,0.0003484,0.0003820,0.0001637,0.0003412,0.0010705,0.0015517,0.0003964,0.0004039,0.0003037,0.0004579,0.0004060,0.0003571,0.0005806,0.0004471,0.0011088,0.0005756,0.0005365,0.0011385,0.0021354,0.0014458,0.0005941,0.0009965,0.0007202,0.0005517,0.0002889,0.0039151,0.0005548,0.0210060
"339","Miscellaneous manufacturing",0.0016829,0.0014529,0.0009051,0.0022564,0.0019385,0.0006589,0.0026615,0.0023182,0.0048353,0.0024458,0.0021353,0.0103805,0.0020486,0.0109646,0.0078671,0.0029274,0.0029166,1.0537680,0.0016583,0.0095477,0.0135755,0.0022162,0.0025958,0.0006922,0.0036414,0.0040906,0.0015141,0.0020126,0.0013415,0.0008713,0.0014508,0.0010221,0.0009418,0.0015702,0.0013022,0.0012331,0.0016822,0.0030272,0.0027159,0.0014647,0.0011222,0.0013537,0.0006588,0.0011839,0.0012668,0.0005828,0.0009931,0.0001945,0.0020241,0.0010532,0.0007639,0.0009870,0.0021509,0.0009790,0.0032239,0.0094991,0.0030019,0.0249524,0.0306160,0.0065481,0.0201320,0.0019722,0.0051547,0.0029589,0.0017368,0.0046809,0.0015216,0.0017791,0.0006266,0.0044377,0.0016811
"311FT","Food and beverage and tobacco products",0.1009900,0.0231380,0.0008871,0.0018383,0.0017425,0.0011694,0.0018946,0.0078129,0.0055068,0.0030825,0.0022167,0.0021585,0.0015800,0.0023787,0.0025865,0.0015789,0.0037307,0.0035400,1.2760767,0.0107853,0.0370880,0.0141039,0.0126918,0.0008480,0.0131476,0.0081017,0.0019423,0.0016973,0.0037650,0.0017830,0.0015058,0.0071505,0.0012322,0.0072766,0.0015993,0.0009038,0.0017771,0.0019307,0.0009801,0.0027584,0.0024700,0.0019899,0.0008591,0.0021484,0.0021699,0.0011893,0.0019393,0.0003891,0.0039526,0.0019001,0.0019384,0.0023471,0.0030173,0.0022259,0.0025960,0.0026566,0.0416720,0.0031642,0.0137895,0.0423830,0.0569451,0.0266077,0.0290813,0.0288168,0.0803396,0.0042742,0.0079382,0.0007946,0.0110925,0.0301164,0.0013818
"313TT","Textile mills and textile product mills",0.0032533,0.0051507,0.0009186,0.0023224,0.0016893,0.0006474,0.0045870,0.0130516,0.0062303,0.0025974,0.0021767,0.0059050,0.0019282,0.0030309,0.0175510,0.0090125,0.0561060,0.0259448,0.0038457,1.2435712,0.2659218,0.0184045,0.0128173,0.0007970,0.0069440,0.0216822,0.0017645,0.0014263,0.0017383,0.0083454,0.0038443,0.0009045,0.0011016,0.0074926,0.0014571,0.0007690,0.0014364,0.0021170,0.0010351,0.0019868,0.0022096,0.0019482,0.0005216,0.0007137,0.0008955,0.0004758,0.0007058,0.0002689,0.0015671,0.0015721,0.0006158,0.0007707,0.0012072,0.0007702,0.0014138,0.0039283,0.0014153,0.0026061,0.0041799,0.0202650,0.0113858,0.0010861,0.0060563,0.0187631,0.0019614,0.0042518,0.0031285,0.0021957,0.0011087,0.0032012,0.0026356
"315AL","Apparel and leather and allied products",0.0004694,0.0004562,0.0002028,0.0004135,0.0003817,0.0001951,0.0004486,0.0008118,0.0005115,0.0006064,0.0004191,0.0008001,0.0003473,0.0004414,0.0072161,0.0007585,0.0022336,0.0021167,0.0005111,0.0204944,1.1444124,0.0009827,0.0180212,0.0001732,0.0004750,0.0009830,0.0009189,0.0004771,0.0003412,0.0048654,0.0007134,0.0003168,0.0002911,0.0006456,0.0005319,0.0003514,0.0005299,0.0003526,0.0003251,0.0011119,0.0006249,0.0042913,0.0002903,0.0003599,0.0005240,0.0003140,0.0003917,0.0000513,0.0005826,0.0008639,0.0003195,0.0003485,0.0004594,0.0004138,0.0008175,0.0027733,0.0008353,0.0004722,0.0004725,0.0009500,0.0081497,0.0011038,0.0009872,0.0011902,0.0009118,0.0035913,0.0007563,0.0004702,0.0010349,0.0018186,0.0004583
"322","Paper products",0.0100941,0.0053776,0.0033240,0.0091740,0.0070915,0.0027512,0.0111499,0.0162556,0.0301550,0.0217805,0.0170693,0.0195389,0.0123240,0.0256902,0.0195872,0.0130882,0.0332480,0.0341590,0.0571525,0.0304313,0.0208463,1.3430454,0.1970228,0.0028519,0.0262723,0.0451956,0.0076907,0.0046986,0.0095640,0.0044463,0.0067914,0.0054099,0.0048199,0.0077908,0.0074233,0.0088018,0.0103818,0.0238587,0.0049428,0.0384460,0.0073897,0.0050740,0.0037073,0.0052785,0.0060294,0.0039441,0.0044923,0.0008206,0.0056411,0.0064368,0.0047982,0.0046206,0.0067790,0.0051346,0.0074054,0.0095140,0.0070370,0.0087507,0.0091359,0.0109294,0.0127165,0.0069758,0.0059606,0.0187379,0.0107276,0.0061377,0.0052425,0.0117428,0.0031468,0.0137663,0.0060003
"323","Printing and related support activities",0.0028675,0.0029066,0.0021275,0.0038369,0.0042551,0.0025228,0.0036806,0.0040424,0.0034767,0.0057558,0.0041166,0.0040730,0.0031226,0.0038774,0.0039881,0.0030569,0.0045932,0.0047705,0.0043629,0.0054569,0.0301765,0.0058114,1.0446703,0.0017653,0.0067541,0.0049107,0.0087322,0.0060665,0.0044545,0.0043873,0.0090573,0.0039731,0.0040773,0.0057752,0.0044352,0.0038301,0.0064779,0.0051230,0.0018696,0.0467395,0.0139153,0.0064064,0.0097488,0.0059184,0.0132993,0.0095718,0.0089530,0.0006045,0.0061428,0.0057552,0.0069113,0.0060660,0.0111554,0.0086107,0.0088345,0.0040064,0.0092341,0.0072726,0.0070323,0.0044149,0.0164038,0.0176632,0.0063583,0.0089506,0.0055620,0.0062926,0.0067197,0.0110485,0.0031717,0.0113096,0.0064289
