"Industry-by-Industry Total Requirements, After Redefinitions - Summary"
"1999, (in producers' prices)" 
"Bureau of Economic Analysis" 
""
"","Industries/Industries","111CA","113FF","211","212","213","22","23","321","327","331","332","333","334","335","3361MV","3364OT","337","339","311FT","313TT","315AL","322","323","324","325","326","42","441","445","452","4A0","481","482","483","484","485","486","487OS","493","511","512","513","514","521CI","523","524","525","HS","ORE","532RL","5411","5415","5412OP","55","561","562","61","621","622","623","624","711AS","713","721","722","81","GFGD","GFGN","GFE","GSLG","GSLE"
"","Industry Description","Farms","Forestry, fishing, and related activities","Oil and gas extraction","Mining, except oil and gas","Support activities for mining","Utilities","Construction","Wood products","Nonmetallic mineral products","Primary metals","Fabricated metal products","Machinery","Computer and electronic products","Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts","Other transportation equipment","Furniture and related products","Miscellaneous manufacturing","Food and beverage and tobacco products","Textile mills and textile product mills","Apparel and leather and allied products","Paper products","Printing and related support activities","Petroleum and coal products","Chemical products","Plastics and rubber products","Wholesale trade","Motor vehicle and parts dealers","Food and beverage stores","General merchandise stores","Other retail","Air transportation","Rail transportation","Water transportation","Truck transportation","Transit and ground passenger transportation","Pipeline transportation","Other transportation and support activities","Warehousing and storage","Publishing industries, except internet (includes software)","Motion picture and sound recording industries","Broadcasting and telecommunications","Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments","Insurance carriers and related activities","Funds, trusts, and other financial vehicles","Housing","Other real estate","Rental and leasing services and lessors of intangible assets","Legal services","Computer systems design and related services","Miscellaneous professional, scientific, and technical services","Management of companies and enterprises","Administrative and support services","Waste management and remediation services","Educational services","Ambulatory health care services","Hospitals","Nursing and residential care facilities","Social assistance","Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries","Accommodation","Food services and drinking places","Other services, except government","Federal general government (defense)","Federal general government (nondefense)","Federal government enterprises","State and local general government","State and local government enterprises"
"111CA","Farms",1.2059255,0.0595028,0.0006777,0.0018172,0.0008206,0.0007327,0.0040184,0.0373875,0.0032884,0.0016982,0.0015270,0.0019098,0.0016453,0.0019226,0.0033096,0.0015654,0.0094129,0.0062917,0.3048043,0.0764052,0.0278484,0.0111475,0.0061782,0.0008379,0.0181045,0.0079750,0.0008388,0.0030792,0.0024748,0.0007906,0.0010635,0.0013748,0.0012882,0.0026707,0.0008998,0.0005280,0.0013693,0.0016053,0.0004481,0.0012898,0.0011334,0.0005178,0.0017146,0.0006761,0.0004527,0.0004264,0.0005412,0.0002168,0.0018933,0.0007289,0.0009817,0.0009825,0.0014537,0.0009327,0.0023222,0.0013019,0.0184685,0.0018465,0.0052753,0.0136829,0.0148219,0.0014103,0.0083396,0.0096027,0.0247393,0.0017803,0.0016718,-0.0140129,0.0034948,0.0103829,0.0011532
"113FF","Forestry, fishing, and related activities",0.0845490,1.2846667,0.0007656,0.0025799,0.0009440,0.0007808,0.0116197,0.2481651,0.0044748,0.0025887,0.0019686,0.0033254,0.0024841,0.0029695,0.0044094,0.0020489,0.0327042,0.0080044,0.0362427,0.0078662,0.0048663,0.0470716,0.0108061,0.0007775,0.0041744,0.0141469,0.0010734,0.0013374,0.0053036,0.0007421,0.0010473,0.0010337,0.0055641,0.0013391,0.0010674,0.0008121,0.0017681,0.0021069,0.0006327,0.0025849,0.0024996,0.0012838,0.0043269,0.0008110,0.0009785,0.0004434,0.0008147,0.0003348,0.0026793,0.0009459,0.0009365,0.0008310,0.0010511,0.0008175,0.0012845,0.0011086,0.0033119,0.0013329,0.0016921,0.0027593,0.0042670,0.0009218,0.0037202,0.0047895,0.0094735,0.0013289,0.0009583,-0.0001691,0.0013859,0.0042524,0.0022670
"211","Oil and gas extraction",0.0219118,0.0153632,1.1300124,0.0229331,0.0112010,0.1227095,0.0180567,0.0141273,0.0157100,0.0239854,0.0126091,0.0113260,0.0096544,0.0157018,0.0104338,0.0078814,0.0107768,0.0106476,0.0137210,0.0185585,0.0118650,0.0147541,0.0193584,0.6241149,0.0378875,0.0202871,0.0043395,0.0083418,0.0077590,0.0057811,0.0056602,0.0540261,0.0288250,0.0156484,0.0194995,0.0212088,0.0212415,0.0280149,0.0059827,0.0046593,0.0048359,0.0044815,0.0072275,0.0062671,0.0090548,0.0017299,0.0089117,0.0010278,0.0149782,0.0046242,0.0040945,0.0047528,0.0042254,0.0062801,0.0085990,0.0224459,0.0066443,0.0060295,0.0084505,0.0082175,0.0063016,0.0053026,0.0090476,0.0085427,0.0096842,0.0045447,0.0160018,0.0027317,0.0081872,0.0219919,0.0758378
"212","Mining, except oil and gas",0.0127596,0.0028753,0.0040517,1.0540705,0.0027438,0.0391906,0.0166206,0.0055660,0.0741603,0.0715760,0.0170438,0.0111013,0.0069780,0.0164188,0.0126026,0.0079671,0.0079256,0.0082666,0.0087429,0.0093859,0.0048072,0.0114349,0.0055738,0.0062717,0.0151259,0.0092598,0.0010904,0.0022191,0.0022454,0.0017510,0.0016517,0.0018098,0.0039546,0.0041354,0.0017162,0.0010918,0.0056587,0.0022788,0.0020911,0.0018662,0.0022385,0.0023377,0.0030368,0.0010673,0.0018038,0.0004973,0.0017496,0.0004678,0.0047614,0.0011148,0.0012140,0.0013061,0.0016299,0.0018038,0.0018300,0.0029988,0.0026533,0.0024713,0.0033457,0.0028310,0.0024073,0.0029285,0.0039977,0.0026513,0.0035786,0.0018903,0.0019290,0.0038475,0.0012825,0.0030553,0.0179688
"213","Support activities for mining",0.0006904,0.0003694,0.0229190,0.0192732,1.0090684,0.0032228,0.0007039,0.0004087,0.0017308,0.0018525,0.0006180,0.0004758,0.0003523,0.0006670,0.0004902,0.0003431,0.0003902,0.0003887,0.0004570,0.0005636,0.0003398,0.0005285,0.0005104,0.0127360,0.0010616,0.0006033,0.0001111,0.0002160,0.0002018,0.0001529,0.0001492,0.0011288,0.0006632,0.0004163,0.0004306,0.0004522,0.0005513,0.0006136,0.0001631,0.0001367,0.0001440,0.0001432,0.0002127,0.0001495,0.0002210,0.0000458,0.0002166,0.0000304,0.0003973,0.0001176,0.0001083,0.0001260,0.0001386,0.0001697,0.0002130,0.0005191,0.0001880,0.0001716,0.0002371,0.0002227,0.0001786,0.0001656,0.0002624,0.0002264,0.0002686,0.0001320,0.0003676,0.0001306,0.0001939,0.0005061,0.0018809
"22","Utilities",0.0379994,0.0144827,0.0227213,0.0381061,0.0079342,1.0614615,0.0174427,0.0313389,0.0493820,0.0718084,0.0396483,0.0284415,0.0315118,0.0349092,0.0311507,0.0245287,0.0276405,0.0243648,0.0353691,0.0413576,0.0361575,0.0464152,0.0331647,0.0332654,0.0503313,0.0481731,0.0119061,0.0295213,0.0395884,0.0304893,0.0236393,0.0106482,0.0097289,0.0489482,0.0122683,0.0085138,0.0893020,0.0180500,0.0341083,0.0109632,0.0168157,0.0171704,0.0192504,0.0087072,0.0206396,0.0047998,0.0242716,0.0021736,0.0758378,0.0111728,0.0129097,0.0114871,0.0117130,0.0234252,0.0152175,0.0274577,0.0258483,0.0150340,0.0195316,0.0290198,0.0182859,0.0178980,0.0327639,0.0335973,0.0388201,0.0124029,0.0089446,0.0058838,0.0129640,0.0171383,0.0164787
"23","Construction",0.0145624,0.0061967,0.0125968,0.0221990,0.0113034,0.0145463,1.0052624,0.0096798,0.0134142,0.0171460,0.0113152,0.0088742,0.0106251,0.0098608,0.0086430,0.0070924,0.0081929,0.0079190,0.0108364,0.0100300,0.0091441,0.0120945,0.0101119,0.0108427,0.0122182,0.0118994,0.0043755,0.0095297,0.0074835,0.0069386,0.0077207,0.0059512,0.0191909,0.0126838,0.0072770,0.0050430,0.0250745,0.0130839,0.0070814,0.0039398,0.0061003,0.0114619,0.0063649,0.0188917,0.0135756,0.0027371,0.0120412,0.0199510,0.0514350,0.0060383,0.0066308,0.0042494,0.0054763,0.0063364,0.0050834,0.0054070,0.0076634,0.0057431,0.0055381,0.0098136,0.0091066,0.0075835,0.0100722,0.0081520,0.0099170,0.0091443,0.0208611,0.0128382,0.0081737,0.0153749,0.1108488
"321","Wood products",0.0063482,0.0033544,0.0024180,0.0049955,0.0030675,0.0023127,0.0581218,1.3343956,0.0143688,0.0077516,0.0058176,0.0114516,0.0081343,0.0089292,0.0154228,0.0062173,0.1640597,0.0246628,0.0069226,0.0065274,0.0048023,0.0598910,0.0139741,0.0021417,0.0050105,0.0205914,0.0032765,0.0039536,0.0052241,0.0023074,0.0032684,0.0016707,0.0283260,0.0030062,0.0029662,0.0017179,0.0050274,0.0044126,0.0020940,0.0063734,0.0108636,0.0048597,0.0191114,0.0023535,0.0025268,0.0009222,0.0021146,0.0013857,0.0111625,0.0031888,0.0021887,0.0018131,0.0022128,0.0018907,0.0027843,0.0025995,0.0026630,0.0031345,0.0030014,0.0031252,0.0113554,0.0022675,0.0038287,0.0041700,0.0048927,0.0031161,0.0027050,0.0020620,0.0016266,0.0051940,0.0096640
"327","Nonmetallic mineral products",0.0043656,0.0029783,0.0073604,0.0084354,0.0057879,0.0032918,0.0616814,0.0210727,1.1795106,0.0189659,0.0107875,0.0150996,0.0111913,0.0311563,0.0247015,0.0077320,0.0155523,0.0139726,0.0131586,0.0201528,0.0080315,0.0074675,0.0047233,0.0066701,0.0082170,0.0154160,0.0014400,0.0041224,0.0021290,0.0015407,0.0022461,0.0022525,0.0037269,0.0033194,0.0023864,0.0014203,0.0040330,0.0031024,0.0022448,0.0020244,0.0018612,0.0056609,0.0100148,0.0022323,0.0026834,0.0007620,0.0021877,0.0013628,0.0049813,0.0022330,0.0015079,0.0023304,0.0036256,0.0026384,0.0033134,0.0048221,0.0032722,0.0080360,0.0049856,0.0047130,0.0047061,0.0017652,0.0029594,0.0032857,0.0061127,0.0038210,0.0030911,0.0031485,0.0016332,0.0034380,0.0151939
